local e=
{
ByIdx={
{100101,"qiyu001",0,"heroname_1012",1,101202,"face_angry",0,"",2,"qiyu002",100102,"qiyu003",100103},
{101303,"qiyu146",0,"heroname_1041",3,104102,"face_nomal",0,"",1,"0",0,"0",0},
{101304,"qiyu147",0,"heroname_1041",3,104102,"face_nomal",0,"",1,"0",101305,"0",0},
{101305,"qiyu148",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{101401,"qiyu149",0,"heroname_1003",3,100302,"face_nomal",0,"",1,"0",101402,"0",0},
{101402,"qiyu150",0,"playername",4,0,"",0,"",1,"0",101403,"0",0},
{101403,"qiyu151",0,"heroname_1003",1,100302,"face_nomal",0,"",2,"qiyu152",101404,"qiyu153",101404},
{101404,"qiyu154",0,"heroname_1003",3,100302,"face_nomal",0,"",1,"0",101405,"0",0},
{101405,"qiyu155",0,"playername",4,0,"",0,"",1,"0",101406,"0",0},
{101406,"qiyu156",0,"heroname_1003",3,100302,"face_nomal",0,"",1,"0",0,"0",0},
{101501,"qiyu157",0,"npcName_5",1,902002,"face_happy",0,"",2,"qiyu158",101502,"qiyu159",101503},
{101502,"qiyu160",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",101504,"0",0},
{101503,"qiyu161",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",101504,"0",0},
{101504,"qiyu162",0,"playername",4,0,"",0,"",1,"0",101505,"0",0},
{101505,"qiyu163",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",101506,"0",0},
{101506,"qiyu164",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{101507,"qiyu165",0,"npcName_5",1,902002,"face_happy",0,"",3,"qiyu5000",0,"qiyu5001",0},
{101508,"qiyu166",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{101601,"qiyu167",0,"heroname_1009",3,100902,"face_happy",0,"",1,"0",101602,"0",0},
{101602,"qiyu168",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{101603,"qiyu169",0,"heroname_1009",3,100902,"face_nomal",0,"",1,"0",101604,"0",0},
{101604,"qiyu170",0,"playername",4,0,"",0,"",1,"0",101605,"0",0},
{101605,"qiyu171",0,"heroname_1009",3,100902,"face_sad",0,"",1,"0",101606,"0",0},
{101606,"qiyu172",0,"heroname_1009",3,100902,"face_sad",0,"",1,"0",101607,"0",0},
{101607,"qiyu173",0,"heroname_1009",3,100902,"face_nomal",0,"",1,"0",101608,"0",0},
{101608,"qiyu174",0,"playername",4,0,"",0,"",1,"0",101609,"0",0},
{101609,"qiyu175",0,"heroname_1009",3,100902,"face_surprise",0,"",1,"0",0,"0",0},
{101701,"qiyu176",0,"heroname_1010",3,101002,"face_none",0,"",1,"0",101702,"0",0},
{101702,"qiyu177",0,"playername",4,0,"",0,"",1,"0",101703,"0",0},
{101703,"qiyu178",0,"heroname_1010",3,101002,"face_none",0,"",1,"0",101704,"0",0},
{101704,"qiyu179",0,"playername",4,0,"",0,"",1,"0",101705,"0",0},
{101705,"qiyu180",0,"heroname_1010",3,101002,"face_none",0,"",1,"0",101706,"0",0},
{101706,"qiyu181",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{101707,"qiyu182",0,"heroname_1010",3,101002,"face_none",0,"",1,"0",101708,"0",0},
{101708,"qiyu183",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{101801,"qiyu184",0,"heroname_1017",3,101702,"face_nomal",0,"",1,"0",101802,"0",0},
{101802,"qiyu185",0,"playername",4,0,"",0,"",1,"0",101803,"0",0},
{101803,"qiyu186",0,"heroname_1017",1,101702,"face_surprise",0,"",2,"qiyu187",101804,"qiyu188",101805},
{101804,"qiyu189",0,"heroname_1017",3,101702,"face_nomal",0,"",1,"0",101806,"0",0},
{101805,"qiyu190",0,"heroname_1017",3,101702,"face_nomal",0,"",1,"0",101806,"0",0},
{101806,"qiyu191",0,"playername",4,0,"",0,"",1,"0",101807,"0",0},
{101807,"qiyu192",0,"heroname_1017",1,101702,"face_nomal",0,"",2,"qiyu193",101808,"qiyu194",101808},
{101808,"qiyu195",0,"heroname_1017",3,101702,"face_happy",0,"",1,"0",101809,"0",0},
{101809,"qiyu196",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{101901,"qiyu197",0,"heroname_1039",1,103902,"face_happy",0,"",2,"qiyu198",101902,"qiyu199",101902},
{101902,"qiyu200",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",101903,"0",0},
{101903,"qiyu201",0,"playername",4,0,"",0,"",1,"0",101904,"0",0},
{101904,"qiyu202",0,"heroname_1039",1,103902,"face_nomal",0,"",2,"qiyu203",101905,"qiyu204",101905},
{101905,"qiyu205",0,"heroname_1039",3,103902,"face_surprise",0,"",1,"0",101906,"0",0},
{101906,"qiyu206",0,"heroname_1039",1,103902,"face_nomal",0,"",2,"qiyu207",101907,"qiyu208",101907},
{101907,"qiyu209",0,"heroname_1039",3,103902,"face_surprise",0,"",1,"0",101908,"0",0},
{101908,"qiyu210",0,"heroname_1039",1,103902,"face_nomal",0,"",2,"qiyu211",101909,"qiyu212",101909},
{101909,"qiyu213",0,"heroname_1039",3,103902,"face_nomal",0,"",1,"0",101910,"0",0},
{101910,"qiyu214",0,"playername",4,0,"",0,"",1,"0",101911,"0",0},
{101911,"qiyu215",0,"heroname_1039",3,103902,"face_nomal",0,"",1,"0",101912,"0",0},
{101912,"qiyu216",0,"playername",4,0,"",0,"",1,"0",101913,"0",0},
{101913,"qiyu217",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",101914,"0",0},
{101914,"qiyu218",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{101915,"qiyu20008",0,"npcName_5",1,902002,"face_happy",0,"",3,"qiyu5000",0,"qiyu5001",0},
{101916,"qiyu20009",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",0,"0",0},
{102001,"qiyu219",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{102002,"qiyu220",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",102003,"0",0},
{102003,"qiyu221",0,"playername",4,0,"",0,"",1,"0",102004,"0",0},
{102004,"qiyu222",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",102005,"0",0},
{102005,"qiyu223",0,"playername",4,0,"",0,"",1,"0",102006,"0",0},
{102006,"qiyu224",0,"heroname_1039",3,103902,"face_sad",0,"",1,"0",102007,"0",0},
{102007,"qiyu225",0,"playername",4,0,"",0,"",1,"0",102008,"0",0},
{102008,"qiyu226",0,"heroname_1039",3,103902,"face_sad",0,"",1,"0",102009,"0",0},
{102009,"qiyu227",0,"playername",4,0,"",0,"",1,"0",102010,"0",0},
{102010,"qiyu228",0,"heroname_1039",1,103902,"face_nomal",0,"",2,"qiyu229",102011,"qiyu230",102011},
{102011,"qiyu231",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",102012,"0",0},
{102012,"qiyu232",0,"playername",4,0,"",0,"",1,"0",102013,"0",0},
{102013,"qiyu233",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",0,"0",0},
{102101,"qiyu234",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",102102,"0",0},
{102102,"qiyu235",0,"playername",4,0,"",0,"",1,"0",102103,"0",0},
{102103,"qiyu236",0,"heroname_1039",3,103902,"face_surprise",0,"",1,"0",102104,"0",0},
{102104,"qiyu237",0,"playername",4,0,"",0,"",1,"0",102105,"0",0},
{102105,"qiyu238",0,"heroname_1039",3,103902,"face_angry",0,"",1,"0",102106,"0",0},
{102106,"qiyu239",0,"playername",4,0,"",0,"",1,"0",102107,"0",0},
{102107,"qiyu240",0,"playername",4,0,"",0,"",1,"0",102108,"0",0},
{102108,"qiyu241",0,"heroname_1039",3,103902,"face_sad",0,"",1,"0",102109,"0",0},
{102109,"qiyu242",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{102110,"qiyu243",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",102111,"0",0},
{102111,"qiyu244",0,"playername",4,0,"",0,"",1,"0",102112,"0",0},
{102112,"qiyu245",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",102113,"0",0},
{102113,"qiyu246",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{102114,"qiyu247",0,"npcName_5",1,902002,"face_happy",0,"",3,"qiyu5000",0,"qiyu5001",0},
{102115,"qiyu248",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{102201,"qiyu249",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",102202,"0",0},
{102202,"qiyu250",0,"playername",4,0,"",0,"",1,"0",102203,"0",0},
{102203,"qiyu251",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",102204,"0",0},
{102204,"qiyu252",0,"playername",4,0,"",0,"",1,"0",102205,"0",0},
{102205,"qiyu253",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",102206,"0",0},
{102206,"qiyu254",0,"playername",4,0,"",0,"",1,"0",102207,"0",0},
{102207,"qiyu255",0,"heroname_1039",3,103902,"face_nomal",0,"",1,"0",102208,"0",0},
{102208,"qiyu256",0,"heroname_1039",1,103902,"face_nomal",0,"",2,"qiyu257",102209,"qiyu258",102209},
{102209,"qiyu259",0,"heroname_1039",3,103902,"face_nomal",0,"",1,"0",102210,"0",0},
{102210,"qiyu260",0,"heroname_1039",1,103902,"face_nomal",0,"",2,"qiyu261",102211,"qiyu262",102211},
{102211,"qiyu263",0,"heroname_1039",3,103902,"face_nomal",0,"",1,"0",102212,"0",0},
{102212,"qiyu264",0,"heroname_1039",3,103902,"face_nomal",0,"",1,"0",102213,"0",0},
{102213,"qiyu265",0,"heroname_1039",3,103902,"face_nomal",0,"",1,"0",102214,"0",0},
{102214,"qiyu266",0,"playername",4,0,"",0,"",1,"0",102215,"0",0},
{102215,"qiyu267",0,"heroname_1039",3,103902,"face_happy",0,"",1,"0",0,"0",0},
{102216,"qiyu075",0,"heroname_1039",1,103902,"face_happy",0,"",4,"qiyu5002",311,"qiyu5003",0},
{102301,"qiyu268",0,"heroname_1009",3,100902,"face_happy",0,"",1,"0",102302,"0",0},
{102302,"qiyu269",0,"playername",4,0,"",0,"",1,"0",102303,"0",0},
{102303,"qiyu270",0,"heroname_1009",3,100902,"face_nomal",0,"",1,"0",102304,"0",0},
{102304,"qiyu271",0,"playername",4,0,"",0,"",1,"0",102305,"0",0},
{102305,"qiyu272",0,"heroname_1009",3,100902,"face_angry",0,"",1,"0",0,"0",0},
{102306,"qiyu273",0,"playername",4,0,"",0,"",1,"0",102307,"0",0},
{102307,"qiyu274",0,"heroname_1009",3,100902,"face_nomal",0,"",1,"0",102308,"0",0},
{102308,"qiyu275",0,"playername",4,0,"",0,"",1,"0",102309,"0",0},
{102309,"qiyu276",0,"heroname_1009",3,100902,"face_nomal",0,"",1,"0",102310,"0",0},
{102310,"qiyu277",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{102401,"qiyu278",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",102402,"0",0},
{102402,"qiyu279",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{102403,"qiyu280",0,"npcName_5",1,902002,"face_happy",0,"",3,"qiyu5000",0,"qiyu5001",0},
{102404,"qiyu807",0,"npcName_5",3,902002,"face_happy",0,"",1,"0",0,"0",0},
{102501,"qiyu281",0,"heroname_1041",3,104102,"face_nomal",0,"",1,"0",102502,"0",0},
{102502,"qiyu282",0,"playername",4,0,"",0,"",1,"0",102503,"0",0},
{102503,"qiyu283",0,"heroname_1041",3,104102,"face_nomal",0,"",1,"0",102504,"0",0},
{102504,"qiyu284",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{102505,"qiyu285",0,"heroname_1041",3,104102,"face_nomal",0,"",1,"0",102506,"0",0},
{102506,"qiyu286",0,"playername",4,0,"",0,"",1,"0",102507,"0",0},
{102507,"qiyu287",0,"heroname_1041",3,104102,"face_nomal",0,"",1,"0",102508,"0",0},
{102508,"qiyu288",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{102601,"qiyu289",0,"heroname_1003",3,100302,"face_nomal",0,"",1,"0",102602,"0",0},
{102602,"qiyu290",0,"playername",4,0,"",0,"",1,"0",102603,"0",0},
{102603,"qiyu291",0,"heroname_1003",1,100302,"face_nomal",0,"",2,"qiyu292",102604,"qiyu293",102604},
{102604,"qiyu294",0,"heroname_1003",3,100302,"face_nomal",0,"",1,"0",102605,"0",0},
{102605,"qiyu295",0,"playername",4,0,"",0,"",1,"0",102606,"0",0},
{102606,"qiyu296",0,"heroname_1003",3,100302,"face_nomal",0,"",1,"0",102607,"0",0},
{102607,"qiyu297",0,"playername",4,0,"",0,"",1,"0",102608,"0",0},
{102608,"qiyu298",0,"heroname_1003",3,100302,"face_nomal",0,"",1,"0",102609,"0",0},
{102609,"qiyu299",0,"playername",4,0,"",0,"",1,"0",102610,"0",0},
{102610,"qiyu300",0,"heroname_1003",3,100302,"face_nomal",0,"",1,"0",102611,"0",0},
{102611,"qiyu301",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{102701,"qiyu302",0,"heroname_1015",3,101502,"face_nomal",0,"",1,"0",102702,"0",0},
{102702,"qiyu303",0,"playername",4,0,"",0,"",1,"0",102703,"0",0},
{102703,"qiyu304",0,"heroname_1015",3,101502,"face_nomal",0,"",1,"0",102704,"0",0},
{102704,"qiyu305",0,"playername",4,0,"",0,"",1,"0",102705,"0",0},
{102705,"qiyu306",0,"heroname_1015",3,101502,"face_nomal",0,"",1,"0",102706,"0",0},
{102706,"qiyu307",0,"playername",4,0,"",0,"",1,"0",102707,"0",0},
{102707,"qiyu308",0,"heroname_1015",3,101502,"face_nomal",0,"",1,"0",102708,"0",0},
{102708,"qiyu309",0,"playername",4,0,"",0,"",1,"0",102709,"0",0},
{102709,"qiyu310",0,"heroname_1015",3,101502,"face_nomal",0,"",1,"0",102710,"0",0},
{102710,"qiyu311",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{102801,"qiyu312",0,"npcName_5",1,902002,"face_happy",0,"",3,"qiyu5000",0,"qiyu5001",0},
{102802,"qiyu313",0,"npcName_5",1,902002,"face_happy",0,"",4,"qiyu787",26,"qiyu5001",0},
{102901,"qiyu314",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",102902,"0",0},
{102902,"qiyu315",0,"playername",4,0,"",0,"",1,"0",102903,"0",0},
{102903,"qiyu316",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",102904,"0",0},
{102904,"qiyu317",0,"playername",4,0,"",0,"",1,"0",102905,"0",0},
{102905,"qiyu318",0,"playername",4,0,"",0,"",1,"0",102906,"0",0},
{102906,"qiyu319",0,"heroname_1012",3,101202,"face_surprise",0,"",1,"0",102907,"0",0},
{102907,"qiyu320",0,"playername",4,0,"",0,"",1,"0",102908,"0",0},
{102908,"qiyu321",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",102909,"0",0},
{102909,"qiyu322",0,"heroname_1012",3,101202,"face_nomal",0,"",1,"0",102910,"0",0},
{102910,"qiyu323",0,"playername",4,0,"",0,"",1,"0",102911,"0",0},
{102911,"qiyu324",0,"heroname_1012",3,101202,"face_nomal",0,"",1,"0",102912,"0",0},
{102912,"qiyu325",0,"playername",4,0,"",0,"",1,"0",102913,"0",0},
{102913,"qiyu326",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",102914,"0",0},
{102914,"qiyu327",0,"playername",4,0,"",0,"",1,"0",102915,"0",0},
{102915,"qiyu328",0,"heroname_1012",3,101202,"face_happy",0,"",1,"0",0,"0",0},
{103001,"qiyu329",0,"heroname_1012",3,101202,"face_nomal",0,"",1,"0",103002,"0",0},
{103002,"qiyu330",0,"playername",4,0,"",0,"",1,"0",103003,"0",0},
{103003,"qiyu331",0,"heroname_1012",3,101202,"face_nomal",0,"",1,"0",0,"0",0},
{103004,"qiyu332",0,"playername",4,0,"",0,"",1,"0",103005,"0",0},
{103005,"qiyu333",0,"heroname_1012",3,101202,"face_nomal",0,"",1,"0",103006,"0",0},
{103006,"qiyu334",0,"playername",4,0,"",0,"",1,"0",0,"0",0},
{103101,"qiyu335",0,"heroname_1012",3,101202,"face_nomal",0,"",1,"0",103102,"0",0},
