id,kind,bundle,absolutePath,priority,hudScopes
hud_014,battle_result_prefab_ext,download/ui/uiprefabandres/winlose_ext_3.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\winlose_ext_3.assetbundle,76,settlement;win/lose/result panel entry points
hud_015,battle_result_prefab_ext,download/ui/uiprefabandres/winlose_ext_4.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\winlose_ext_4.assetbundle,76,settlement;win/lose/result panel entry points
hud_016,battle_scene,download/scenes/normalscene/gamescene_normalbattle.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\scenes\normalscene\gamescene_normalbattle.assetbundle,70,battle camera;scene root;sorting layer
hud_017,ui_prefab_keyword_candidate,download/ui/uiprefabandres/autohelper_ext_3.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\autohelper_ext_3.assetbundle,68,unknown HUD evidence
hud_018,mine_battle_ui,download/artsources/uispriteres/uiminebattle.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uiminebattle.assetbundle,65,unknown HUD evidence
hud_019,battle_common_prefab,download/commonprefabsandres/battle.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\battle.assetbundle,60,unknown HUD evidence
hud_020,auto_helper_ui,download/artsources/uispriteres/autohelper.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\autohelper.assetbundle,55,unknown HUD evidence
hud_021,battle_scene,download/scenes/normalscene/gamescene_testbattle.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\scenes\normalscene\gamescene_testbattle.assetbundle,55,battle camera;scene root;sorting layer
hud_022,keyword_hud_candidate,download/commonprefabsandres/buffeffect/buffeffect_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\buffeffect\buffeffect_1.assetbundle,45,unknown HUD evidence
hud_023,keyword_hud_candidate,download/commonprefabsandres/buffeffect/buffeffect_2.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\buffeffect\buffeffect_2.assetbundle,45,unknown HUD evidence
