phase,path,name,activeSelf,activeInHierarchy,enabled,renderMode,worldCameraName,worldCameraMatchesCapture,planeDistance,sortingLayerName,sortingOrder,overrideSorting,layer,canvasScalerUiScaleMode,canvasScalerReferenceResolution,canvasScalerMatchWidthOrHeight,canvasScalerScreenMatchMode,rectSize,anchorMin,anchorMax,pivot,localScale,fixReason,oldRenderMode,newRenderMode,oldWorldCameraName,newWorldCameraName,oldPlaneDistance,newPlaneDistance
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_06_ui_normalbattle_pause","CanvasLuaStateHUD_06_ui_normalbattle_pause",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","0/0","0/0","0/0","0/0","0/0/0","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content","pop_Content",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",0,true,"","","",0,"","0/0","0/0","1/1","0.5/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item","box_item",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",0,true,"","","",0,"","80/80","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem/HeadBar/imgHPBG","imgHPBG",true,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","79/12","0.5/0.5","0.5/0.5","0/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui","CanvasLuaStateHUD_02_ui_battle3dui",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"","","",0,"","640/480","0/0","0/0","0.5/0.5","0.021/0.021/0.021","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/HeadBar/imgHPBG","imgHPBG",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","79/12","0.5/0.5","0.5/0.5","0/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/imgMask","imgMask",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","127/119","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","","","","","",,
"before","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_07_ui_normalbattle_skipview","CanvasLuaStateHUD_07_ui_normalbattle_skipview",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","0/0","0/0","0/0","0/0","0/0/0","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_07_ui_normalbattle_skipview/bgBtn","bgBtn",true,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,true,"UI","","",0,"","0/0","0/0","1/1","0.5/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_08_ui_testbattle","CanvasLuaStateHUD_08_ui_testbattle",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","0/0","0/0","0/0","0/0","0/0/0","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle","CanvasLuaStateHUD_01_ui_normalbattle",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","640/480","0/0","0/0","0.5/0.5","0.021/0.021/0.021","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034/HeadBar/imgHPBG","imgHPBG",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","79/12","0.5/0.5","0.5/0.5","0/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle","root_battle",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"","","",0,"","0/0","0/0","0/0","0/0","0.01/0.01/0.01","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle","root_battle",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","640/-140","0/0","1/1","0.5/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem/imgMask","imgMask",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","127/119","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/HeadBar/imgHPBG","imgHPBG",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","79/12","0.5/0.5","0.5/0.5","0/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/imgMask","imgMask",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","127/119","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034/imgMask","imgMask",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","127/119","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_06_ui_normalbattle_pause","CanvasLuaStateHUD_06_ui_normalbattle_pause",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","0/0","0/0","0/0","0/0","0/0/0","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content","pop_Content",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",0,true,"","","",0,"","0/0","0/0","1/1","0.5/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui/root_battle/UI_BattleBoxPage/pop_Content/box_item","box_item",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",0,true,"","","",0,"","80/80","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem/HeadBar/imgHPBG","imgHPBG",true,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","79/12","0.5/0.5","0.5/0.5","0/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_02_ui_battle3dui","CanvasLuaStateHUD_02_ui_battle3dui",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"","","",0,"","640/480","0/0","0/0","0.5/0.5","0.021/0.021/0.021","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_2_1002/HeadBar/imgHPBG","imgHPBG",true,true,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","79/12","0.5/0.5","0.5/0.5","0/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/imgMask","imgMask",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","127/119","0.5/0.5","0.5/0.5","0.5/0.5","1/1/1","","","","","",,
"after","BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_07_ui_normalbattle_skipview","CanvasLuaStateHUD_07_ui_normalbattle_skipview",false,false,true,"ScreenSpaceCamera","BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera",true,4,"Default",100,false,"UI","","",0,"","0/0","0/0","0/0","0/0","0/0/0","","","","","",,
