assemblyName,namespace,className,fullName,likelyRole,monoBehaviourRefCount,scriptPathIds,bundles,il2cppEvidenceCount,luaEvidenceCount
Assembly-CSharp.dll,YouYou,FullscreenCenter,YouYou.FullscreenCenter,unknown/controller,9,9044316936709120141;9044316936709120141,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle;download/ui/uiprefabandres/winlose_ext_prefabs.assetbundle,1,0
UnityEngine.UI.dll,UnityEngine.UI,Mask,UnityEngine.UI.Mask,layout/mask,8,-7784299604066853536,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,2
Assembly-CSharp.dll,UnityEngine.UI,Empty4Raycast,UnityEngine.UI.Empty4Raycast,visual image/raycast,7,-2324043793906593294,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1,0
Coffee.UIParticle.dll,Coffee.UIExtensions,UIParticle,Coffee.UIExtensions.UIParticle,effect/animation,7,-7396295067816475631,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1,0
Assembly-CSharp.dll,YouYou,LuaForm,YouYou.LuaForm,lua binder/controller,5,8347263561838679580,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,0
Assembly-CSharp.dll,YouYou,LuaUnit,YouYou.LuaUnit,lua binder/controller,5,3319520142972745523,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,2
Assembly-CSharp-firstpass.dll,DG.Tweening,DOTweenAnimation,DG.Tweening.DOTweenAnimation,effect/animation,4,-6380373314413769357,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,2
UnityEngine.UI.dll,UnityEngine.UI,CanvasScaler,UnityEngine.UI.CanvasScaler,canvas/raycast,4,-8797238614672040712,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1,0
UnityEngine.UI.dll,UnityEngine.UI,VerticalLayoutGroup,UnityEngine.UI.VerticalLayoutGroup,layout/mask,3,348253180598357110,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,2,0
Assembly-CSharp.dll,YouYou,EffectScale,YouYou.EffectScale,unknown/controller,2,75834405554630602,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1,2
Assembly-CSharp.dll,YouYou,LookRotation,YouYou.LookRotation,unknown/controller,2,-8195562288947707843,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,0
Assembly-CSharp.dll,YouYou,UIEventListener,YouYou.UIEventListener,button/click,2,-6333827617915679503,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,0
Assembly-CSharp.dll,SuperScrollView,LoopListView2,SuperScrollView.LoopListView2,unknown/controller,1,-3254468290337994374,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,0
Assembly-CSharp.dll,YouYou,ClickBase,YouYou.ClickBase,button/click,1,-3777390710674351328,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,2,0
Assembly-CSharp.dll,YouYou,GuideNode,YouYou.GuideNode,unknown/controller,1,2349074181781781832,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1,0
UnityEngine.UI.dll,UnityEngine.UI,RawImage,UnityEngine.UI.RawImage,visual image/raycast,1,-8471220842657547617,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,0,0
