rootRole,prefabAsset,hierarchyPath,componentType,role,spriteName,textureName,sourceBundle,materialName,fontName,status
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_mask","UnityEngine.UI.Image","visual image","ba_xuecao_bg4","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_mask/imgPlayerHeadIcon","YouYou.YouYouImage","visual image","battlehead1002","","download/artsources/uispriteres/uiheroheadbattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_toukuang","YouYou.YouYouImage","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/bg","UnityEngine.UI.Image","visual image","ba_xuecao_bg1","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerHP_Red","YouYou.YouYouImage","visual image","ba_xuecao_bg5","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerHP","YouYou.YouYouImage","visual image","ba_xuecao_bg2","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerShield","YouYou.YouYouImage","visual image","T_HPtiaolvse_2","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerShield/effect_2","UnityEngine.UI.Image","visual image","shield_effect_001","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerShield/imgPlayerShield (1)","YouYou.YouYouImage","visual image","ba_xuecao_bg5_sheild","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerShield/effect","UnityEngine.UI.Image","visual image","shield_effect_001","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/text_player_shield_num","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/bg_guanzhi","YouYou.YouYouImage","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/bg_guanzhi/text_guan_num","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtFirstAttack","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtNickName","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtLevel","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_FirstAttack","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name/txt_chengzhan_server","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_chengzhan_zhan","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_zhansha_num","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/img_yazhi","YouYou.YouYouImage","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/img_yazhi/text_yahei_num","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/imgVS","YouYou.YouYouImage","visual image","multilang_T_duijue","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/imgVS/txtRound","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_wave","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_waveNum","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/imgBG","UnityEngine.UI.Image","visual image","ba_xuecao_lzbg1","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/imgPlayerHPBG","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/imgPlayerHPBG/bg","UnityEngine.UI.Image","visual image","ba_xuecao_bg1","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/imgPlayerHPBG/imgPlayerHP_Red","YouYou.YouYouImage","visual image","ba_xuecao_bg5","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/imgPlayerHPBG/imgPlayerHP","YouYou.YouYouImage","visual image","ba_xuecao_bg3","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/im_mask","UnityEngine.UI.Image","visual image","ba_xuecao_bg4","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/im_mask/imgPlayerHeadIcon","YouYou.YouYouImage","visual image","battlehead1001","","download/artsources/uispriteres/uiheroheadbattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/txtNickName","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/txtNickName/txtLevel","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/im_1p","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p/im_bg","UnityEngine.UI.Image","visual image","ba_xuecao_bg4","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p/im_mask","UnityEngine.UI.Image","visual image","ba_xuecao_bg4","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p/im_mask/imgPlayerHeadIcon","YouYou.YouYouImage","visual image","battlehead1001","","download/artsources/uispriteres/uiheroheadbattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p/txtNickName","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p/txtNickName/txtLevel","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p/im_2p","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p/im_bg","UnityEngine.UI.Image","visual image","ba_xuecao_bg4","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p/im_mask","UnityEngine.UI.Image","visual image","ba_xuecao_bg4","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p/im_mask/imgPlayerHeadIcon","YouYou.YouYouImage","visual image","battlehead1001","","download/artsources/uispriteres/uiheroheadbattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p/txtNickName","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p/txtNickName/txtLevel","TMPro.TextMeshProUGUI","tmp/font","","","","Default UI Material","","tmp_font_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p/im_3p","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/imgBG","UnityEngine.UI.Image","visual image","ba_xuecao_lzbg","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/imgPlayerHPBG","UnityEngine.UI.Image","visual image","","","","Default UI Material","","sprite_null_or_dependency_unresolved"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/imgPlayerHPBG/bg","UnityEngine.UI.Image","visual image","ba_xuecao_bg1","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/imgPlayerHPBG/imgPlayerHP_Red","YouYou.YouYouImage","visual image","ba_xuecao_bg5","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/imgPlayerHPBG/imgPlayerHP","YouYou.YouYouImage","visual image","ba_xuecao_bg2","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
"battle_root_hud","assets/download/ui/uiprefabandres/battle_ext_prefabs/prefabs/ui_normalbattle.prefab","SpriteFontJoinHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/im_mask","UnityEngine.UI.Image","visual image","ba_xuecao_bg4","","download/artsources/uispriteres/uibattle.assetbundle","Default UI Material","","resolved_sprite_reference"
