category,action_class,decision,new_fix_applied,owner,candidate,original_name,original_path_id,game_object_id,component_path_id,script_id,original_path,current_path,original_active,original_active_chain,current_active_self,current_active_in_hierarchy,original_sibling_index,current_sibling_index,original_sibling_count,original_anchor_min,original_anchor_max,original_pivot,original_anchored_position,original_size,original_local_scale,current_anchor_min,current_anchor_max,current_pivot,current_anchored_position,current_size,current_local_scale,components,tmp_text,sprite_or_texture,texture_exists,applied_visual_override,region_rect,bundle,skeleton_name,atlas_textasset,texture_path,material_refs,starting_animation,starting_loop,renderer_child_count,active_renderer_child_count,particle_ref_count,evidence,reason
particle_style_effect,blocked,blocked_particle_runtime_material_binding,False,UI_Main_wanfa_item_4,un_MainInterface_fire,un_MainInterface_fire,2420700212528543409,-5156027122954822724,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/un_MainInterface_fire(2420700212528543409),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_4__7836085562230756963/un_MainInterface_fire__2420700212528543409,False,False,False,False,2,2,9,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,3,particle component refs: -4412302517871211680;8233103470578165088;-8713816354809410499,"Original owner is inactive and/or zero-scale in route cluster evidence, while particle material/renderer fields are empty in current trace. Forcing it visible would violate active-chain and material evidence gates."
skeleton_helper_chain,trace-only,trace_only_inactive_parent_chain,False,wanfaWorldNode,spine_xiaoshou,Renderer20,-8041054903911149008,-1216848932547399852,-8041054903911149008,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276)/spine_xiaoshou(3122424037418622381)/Renderer20(-8041054903911149008),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/fanhui_guide_shou__4770820143629459276/spine_xiaoshou__3122424037418622381/Renderer20__-8041054903911149008,False,False,False,False,20,20,51,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1",RectTransform,,,,,,,,,,,,,102,2,,,"fanhui_guide_shou active_chain is false in original route cluster evidence, so hand/guide renderers must not be forced visible."
route_runtime_state_node,trace-only,trace_only_preserve_original_state,False,UI_Main_wanfa_item_1,Entry,Entry,1449871701069084495,5738495891976500386,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/Entry(1449871701069084495),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_1__51920382737909704/Entry__1449871701069084495,True,True,True,True,1,1,9,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,,,Recorded for hierarchy/runtime-state comparison only.
route_runtime_state_node,trace-only,preserve_original_route_parent_state,False,UI_Main_wanfa_item_1,UI_Main_wanfa_item_1,UI_Main_wanfa_item_1,51920382737909704,2741717018572241449,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_1__51920382737909704,True,True,True,True,1,1,5,"0.5,0.5","0.5,0.5","0.5,0.5","-246.0,192.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","-246,192","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,,,Parent layout/active/sibling evidence is already preserved; route mismatch should not be fixed by moving this node.
route_runtime_state_node,trace-only,trace_only_preserve_original_state,False,UI_Main_wanfa_item_2,Entry,Entry,-8318423108051799291,1903940297774760768,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/Entry(-8318423108051799291),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_2__-3930377403474185176/Entry__-8318423108051799291,True,True,True,True,1,1,9,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,,,Recorded for hierarchy/runtime-state comparison only.
route_runtime_state_node,trace-only,preserve_original_route_parent_state,False,UI_Main_wanfa_item_2,UI_Main_wanfa_item_2,UI_Main_wanfa_item_2,-3930377403474185176,3652740288344327392,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_2__-3930377403474185176,True,True,True,True,2,2,5,"0.5,0.5","0.5,0.5","0.5,0.5","18.0,192.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","18,192","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,,,Parent layout/active/sibling evidence is already preserved; route mismatch should not be fixed by moving this node.
route_runtime_state_node,trace-only,preserve_original_zero_scale_runtime_state,False,UI_Main_wanfa_item_3,Entry,Entry,-249494615586118723,-6776336349606776388,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/Entry(-249494615586118723),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_3__1745568030950951925/Entry__-249494615586118723,True,True,True,True,1,1,9,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"0.0,0.0,0.0","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","0,0,0",RectTransform,,,,,,,,,,,,,,,,,"Entry localScale 0,0,0 is explicit original evidence for item 3/4 and must stay preserved."
route_runtime_state_node,trace-only,preserve_original_route_parent_state,False,UI_Main_wanfa_item_3,UI_Main_wanfa_item_3,UI_Main_wanfa_item_3,1745568030950951925,-5284405456658630512,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_3__1745568030950951925,True,True,True,True,3,3,5,"0.5,0.5","0.5,0.5","0.5,0.5","-246.0,-14.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","-246,-14","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,,,Parent layout/active/sibling evidence is already preserved; route mismatch should not be fixed by moving this node.
route_runtime_state_node,trace-only,preserve_original_zero_scale_runtime_state,False,UI_Main_wanfa_item_4,Entry,Entry,-2663983105510939953,3838706915907260770,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/Entry(-2663983105510939953),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_4__7836085562230756963/Entry__-2663983105510939953,True,True,True,True,1,1,9,"0.5,0.5","0.5,0.5","0.5,0.5","0.0,0.0",100.0x100.0,"0.0,0.0,0.0","0.5,0.5","0.5,0.5","0.5,0.5","0,0","100,100","0,0,0",RectTransform,,,,,,,,,,,,,,,,,"Entry localScale 0,0,0 is explicit original evidence for item 3/4 and must stay preserved."
route_runtime_state_node,trace-only,preserve_original_route_parent_state,False,UI_Main_wanfa_item_4,UI_Main_wanfa_item_4,UI_Main_wanfa_item_4,7836085562230756963,7024431992645423050,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/UI_Main_wanfa_item_4__7836085562230756963,True,True,True,True,4,4,5,"0.5,0.5","0.5,0.5","0.5,0.5","18.0,-14.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","18,-14","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,,,Parent layout/active/sibling evidence is already preserved; route mismatch should not be fixed by moving this node.
route_runtime_state_node,trace-only,preserve_original_inactive_guide_state,False,wanfaWorldNode,fanhui_guide_shou,fanhui_guide_shou,4770820143629459276,-5676368654453416522,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/fanhui_guide_shou(4770820143629459276),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/fanhui_guide_shou__4770820143629459276,False,False,False,False,5,5,6,"0.5,0.5","0.5,0.5","0.5,0.5","-188.0,-71.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","-188,-71","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,,,"Guide hand parent is inactive in original active chain, so its SkeletonGraphic helpers must not be shown."
route_runtime_state_node,trace-only,preserve_original_route_parent_state,False,wanfaWorldNode,wanfaWorldNode,wanfaWorldNode,-3820167396480157270,-7125569857159217321,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270,True,True,True,True,0,0,5,"0.5,0.5","0.5,0.5","0.5,0.5","-12.0,87.0",100.0x100.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","-12,87","100,100","1,1,1",RectTransform,,,,,,,,,,,,,,,,,Parent layout/active/sibling evidence is already preserved; route mismatch should not be fixed by moving this node.
route_runtime_state_node,trace-only,preserve_original_route_parent_state,False,wanfaWorldNode,worldwanfaBtn,worldwanfaBtn,3512211464843089861,2331390164297400090,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/worldwanfaBtn(3512211464843089861),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/worldwanfaBtn__3512211464843089861,True,True,True,True,0,0,6,"0.5,0.5","0.5,0.5","0.5,0.5","-101.0,1.0",253.0x253.0,"1.0,1.0,1.0","0.5,0.5","0.5,0.5","0.5,0.5","-101,1","253,253","1,1,1",RectTransform;CanvasRenderer;Image;Button;RestoreClickLogger,,,,,,,,,,,,,,,,,Parent layout/active/sibling evidence is already preserved; route mismatch should not be fixed by moving this node.
route_runtime_state_node,trace-only,trace_only_redpoint_skeleton_child_inactive,False,wanfaWorldNode,world_node_red,world_node_red,3339705364331503776,9124482596096422337,,,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/world_node_red(3339705364331503776),Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/right__6922878451781464554/node_middle__9056630568254389742/wanfaWorldNode__-3820167396480157270/world_node_red__3339705364331503776,True,True,True,True,4,4,6,"0.5,0.5","0.5,0.5","0.5,0.5","-6.0,31.0",27.0x27.0,"0.800000011920929,0.800000011920929,1.0","0.5,0.5","0.5,0.5","0.5,0.5","-6,31","27,27","0.8,0.8,1",RectTransform;CanvasRenderer;Image,,fid1_523894093744659759_T_hongdian_1,,,,,,,,,,,,,,,"Redpoint uses a SkeletonGraphic child, but child active chain is false; no safe visual override is applied."
