button_name,normalized_token,candidate_xlua_modules,lua_com_exact_match_count,lua_script_paths,lua_group_names,lua_com_names,direct_hit_count,source_kinds,guide_or_event_evidence,hit_1,hit_2,hit_3
btn_act,act,UI_MainPage;MainPageMgr;UI_MainPageActItem,0,,,,3,guide_textasset,"{13001,13,{0},249,""guide_btn_act_2"",1,1,10,-47,"""","""","""",0,0,0,1,""OPEN_MAINPAGE_SUC"",0,0,"""",""ON_CLICK_ACTICON_SUC"",0,{},0,"""","""",0,0,0,0,0,0,"""",0,0,"""",0,0,0,"""","""",0,0,0,"""",0,0,0,{0},{13},{""isInPage(1,0,999)""}}, || {207010,207,{0},249,""guide_btn_act_2"",1,1,10,-47,"""","""","""",0,0,0,2,""0.5"",1,0,"""",""ON_CLICK_ACTICON_SUC"",0,{},0,"""","""",0,0,0,0,0,0,"""",0,0,"""",0,0,0,"""","""",0,0,0,"""",0,0,0,{0},{206,207},{""isInPage(0)""}}, || {9001,9,{0},249,""guide_btn_act_2"",1,1,10,-47,"""","""","""",0,0,0,2,""0.5"",0,0,"""",""ON_CLICK_ACTICON_SUC"",0,{},0,"""","""",0,0,0,0,0,0,"""",0,0,"""",0,0,0,"""","""",0,0,0,""guiderMessage_2"",0,0,4,{-133,-274},{9},{""isInPage(0)""}},","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""85"", ""excerpt"": ""{9001,9,{0},249,\""guide_btn_act_2\"",1,1,10,-47,\""\"",\""\"",\""\"",0,0,0,2,\""0.5\"",0,0,\""\"",\""ON_CLICK_ACTICON_SUC\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""guiderMessage_2\"",0,0,4,{-133,-274},{9},{\""isInPage(0)\""}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""111"", ""excerpt"": ""{13001,13,{0},249,\""guide_btn_act_2\"",1,1,10,-47,\""\"",\""\"",\""\"",0,0,0,1,\""OPEN_MAINPAGE_SUC\"",0,0,\""\"",\""ON_CLICK_ACTICON_SUC\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""\"",0,0,0,{0},{13},{\""isInPage(1,0,999)\""}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""427"", ""excerpt"": ""{207010,207,{0},249,\""guide_btn_act_2\"",1,1,10,-47,\""\"",\""\"",\""\"",0,0,0,2,\""0.5\"",1,0,\""\"",\""ON_CLICK_ACTICON_SUC\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""\"",0,0,0,{0},{206,207},{\""isInPage(0)\""}},""}"
btn_baiqipao,baiqipao,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,Chat,btn_baiqipao,0,,,,,
btn_beijing,beijing,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,btn_beijing,0,,,,,
btn_discord,discord,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,btn_discord,0,,,,,
btn_download,download,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,download,btn_download,12,guide_textasset,,"{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-1859516912169440427_DTGuide_M_IOSDBModel.txt"", ""line"": ""30"", ""excerpt"": ""a=e..'/Download/IO/guide/DTGuide_M_IOSEntityTableDataHeader.bigd'""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-1859516912169440427_DTGuide_M_IOSDBModel.txt"", ""line"": ""31"", ""excerpt"": ""t=e..'/Download/IO/guide/DTGuide_M_IOSEntityTableData.bigd'""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-1859516912169440427_DTGuide_M_IOSDBModel.txt"", ""line"": ""33"", ""excerpt"": ""a=e.GetFilePath('/download/config/guide/DTGuide_M_IOSEntityTableDataHeader.bigd')""}"
btn_go,go,UI_MainPage;MainPageMgr,0,,,,5,guide_textasset,,"{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""358"", ""excerpt"": ""{61005,61,{0},1518,\""guide_btn_go\"",1,1,0,-20,\""\"",\""\"",\""\"",0,1,0,2,\""0.2\"",1,0,\""\"",\""\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""\"",0,0,0,{0},{61},{\""isInPage(1518)\""}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""459"", ""excerpt"": ""{214003,214,{0},1534,\""guide_btn_go\"",1,1,0,0,\""\"",\""\"",\""\"",0,0,0,1,\""OPEN_UI_DEEPSEAMAIN_SUC\"",1,0,\""\"",\""\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""noviceguidebubble102006\"",0,0,1,{-198,110},{0},{\""isInPage(953,1070,107,1534)\""}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""535"", ""excerpt"": ""{313001,313,{0},1330,\""guide_btn_goldTree_event\"",1,1,20,-20,\""\"",\""\"",\""\"",0,0,0,2,\""1\"",1,0,\""\"",\""\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""\"",0,0,0,{0},{313},{\""isInPage(1330,3,953)\""}},""}"
btn_head,head,UI_MainPage;MainPageMgr;UI_MainPageFaceActItem,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,tuxiang,btn_head,8,guide_textasset,"{402001,402,{0},249,""guide_btn_head"",1,1,37,1,"""","""","""",0,0,0,1,""OPEN_MAINPAGE_SUC"",0,0,"""","""",0,{},0,"""","""",0,0,0,0,0,0,"""",0,0,"""",0,0,0,"""","""",0,0,0,""noviceguidebubble402001"",0,0,3,{343,-238},{402,403},{""isInPage(0)""}},","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-4078630769731329291_DTGuideEntityTableData.txt"", ""line"": ""260"", ""excerpt"": ""{39001,39,{0},\""\"",\""\"",\""\"",0,249,\""guide_btn_head\"",1,1,37,1,\""\"",\""\"",\""\"",0,0,0,2,\""1.5\"",0,0,\""\"",\""\"",\""\"",0,0,0,{},0,\""\"",0,0,0,0,0,\""noviceguidebubble199998\"",0,0,3,{343,-238},{0}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-6486429589706850514_DTGuide_IOSEntityTableData.txt"", ""line"": ""260"", ""excerpt"": ""{39001,39,{0},\""\"",\""\"",\""\"",0,249,\""guide_btn_head\"",1,1,37,1,\""\"",\""\"",\""\"",0,0,0,2,\""1.5\"",0,0,\""\"",\""\"",\""\"",0,0,0,{},0,\""\"",0,0,0,0,0,\""noviceguidebubble199998\"",0,0,3,{343,-238},\""\"",\""\"",0,0,{39,36}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-7694232485989237956_DTGuide_MEntityTableData.txt"", ""line"": ""249"", ""excerpt"": ""{39001,39,{0},\""\"",\""\"",\""\"",0,249,\""guide_btn_head\"",1,1,37,1,\""\"",\""\"",\""\"",0,0,0,2,\""1.5\"",0,0,\""\"",\""\"",\""\"",0,0,0,{},0,\""\"",0,0,0,0,0,\""noviceguidebubble199998\"",0,0,3,{343,-238},{0}},""}"
btn_huodong3,huodong3,UI_MainPage;MainPageMgr;UI_MainPageActItem,0,,,,1,guide_textasset,,"{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""623"", ""excerpt"": ""{405002,405,{0},953,\""guide_bg_huodong3\"",1,1,0,0,\""\"",\""\"",\""\"",0,0,0,1,\""OPEN_UI_ADVENTURE_SUC\"",0,0,\""\"",\""\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""\"",0,0,0,{0},{405},{\""isInPage(953)\""}},""}",,
btn_jia,jia,UI_MainPage;MainPageMgr,2,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,right,btn_jia_gold;btn_jia_holy,12,guide_textasset;unity_textasset,,"{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_51994d76f0a1953d/textassets/-5512009380241724461_DTGuideEntityTableData.txt"", ""line"": ""224"", ""excerpt"": ""{29003,29,{0},\""\"",\""\"",\""\"",0,250,\""btn_jianshang_kejianzao\"",1,1,36,-28,\""\"",\""\"",\""\"",0,1,0,1,\""UI_CITY_MOVE_SUC\"",1,0,\""\"",\""\"",\""\"",0,0,0,{0},0,\""\"",0,0,0,0,0,\""\"",0,0,0,{0},{29}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-4078630769731329291_DTGuideEntityTableData.txt"", ""line"": ""212"", ""excerpt"": ""{29003,29,{0},\""\"",\""\"",\""\"",0,250,\""btn_jianshang_kejianzao\"",1,1,36,-28,\""\"",\""\"",\""\"",0,1,0,1,\""UI_CITY_MOVE_SUC\"",1,0,\""\"",\""\"",\""\"",0,0,0,{},0,\""\"",0,0,0,0,0,\""\"",0,0,0,{0},{29}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-6486429589706850514_DTGuide_IOSEntityTableData.txt"", ""line"": ""212"", ""excerpt"": ""{29003,29,{0},\""\"",\""\"",\""\"",0,250,\""btn_jianshang_kejianzao\"",1,1,36,-28,\""\"",\""\"",\""\"",0,1,0,1,\""UI_CITY_MOVE_SUC\"",1,0,\""\"",\""\"",\""\"",0,0,0,{},0,\""\"",0,0,0,0,0,\""\"",0,0,0,{0},\""\"",\""\"",0,0,{29}},""}"
btn_jiantou1,jiantou1,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,middle,btn_left,0,,,,,
btn_jiantou2,jiantou2,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,middle,btn_right,0,,,,,
btn_lingqu,lingqu,UI_MainPage;MainPageMgr,0,,,,2,guide_textasset,,"{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""265"", ""excerpt"": ""{37003,37,{0},138,\""guide_btn_yijianlingqu\"",1,1,0,0,\""\"",\""\"",\""\"",0,0,0,1,\""OPEN_UI_ARENAAWARD_SUC\"",1,0,\""\"",\""\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""\"",0,0,0,{0},{37},{\""isInPage(138,137)\""}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""463"", ""excerpt"": ""{216002,216,{0},337,\""guide_btn_lingqu1\"",1,1,61,-26,\""\"",\""\"",\""\"",0,0,0,2,\""1\"",1,0,\""\"",\""\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""\"",0,0,0,{0},{215,216},{\""isInPage(337,118)\""}},""}",
btn_marry,marry,UI_MainPage;MainPageMgr;UI_MainPageFaceActItem,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,btn_marry,0,,,,,
btn_naver,naver,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,btn_naver,0,,,,,
btn_qianwang,qianwang,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,right,btn_qianwang,0,,,,,
btn_qinmi,qinmi,UI_MainPage;MainPageMgr;UI_MainPageFaceActItem,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,btn_qinmi,0,,,,,
btn_qinmi2,qinmi2,UI_MainPage;MainPageMgr;UI_MainPageFaceActItem,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,btn_show,btn_qinmi2,0,,,,,
btn_renwu,renwu,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,right,btn_renwu,5,guide_textasset,"{216001,216,{0},249,""guide_btn_renwu"",1,1,10,-47,"""","""","""",0,0,0,1,""OPEN_MAINPAGE_SUC"",0,7,"""","""",0,{},0,"""","""",0,0,0,0,0,0,"""",0,0,"""",0,0,0,"""","""",0,0,0,"""",0,0,0,{0},{215,216},{""isInPage(1,0,249)""}},","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-6486429589706850514_DTGuide_IOSEntityTableData.txt"", ""line"": ""282"", ""excerpt"": ""{44001,44,{0},\""\"",\""\"",\""\"",0,249,\""guide_btn_renwu\"",1,1,37,1,\""\"",\""\"",\""\"",0,0,0,2,\""1.5\"",1,0,\""\"",\""\"",\""\"",0,0,0,{},0,\""\"",0,0,0,0,0,\""noviceguidebubble300001\"",0,0,3,{343,-238},\""\"",\""\"",0,0,{44}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-7694232485989237956_DTGuide_MEntityTableData.txt"", ""line"": ""274"", ""excerpt"": ""{44001,44,{0},\""\"",\""\"",\""\"",0,249,\""guide_btn_renwu\"",1,1,37,1,\""\"",\""\"",\""\"",0,0,0,2,\""1.5\"",1,0,\""\"",\""\"",\""\"",0,0,0,{},0,\""\"",0,0,0,0,0,\""noviceguidebubble300001\"",0,0,3,{343,-238},{0}},""}","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/-8490977536866472334_DTGuide_M_IOSEntityTableData.txt"", ""line"": ""271"", ""excerpt"": ""{44001,44,{0},\""\"",\""\"",\""\"",0,249,\""guide_btn_renwu\"",1,1,37,1,\""\"",\""\"",\""\"",0,0,0,2,\""1.5\"",1,0,\""\"",\""\"",\""\"",0,0,0,{},0,\""\"",0,0,0,0,0,\""noviceguidebubble300001\"",0,0,3,{343,-238},\""\"",\""\"",0,0,{44}},""}"
btn_shangdian,shangdian,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,right,btn_shangdian,1,guide_textasset,"{16005,16,{0},249,""guide_btn_shangdian"",1,1,10,-47,"""","""","""",0,0,0,2,""0.5"",0,0,"""",""ON_CLICK_MAINSHOP_SUC"",0,{},0,"""","""",0,0,0,0,0,0,"""",0,0,"""",0,0,0,"""","""",0,0,0,"""",0,0,0,{0},{16,17},{""isInPage(0)""}},","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""135"", ""excerpt"": ""{16005,16,{0},249,\""guide_btn_shangdian\"",1,1,10,-47,\""\"",\""\"",\""\"",0,0,0,2,\""0.5\"",0,0,\""\"",\""ON_CLICK_MAINSHOP_SUC\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""\"",0,0,0,{0},{16,17},{\""isInPage(0)\""}},""}",,
btn_show,show,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,middle,btn_show,1,guide_textasset,,"{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""570"", ""excerpt"": ""{364003,364,{0},1449,\""guide_btn_show\"",1,1,10,-20,\""\"",\""\"",\""\"",0,0,0,1,\""OPEN_SAUNTERED_STROLL\"",1,0,\""\"",\""\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""\"",0,0,0,{0},{364},{\""isInPage(1449,1437)\""}},""}",,
btn_show_fanhui,show_fanhui,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,btn_show,btn_show_fanhui,0,,,,,
btn_taskNotice,tasknotice,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,task_notice,btn_taskNotice,0,,,,,
btn_temporary_buff,temporary_buff,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,temporary_buff,btn_temporary_buff,0,,,,,
btn_twitter,twitter,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,btn_twitter,0,,,,,
btn_watch,watch,UI_MainPage;MainPageMgr;UI_MainPageFaceActItem,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,btn_watch,0,,,,,
btn_watch2,watch2,UI_MainPage;MainPageMgr;UI_MainPageFaceActItem,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,btn_show,btn_watch2,0,,,,,
btn_yincang,yincang,UI_MainPage;MainPageMgr;UI_SystemSet,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,btn_yincang,0,,,,,
duihao,duihao,UI_MainPage;MainPageMgr,0,,,,0,,,,,
faceGiftNode,facegiftnode,UI_MainPage;MainPageMgr;UI_MainPageFaceActItem,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,facegift,faceGiftNode,0,,,,,
funhandbook_Btn,funhandbook,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,funhandbook,funhandbook_Btn,0,,,,,
haoyou_Btn,haoyou,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,haoyou_Btn,0,,,,,
im_act,act,UI_MainPage;MainPageMgr;UI_MainPageActItem,0,,,,0,,,,,
p_chat_private_head,p_chat_private_head,UI_MainPage;MainPageMgr;UI_MainPageFaceActItem;UI_Line_Show,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,Chat,p_chat_private_head,0,,,,,
paihangbang_Btn,paihangbang,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,paihangbang_Btn,0,,,,,
shangdian_Btn,shangdian,UI_MainPage;MainPageMgr,0,,,,1,guide_textasset,"{16005,16,{0},249,""guide_btn_shangdian"",1,1,10,-47,"""","""","""",0,0,0,2,""0.5"",0,0,"""",""ON_CLICK_MAINSHOP_SUC"",0,{},0,"""","""",0,0,0,0,0,0,"""",0,0,"""",0,0,0,"""","""",0,0,0,"""",0,0,0,{0},{16,17},{""isInPage(0)""}},","{""source_kind"": ""guide_textasset"", ""file"": ""extracted/unity/bundles/b_93537a3a67daecbb/textassets/1615573197188881463_DTGuide_KEntityTableData.txt"", ""line"": ""135"", ""excerpt"": ""{16005,16,{0},249,\""guide_btn_shangdian\"",1,1,10,-47,\""\"",\""\"",\""\"",0,0,0,2,\""0.5\"",0,0,\""\"",\""ON_CLICK_MAINSHOP_SUC\"",0,{},0,\""\"",\""\"",0,0,0,0,0,0,\""\"",0,0,\""\"",0,0,0,\""\"",\""\"",0,0,0,\""\"",0,0,0,{0},{16,17},{\""isInPage(0)\""}},""}",,
vip_Btn,vip,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,vip_Btn,0,,,,,
wanfaBtn,wanfabtn,UI_MainPage;MainPageMgr,0,,,,0,,,,,
warn_item1,warn_item1,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,warn,warn_item1,0,,,,,
warn_item2,warn_item2,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,warn,warn_item2,0,,,,,
warn_item3,warn_item3,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,warn,warn_item3,0,,,,,
warn_item4,warn_item4,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,warn,warn_item4,0,,,,,
worldwanfaBtn,worldwanfabtn,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,rightMiddle,worldwanfaBtn,0,,,,,
wuyu_Btn,wuyu,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,wuyu_Btn,0,,,,,
youjian_Btn,youjian,UI_MainPage;MainPageMgr,1,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,leftNode,youjian_Btn,0,,,,,
