owner,node,component,component_path_id,active_chain,raycast_target,sprite_or_text,asset_or_material,font_size,size,hierarchy_path
UI_Main_wanfa_item_4,text_name,TMP,-3293142939939209297,True,0,모험,4174273018840097604,28.0,200.0x0.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/text_name(-3578904844754949875)
UI_Main_wanfa_item_1,RedDot,Image,7961600595277745106,False,False,T_hongdian_1,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_523894093744659759_T_hongdian_1.png,,27.0x27.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/im_redpoint(1624559177700309340)/RedDot(4470621310694982238)
wanfaWorldNode,worldwanfaBtn,Button,3284133529664903522,True,,,4634358241626153568,,253.0x253.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/worldwanfaBtn(3512211464843089861)
UI_Main_wanfa_item_4,text_wanfaTips,TMP,-4153891689386772735,True,0,개최 중,3932716197974622303,18.0,180.0x30.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/text_wanfaTips(-3039270450605219620)
UI_Main_wanfa_item_2,RedDot,Image,3592104115221006179,False,False,T_hongdian_1,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_523894093744659759_T_hongdian_1.png,,27.0x27.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/im_redpoint(-5936139281737355205)/RedDot(-7035573911186859124)
UI_Main_wanfa_item_3,RedDot,Image,7019607967884436406,False,False,T_hongdian_1,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_523894093744659759_T_hongdian_1.png,,27.0x27.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/im_redpoint(1061094201511039461)/RedDot(-6600497452271806931)
UI_Main_wanfa_item_2,text_wanfaTips,TMP,-8318630676036174251,False,0,000,8649783434632076371,18.0,140.0x30.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/text_wanfaTips(2778291803801687173)
UI_Main_wanfa_item_2,text_num,Text,1955026695596329008,False,0,6,,20,40.0x30.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/im_redpoint(-5936139281737355205)/text_num(362938325050769905)
UI_Main_wanfa_item_2,im_bg,Image,-9222968706698306483,False,True,BG_wave,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_3767306702705834126_BG_wave.png,,140.22999572753906x27.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/im_bg(2337463915861829486)
UI_Main_wanfa_item_1,wanfaBgImg,Image,2987243048703540653,True,False,zhuye_maoxian,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface2/fid11_-1459155864645330874_zhuye_maoxian.png,,144.0x144.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/wanfaBgImg(-2847822897649166745)
UI_Main_wanfa_item_1,text_wanfaTips,TMP,-6963228740554706761,False,0,000,8649783434632076371,18.0,140.0x30.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/text_wanfaTips(-2209049531134370308)
UI_Main_wanfa_item_4,RedDot,Image,-2888862968300573746,False,False,T_hongdian_1,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_523894093744659759_T_hongdian_1.png,,27.0x27.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/im_redpoint(5954440455150368682)/RedDot(681385885347883902)
UI_Main_wanfa_item_1,im_bg,Image,-7849893003438781143,False,True,BG_wave,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_3767306702705834126_BG_wave.png,,140.22999572753906x27.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/im_bg(-4882528769436301220)
UI_Main_wanfa_item_2,text_name,TMP,4821314536758496802,True,0,모험,4174273018840097604,28.0,100.0x35.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/text_name(7817983549160651324)
UI_Main_wanfa_item_3,text_num,Text,-5221493122430570029,False,0,6,,20,40.0x30.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_3(1745568030950951925)/im_redpoint(1061094201511039461)/text_num(4418924208635237715)
UI_Main_wanfa_item_2,wanfaBtn,Image,7677582287010058776,True,True,Image_blank,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_6617065208850742552_Image_blank.png,,130.0x130.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/wanfaBtn(840801985878816193)
UI_Main_wanfa_item_2,wanfaBtn,Button,-3657107032362470042,True,,,7677582287010058776,,130.0x130.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/wanfaBtn(840801985878816193)
UI_Main_wanfa_item_2,wanfaBgImg,Image,-2945541421260847895,True,False,zhuye_maoxian,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface2/fid11_-1459155864645330874_zhuye_maoxian.png,,144.0x144.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_2(-3930377403474185176)/wanfaBgImg(-6087085470653368835)
UI_Main_wanfa_item_4,im_bg,Image,-2323750260085667265,True,True,BG_wave,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_3767306702705834126_BG_wave.png,,140.22999572753906x27.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/im_bg(412788869340406666)
UI_Main_wanfa_item_4,wanfaBgImg,Image,-5098285444159296149,True,False,zhuye_maoxian,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface2/fid11_-1459155864645330874_zhuye_maoxian.png,,144.0x144.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/wanfaBgImg(-7952813358366190174)
UI_Main_wanfa_item_1,wanfaBtn,Image,975500412906767799,True,True,Image_blank,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_6617065208850742552_Image_blank.png,,130.0x130.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/wanfaBtn(1986840053565196790)
UI_Main_wanfa_item_1,wanfaBtn,Button,-1368142340573859670,True,,,975500412906767799,,130.0x130.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/wanfaBtn(1986840053565196790)
wanfaWorldNode,text_big,TMP,4599784209678870789,True,0,전,4174273018840097604,48.0,70.0x60.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/text_big(5611221341508507661)
UI_Main_wanfa_item_1,text_num,Text,1708541173605532676,False,0,6,,20,40.0x30.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/im_redpoint(1624559177700309340)/text_num(-5159767041410272523)
wanfaWorldNode,text_small,TMP,4036057916051507927,True,0,국,4174273018840097604,42.0,60.0x50.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/text_small(4226973974425312330)
wanfaWorldNode,world_node_red,Image,-1365991919442385799,True,False,T_hongdian_1,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_523894093744659759_T_hongdian_1.png,,27.0x27.0,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/world_node_red(3339705364331503776)
