file,line,evidenceKind,lineText,inference,trueAspectImpact
girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,579,render_camera_flexible,"private static Texture2D RenderCamera(Camera camera, int width, int height, string optionalPath)",internal_width_height_parameter_exists_but_public_build_call_must_be_checked,trace_required
girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,582,render_texture,"var rt = new RenderTexture(width, height, 24, RenderTextureFormat.ARGB32);",capture_output_size_comes_from_render_texture_dimensions,trace_required
girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,588,texture2d,"var texture = new Texture2D(width, height, TextureFormat.RGB24, false);",capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle51RestoreLuaBridgeAndRaycasterRegistrationEditor.cs,589,read_pixels,"texture.ReadPixels(new Rect(0, 0, width, height), 0, 0);",pixel_readback_size_matches_render_texture_or_constants,trace_required
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,20,capture_path_16x9,"private const string CapturePath = ""Assets/RestoreCaptures/battle_actor/Battle47GraphicDepthRaycastCandidateRegistration_1920x1080.png"";",hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,21,capture_width,private const int CaptureWidth = 1920;,hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,22,capture_height,private const int CaptureHeight = 1080;,hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,68,save_scene,"EditorSceneManager.SaveScene(scene, ScenePath);",existing_build_path_mutates_scene_asset,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,214,camera_pixelrect,"row.eventCameraPixelRect = eventCamera != null ? RectString(eventCamera.pixelRect) : """";",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,415,orthographic_size,if (camera.orthographicSize < 1f) camera.orthographicSize = 540f;,capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,424,camera_aspect,camera.ResetAspect();,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,437,render_camera_flexible,"private static Texture2D RenderCamera(Camera camera, string optionalPath)",internal_width_height_parameter_exists_but_public_build_call_must_be_checked,trace_required
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,440,render_texture,"var rt = new RenderTexture(CaptureWidth, CaptureHeight, 24, RenderTextureFormat.ARGB32);",capture_output_size_comes_from_render_texture_dimensions,trace_required
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,446,texture2d,"var texture = new Texture2D(CaptureWidth, CaptureHeight, TextureFormat.RGB24, false);",capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle47GraphicDepthRaycastCandidateRegistrationEditor.cs,447,read_pixels,"texture.ReadPixels(new Rect(0, 0, CaptureWidth, CaptureHeight), 0, 0);",pixel_readback_size_matches_render_texture_or_constants,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,20,capture_path_16x9,"private const string CapturePath = ""Assets/RestoreCaptures/battle_actor/Battle48SortOrderDisplayHitOcclusionTrace_1920x1080.png"";",hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,21,capture_width,private const int CaptureWidth = 1920;,hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,22,capture_height,private const int CaptureHeight = 1080;,hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,61,save_scene,"EditorSceneManager.SaveScene(scene, ScenePath);",existing_build_path_mutates_scene_asset,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,92,640_480_probe,"DestroyTexture(RenderCamera(camera, 640, 480, null));",raycast_depth_probe_uses_camera_pixelrect_size_not_reference_aspect,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,100,camera_pixelrect,int pixelRectRejected = 0;,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,105,camera_pixelrect,if (!row.pixelRectContains) pixelRectRejected++;,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,106,camera_pixelrect,if (row.pixelRectContains && row.mirrorTargetFinalCandidate) mirrorCandidateInsidePixelRect++;,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,108,camera_pixelrect,result.prePatchPixelRectRejectedCount = pixelRectRejected;,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,110,camera_pixelrect,if (pixelRectRejected > 0 && mirrorCandidateInsidePixelRect == 0),camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,132,camera_pixelrect,"var pixelRect = eventCamera != null ? eventCamera.pixelRect : new Rect(0, 0, Screen.width, Screen.height);",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,133,camera_pixelrect,"var pixelRectViewport = new Vector2(pixelRect.x + viewport.x * pixelRect.width, pixelRect.y + viewport.y * pixelRect.height);",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,140,camera_pixelrect,"candidates.Add(new PointCandidate(""viewport_pixelRect"", pixelRectViewport));",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,168,camera_pixelrect,"s.eventCameraPixelRect = eventCamera != null ? RectString(eventCamera.pixelRect) : """";",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,170,camera_pixelrect,s.pixelRectContains = eventCamera == null || eventCamera.pixelRect.Contains(candidate.position);,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,200,camera_pixelrect,"var detail = MirrorGraphic(phase, candidate, button, target, raycaster, eventCamera, canvas, graphic, s.pixelRectContains, s.displayMatches);",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,218,camera_pixelrect,"private static DetailRow MirrorGraphic(string phase, PointCandidate candidate, Button button, Graphic target, GraphicRaycaster raycaster, Camera eventCamera, Canvas canvas, Graphic graphic, bool pixelRectContains, bool displayMatches)",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,239,camera_pixelrect,d.pixelRectContains = pixelRectContains;,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,250,camera_pixelrect,"if (!pixelRectContains) d.rejectionReason = ""event_camera_pixelrect_reject"";",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,268,camera_pixelrect,"if (!s.pixelRectContains) return ""event_camera_pixelrect_reject"";",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,289,camera_pixelrect,if (row.pixelRectContains) result.reopenPixelRectContainsCount++;,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,368,orthographic_size,if (camera.orthographicSize < 1f) camera.orthographicSize = 540f;,capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,370,camera_aspect,camera.ResetAspect();,camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,382,render_camera_flexible,"private static Texture2D RenderCamera(Camera camera, int width, int height, string optionalPath)",internal_width_height_parameter_exists_but_public_build_call_must_be_checked,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,385,render_texture,"var rt = new RenderTexture(width, height, 24, RenderTextureFormat.ARGB32);",capture_output_size_comes_from_render_texture_dimensions,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,391,texture2d,"var texture = new Texture2D(width, height, TextureFormat.RGB24, false);",capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,392,read_pixels,"texture.ReadPixels(new Rect(0, 0, width, height), 0, 0);",pixel_readback_size_matches_render_texture_or_constants,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,433,camera_pixelrect,"sb.AppendLine(""phase,pointName,buttonName,buttonScenePath,targetScenePath,pointerPosition,canvasPath,canvasRenderMode,canvasSortingOrder,canvasTargetDisplay,raycasterIgnoreReversedGraphics,raycasterBlockingObjects,eventCameraName,eventCameraPixelRect,eventCameraTargetDisplay,pixelRectContains,displayRelative,displayRelativeNonZero,displayMatches,registryCount,targetDepth,targetAbsoluteDepth,mirrorFinalCandidateCount,mirrorTargetFinalCandidate,mirrorFinalPaths,unityHitCount,unityTargetHit,unityHitPaths,raycastReady,primaryFailure"");",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,437,camera_pixelrect,"Csv(r.phase), Csv(r.pointName), Csv(r.buttonName), Csv(r.buttonScenePath), Csv(r.targetScenePath), Csv(r.pointerPosition), Csv(r.canvasPath), Csv(r.canvasRenderMode), r.canvasSortingOrder.ToString(), r.canvasTargetDisplay.ToString(), Bool(r.raycasterIgnoreReversedGraphics), Csv(r.raycasterBlockingObjects), Csv(r.eventCameraName), Csv(r.eventCameraPixelRect), r.eventCameraTargetDisplay.ToString(), Bool(r.pixelRectContains), Csv(r.displayRelative), Bool(r.displayRelativeNonZero), Bool(r.displayMatches), r.registryCount.ToString(), r.targetDepth.ToString(), r.targetAbsoluteDepth.ToString(), r.mirrorFinalCandidateCount.ToString(), Bool(r.mirrorTargetFinalCandidate), Csv(r.mirrorFinalPaths), r.unityHitCount.ToString(), Bool(r.unityTargetHit), Csv(r.unityHitPaths), Bool(r.raycastReady), Csv(r.primaryFailure)",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,446,camera_pixelrect,"sb.AppendLine(""phase,pointName,buttonName,buttonScenePath,targetScenePath,pointerPosition,graphicScenePath,graphicName,graphicType,isTargetGraphic,graphicDepth,absoluteDepth,raycastTarget,activeInHierarchy,enabled,canvasRendererCull,cullTransparentMesh,materialName,pixelRectContains,displayMatches,rectContains,graphicRaycast,graphicRaycastError,reversedDot,reversedPass,canvasGroupPass,canvasGroupSummary,finalCandidate,rejectionReason"");",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,450,camera_pixelrect,"Csv(r.phase), Csv(r.pointName), Csv(r.buttonName), Csv(r.buttonScenePath), Csv(r.targetScenePath), Csv(r.pointerPosition), Csv(r.graphicScenePath), Csv(r.graphicName), Csv(r.graphicType), Bool(r.isTargetGraphic), r.graphicDepth.ToString(), r.absoluteDepth.ToString(), Bool(r.raycastTarget), Bool(r.activeInHierarchy), Bool(r.enabled), Bool(r.canvasRendererCull), Bool(r.cullTransparentMesh), Csv(r.materialName), Bool(r.pixelRectContains), Bool(r.displayMatches), Bool(r.rectContains), Bool(r.graphicRaycast), Csv(r.graphicRaycastError), Float(r.reversedDot), Bool(r.reversedPass), Bool(r.canvasGroupPass), Csv(r.canvasGroupSummary), Bool(r.finalCandidate), Csv(r.rejectionReason)",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,551,camera_pixelrect,"public bool raycasterIgnoreReversedGraphics, pixelRectContains, displayRelativeNonZero, displayMatches, mirrorTargetFinalCandidate, unityTargetHit, raycastReady;",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle48SortOrderDisplayHitOcclusionTraceEditor.cs,557,camera_pixelrect,"public bool isTargetGraphic, raycastTarget, activeInHierarchy, enabled, canvasRendererCull, cullTransparentMesh, pixelRectContains, displayMatches, rectContains, graphicRaycast, reversedPass, canvasGroupPass, finalCandidate;",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,19,capture_path_16x9,"private const string CapturePath = ""Assets/RestoreCaptures/battle_actor/Battle46GraphicRaycasterEventCameraScreenSpaceCandidate_1920x1080.png"";",hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,20,capture_width,private const int CaptureWidth = 1920;,hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,21,capture_height,private const int CaptureHeight = 1080;,hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,58,save_scene,"EditorSceneManager.SaveScene(scene, ScenePath);",existing_build_path_mutates_scene_asset,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,207,orthographic_size,"camera.orthographicSize,",capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,210,camera_aspect,"camera.aspect,",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,211,camera_pixelrect,"RectString(camera.pixelRect),",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,219,camera_pixelrect,"private static void SetCameraFields(Row row, string prefix, string name, bool enabled, float depth, int cullingMask, int display, bool ortho, float orthoSize, float near, float far, float aspect, string pixelRect, string pixelSize, string clearFlags, float px, float py, float pz)",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,223,camera_pixelrect,"row.worldCameraName = name; row.worldCameraEnabled = enabled; row.worldCameraDepth = Float(depth); row.worldCameraCullingMask = cullingMask; row.worldCameraTargetDisplay = display; row.worldCameraOrthographic = ortho; row.worldCameraOrthographicSize = Float(orthoSize); row.worldCameraNear = Float(near); row.worldCameraFar = Float(far); row.worldCameraAspect = Float(aspect); row.worldCameraPixelRect = pixelRect; row.worldCameraPixelSize = pixelSize; row.worldCameraClearFlags = clearFlags; row.worldCameraPosition = Vec3(new Vector3(px, py, pz));",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,227,camera_pixelrect,"row.eventCameraName = string.IsNullOrEmpty(name) ? row.eventCameraName : name; row.eventCameraEnabled = enabled; row.eventCameraDepth = Float(depth); row.eventCameraCullingMask = cullingMask; row.eventCameraTargetDisplay = display; row.eventCameraOrthographic = ortho; row.eventCameraOrthographicSize = Float(orthoSize); row.eventCameraNear = Float(near); row.eventCameraFar = Float(far); row.eventCameraAspect = Float(aspect); row.eventCameraPixelRect = pixelRect; row.eventCameraPixelSize = pixelSize; row.eventCameraClearFlags = clearFlags; row.eventCameraPosition = Vec3(new Vector3(px, py, pz));",camera_aspect_or_pixelrect_is_capture_viewrect_relevant,trace_required
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,430,orthographic_size,if (camera.orthographicSize < 1f) camera.orthographicSize = 540f;,capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,437,render_texture,"var rt = new RenderTexture(CaptureWidth, CaptureHeight, 24, RenderTextureFormat.ARGB32);",capture_output_size_comes_from_render_texture_dimensions,trace_required
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,443,texture2d,"var texture = new Texture2D(CaptureWidth, CaptureHeight, TextureFormat.RGB24, false);",capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle46GraphicRaycasterEventCameraScreenSpaceEditor.cs,444,read_pixels,"texture.ReadPixels(new Rect(0, 0, CaptureWidth, CaptureHeight), 0, 0);",pixel_readback_size_matches_render_texture_or_constants,trace_required
girlswar_battle_unity\Assets\Editor\Battle45Empty4RaycastRegistryEditor.cs,21,capture_path_16x9,"private const string CapturePath = ""Assets/RestoreCaptures/battle_actor/Battle45Empty4RaycastRegistryCandidate_1920x1080.png"";",hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle45Empty4RaycastRegistryEditor.cs,22,capture_width,private const int CaptureWidth = 1920;,hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle45Empty4RaycastRegistryEditor.cs,23,capture_height,private const int CaptureHeight = 1080;,hardcoded_16_9_capture_dimension_or_filename,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle45Empty4RaycastRegistryEditor.cs,126,save_scene,"EditorSceneManager.SaveScene(scene, ScenePath);",existing_build_path_mutates_scene_asset,blocks_existing_true_capture
girlswar_battle_unity\Assets\Editor\Battle45Empty4RaycastRegistryEditor.cs,441,orthographic_size,if (camera.orthographicSize < 1f) camera.orthographicSize = 540f;,capture_pipeline_evidence,trace_required
girlswar_battle_unity\Assets\Editor\Battle45Empty4RaycastRegistryEditor.cs,448,render_texture,"var rt = new RenderTexture(CaptureWidth, CaptureHeight, 24, RenderTextureFormat.ARGB32);",capture_output_size_comes_from_render_texture_dimensions,trace_required
girlswar_battle_unity\Assets\Editor\Battle45Empty4RaycastRegistryEditor.cs,454,texture2d,"var texture = new Texture2D(CaptureWidth, CaptureHeight, TextureFormat.RGB24, false);",capture_pipeline_evidence,trace_required
