node,kind,status,requiredBy,evidence,blockerIfMissing,battle58Finding
ModulesInit.ProcedureNormalBattle,Lua module table,decoded_source_available_not_bootstrapped,btnAuto/btnTwoSpeed/btnFastSkill/btnBuff/UI_Battle3DUI/UI_BattleBoxPage,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua:1; SetGameSpeed:933; ChangeToAuto:3795,blocked_modulesinit_not_initialized,present_but_not_sufficient
ModulesInit.PhotoArtistMgr,Lua global,required_unresolved,btnAuto closure,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:100,blocked_missing_photo_artist_mgr,still_blocking
GameFunction/GameFunctionType,Lua global,required_unresolved,btnAuto/btnTwoSpeed/btnFastSkill gates,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:95; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:118; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:139,blocked_missing_game_function_globals,still_blocking
LuaUtils,Lua global,required_unresolved,UI state toggles and box item lifecycle,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:103; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\8374052518232552317_UI_BattleBoxPage.lua:49; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\-712482409242173665_UI_Battle3DUI.lua:3,blocked_missing_lua_utils,still_blocking
EventSystem/CommonEventId,Lua global,required_unresolved,Battle UI events and ProcedureNormalBattle auto/manual,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\-712482409242173665_UI_Battle3DUI.lua:8; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\8374052518232552317_UI_BattleBoxPage.lua:24; C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua:3805,blocked_missing_lua_event_bus,still_blocking
SaveMgr/PlayerMgr/GameTools/SetTimeScaleType,Lua global,required_unresolved,ProcedureNormalBattle.SetGameSpeed,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua:933-947,blocked_missing_save_player_time_globals,still_blocking
UIUtil/DOTween/GameEntry.CameraCtrl,Lua global,required_unresolved,btn_box click reward animation,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\8374052518232552317_UI_BattleBoxPage.lua:163-178,blocked_missing_box_animation_runtime,still_blocking
btnAuto,HUD button,raycast_ready_but_handler_unbound,ChangeToAuto(true)/ChangeToManual,UI_NormalBattle:86-110,blocked_missing_xlua_gameentry_modulesinit_bootstrap,handlerBound=False; lifecycle=False
btnBuff,HUD button,raycast_ready_but_handler_unbound,ShowBuffView(f==false),UI_NormalBattle:180-184,blocked_missing_xlua_gameentry_modulesinit_bootstrap,handlerBound=False; lifecycle=False
btnTwoSpeed,HUD button,raycast_ready_but_handler_unbound,ProcedureNormalBattle.SetGameSpeed,UI_NormalBattle:111-131,blocked_missing_xlua_gameentry_modulesinit_bootstrap,handlerBound=False; lifecycle=False
btnFastSkill,HUD button,raycast_ready_but_handler_unbound,ChangeGameFastSkill/CheckFastSkill,UI_NormalBattle:132-146,blocked_missing_xlua_gameentry_modulesinit_bootstrap,handlerBound=False; lifecycle=False
btn_box,HUD button,raycast_ready_but_handler_unbound,UIEventListener.onClick showFlyAction/RecycleBoxInstance,UI_BattleBoxPage:162-178,blocked_missing_xlua_gameentry_modulesinit_bootstrap,handlerBound=False; lifecycle=False
