order,node,kind,purpose,requiredBy,localEvidenceStatus,feasibility,evidence,blockerIfMissing
11,ModulesInit,Lua module table,Initialize module table and managers,"ProcedureNormalBattle, EventSystem, managers",decoded_source_available_not_bootstrapped,insufficient_partial,generated_probe_or_restore_evidence_not_runtime @ girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,Decoded source exists; not executed
12,ModulesInit.ProcedureNormalBattle,battle Lua module,Provide ChangeToAuto/Manual/SetGameSpeed/FastSkill/battle state,4 HUD buttons and battle lifecycle,decoded_source_available_not_initialized,insufficient_partial,,Decoded source exists; not assigned into live ModulesInit
13,SaveMgr/PlayerMgr/GameTools/SetTimeScaleType,Lua/CS globals,Support speed/auto/manual handler body,btnTwoSpeed/btnAuto,unresolved,blocked,,Required globals unresolved
14,GameFunction/GameFunctionType/LuaUtils/EventSystem/CommonEventId,Lua/CS globals,Support UI gates/events/component lookup,UI_NormalBattle and box page,unresolved,blocked,,Required globals unresolved
15,UIUtil/DOTween/GameEntry.CameraCtrl,UI/animation services,Support battle box reward animation and world/camera positions,btn_box,unresolved,blocked,,Required services unresolved
B52,XLua.LuaEnv,xLua runtime,BATTLE52 carryover dependency,YouYou.LuaManager.luaEnv and LoadUIScript,missing_in_restored_unity_project,blocked,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:451037,blocked_missing_xlua_runtime
B52,XLua.LuaTable,xLua runtime,BATTLE52 carryover dependency,LuaForm/LuaUnit scriptEnv and LuaComBinder.GetComponents,missing_in_restored_unity_project,blocked,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:451405,blocked_missing_xlua_runtime
B52,XLua.LuaFunction,xLua runtime,BATTLE52 carryover dependency,LuaManager event delegates,missing_in_restored_unity_project,blocked,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:451187,blocked_missing_xlua_runtime
B52,YouYou.GameEntry.Lua,GameEntry,BATTLE52 carryover dependency,LuaForm/LuaUnit lifecycle script loading and decoded Lua GameEntry.* calls,missing_in_restored_unity_project,blocked,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:498815; C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:499143,blocked_missing_gameentry_lua_manager
B52,YouYou.LuaManager.LoadUIScript,LuaManager,BATTLE52 carryover dependency,LuaForm/LuaUnit OnInit/Init,missing_in_restored_unity_project,blocked,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502840,blocked_missing_lua_manager_loader
B52,MyLoader/GetLuaBuff/LoadLuaAssetBundle,LuaManager loader,BATTLE52 carryover dependency,Load decoded UI and procedure Lua bytes,missing_in_restored_unity_project,blocked,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502831; C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502834,blocked_missing_lua_asset_loader
B52,YouYou.LuaForm,Bridge,BATTLE52 carryover dependency,UI_NormalBattle OnInit/Open,source_backed_stub_present_not_runtime_lifecycle,insufficient_partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:502186,blocked_stub_does_not_execute_xlua
B52,YouYou.LuaUnit,Bridge,BATTLE52 carryover dependency,UI_Battle3DUI and UI_BattleBoxPage Init/Open,source_backed_stub_present_not_runtime_lifecycle,insufficient_partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:514483,blocked_stub_does_not_execute_xlua
B52,LuaComponentBinder.LuaComBinder,Bridge,BATTLE52 carryover dependency,UI_BattleBoxPage GenBox LuaUtils.GetLuaComBinder/GetComponents,source_backed_stub_present_partial_schema_only,insufficient_partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:444585,blocked_no_luatable_components
B52,YouYou.UIEventListener.onClick,Bridge,BATTLE52 carryover dependency,btn_box lines 162-178,source_backed_stub_present_delegate_unbound,insufficient_partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs:513943,blocked_no_lua_closure_delegate
B52,ModulesInit.ProcedureNormalBattle,Lua module table,BATTLE52 carryover dependency,btnAuto/btnTwoSpeed/btnFastSkill/btnBuff/UI_Battle3DUI/UI_BattleBoxPage,decoded_source_available_not_bootstrapped,insufficient_partial,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua:1; SetGameSpeed:933; ChangeToAuto:3795,blocked_modulesinit_not_initialized
B52,ModulesInit.PhotoArtistMgr,Lua global,BATTLE52 carryover dependency,btnAuto closure,required_unresolved,blocked,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:100,blocked_missing_photo_artist_mgr
B52,GameFunction/GameFunctionType,Lua global,BATTLE52 carryover dependency,btnAuto/btnTwoSpeed/btnFastSkill gates,required_unresolved,blocked,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:95; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:118; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:139,blocked_missing_game_function_globals
B52,LuaUtils,Lua global,BATTLE52 carryover dependency,UI state toggles and box item lifecycle,required_unresolved,blocked,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua:103; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\8374052518232552317_UI_BattleBoxPage.lua:49; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\-712482409242173665_UI_Battle3DUI.lua:3,blocked_missing_lua_utils
B52,EventSystem/CommonEventId,Lua global,BATTLE52 carryover dependency,Battle UI events and ProcedureNormalBattle auto/manual,required_unresolved,blocked,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\-712482409242173665_UI_Battle3DUI.lua:8; C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\8374052518232552317_UI_BattleBoxPage.lua:24; C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua:3805,blocked_missing_lua_event_bus
B52,SaveMgr/PlayerMgr/GameTools/SetTimeScaleType,Lua global,BATTLE52 carryover dependency,ProcedureNormalBattle.SetGameSpeed,required_unresolved,blocked,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua:933-947,blocked_missing_save_player_time_globals
B52,UIUtil/DOTween/GameEntry.CameraCtrl,Lua global,BATTLE52 carryover dependency,btn_box click reward animation,required_unresolved,blocked,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\8374052518232552317_UI_BattleBoxPage.lua:163-178,blocked_missing_box_animation_runtime
BTN,btnAuto,HUD button,ChangeToAuto(true)/ChangeToManual,original Lua click closure,raycast_ready_unity_handler_unbound,blocked,directTargetIncluded=True; onClickKnownCount=0; uiEventListenerDelegate=False,Needs source-backed xLua/GameEntry/LuaManager lifecycle to bind original closure; fake handler forbidden.
BTN,btnBuff,HUD button,ShowBuffView(f==false),original Lua click closure,raycast_ready_unity_handler_unbound,blocked,directTargetIncluded=True; onClickKnownCount=0; uiEventListenerDelegate=False,Needs source-backed xLua/GameEntry/LuaManager lifecycle to bind original closure; fake handler forbidden.
BTN,btnTwoSpeed,HUD button,ProcedureNormalBattle.SetGameSpeed,original Lua click closure,raycast_ready_unity_handler_unbound,blocked,directTargetIncluded=True; onClickKnownCount=0; uiEventListenerDelegate=False,Needs source-backed xLua/GameEntry/LuaManager lifecycle to bind original closure; fake handler forbidden.
BTN,btnFastSkill,HUD button,ChangeGameFastSkill/CheckFastSkill,original Lua click closure,raycast_ready_unity_handler_unbound,blocked,directTargetIncluded=True; onClickKnownCount=0; uiEventListenerDelegate=False,Needs source-backed xLua/GameEntry/LuaManager lifecycle to bind original closure; fake handler forbidden.
BTN,btn_box,HUD button,UIEventListener.onClick showFlyAction/RecycleBoxInstance,original Lua click closure,raycast_ready_unity_handler_unbound,blocked,directTargetIncluded=True; onClickKnownCount=0; uiEventListenerDelegate=False,Needs source-backed xLua/GameEntry/LuaManager lifecycle to bind original closure; fake handler forbidden.
