routePath,sourceTable,activeSelf,activeInHierarchy,siblingIndex,siblingCount,anchoredPosition,localScale,sizeDelta,anchorMin,anchorMax,sourceEvidence,runtimeControlEvidence,classification,proposedExactChange
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerShield,routes,True,True,3,5,0/-2,1/1/1,276.4/32.95,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerShield/effect,routes,True,True,2,4,0/0,-1/1/1,300/42,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerShield/effect_2,routes,False,False,0,4,110.2/-2.1,-1/-1/1,200/30,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerShield/imgPlayerShield (1),routes,True,True,1,4,0/1.9,-1/1/1,279/30,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerShield/trans_shield_frame,routes,True,True,3,4,-1/-1.9,1/1/1,276.5/15,0/0.5,0/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/imgPlayerShield/trans_shield_frame/trans_shield_point,routes,True,True,0,1,0/0,1/1/1,0/0,0/0.5,0/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgPlayerHPBG/text_player_shield_num,routes,True,True,4,5,-132.6/20,1/1/1,200/23.5,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/img_yazhi,routes,True,True,13,14,6/-27,1/1/1,41/47,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/img_yazhi/text_yahei_num,routes,True,True,0,1,-0.4/-15,1/1/1,0/0,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtFirstAttack,routes,True,True,6,14,110/-37,1/1/1,200/50,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtLevel,routes,True,True,8,14,159/-40,1/1/1,87/17.9899,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtNickName,routes,True,True,7,14,108/23,1/1/1,200/23.5,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_FirstAttack,routes,False,False,9,14,-153/23,1/1/1,112.02/16.01,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name,routes,False,False,10,14,114/-17,1/1/1,112.01999/16.01,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name/txt_chengzhan_server,routes,True,False,0,1,-1/0,1/1/1,40.020004/16.01,0/0.5,0/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_zhansha_num,routes,False,False,12,14,-113/-25,1/1/1,18.02/36.01,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo,routes,True,True,0,4,-195/-43,1/1/1,406/87,0.5/1,0.5/1,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi,routes,True,True,5,14,-143/29,0.7/0.7/1,160/117,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi/text_guan_num,routes,True,True,0,1,0.1/10,1/1/1,0/15,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_chengzhan_zhan,routes,False,False,12,14,150/-20,0.67/0.67/0.67,39/39,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_mask,routes,True,True,2,14,-142/0,1/1/1,89/90,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_mask/imgPlayerHeadIcon,routes,True,True,0,1,0/0,1/1/1,89/90,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/im_toukuang,routes,False,False,3,14,-141.4/0,1/1/1,120/120,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgBG,routes,True,True,0,14,-189.5/4,1/1/1,283/96,0.5/1,0.5/1,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgMask,routes,False,False,1,14,-141/1,1/1/1,86/84,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG,routes,True,True,4,14,38/5,1/1/1,280/30,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/bg,routes,True,True,0,3,0/0,-1/1/1,280/30,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/imgPlayerHP,routes,True,True,2,3,0/0,1/1/1,280/30,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/imgPlayerHP_Red,routes,True,True,1,3,0/0,1/1/1,280/30,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/img_yazhi,routes,True,True,9,14,11/-27,1/1/1,41/47,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/img_yazhi/text_yahei_num,routes,True,True,0,1,-0.4/-15.1,1/1/1,0/0,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtFirstAttack,routes,True,True,6,14,-94/-37,1/1/1,200/50,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtLevel,routes,True,True,8,14,-142/-40,1/1/1,84/16,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtNickName,routes,True,True,7,14,-92/23,1/1/1,200/23.5,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_FirstAttack,routes,False,False,10,14,167/23,1/1/1,112.02/16.01,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server,routes,False,False,11,14,-96/-17,1/1/1,40.02/16.01,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server/txt_chengzhan_name,routes,True,False,0,1,1/0,1/1/1,112.02/16.01,1/0.5,1/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_zhansha_num,routes,False,False,13,14,135/-25,1/1/1,50.42/36.01,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave,routes,True,True,3,4,161/-81,1/1/1,98/54,0.5/0.5,0.5/0.5,BATTLE54/BATTLE69 route/card/TMP/mask evidence join,"UI_NormalBattle.lua lines 222, 1194, 1218, 1224 control top-center visibility",needs_runtime_or_handler_evidence,do not patch active/sprite/child state until source-backed xLua/GameEntry/ModulesInit runtime state is available
