path,name,fileId,activeSelf,activeInHierarchy,layer,parentPath,siblingIndex,siblingCount,transformType,localPosition,anchoredPosition,localScale,sizeDelta,anchorMin,anchorMax,pivot,childNames,componentTypes,warning,text,fontSize,fontSizeBase,enableAutoSizing,fontSizeMin,fontSizeMax,characterSpacing,characterHorizontalScale,overflowMode,textWrappingMode,fontAssetRef,sharedMaterialRef
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server,txt_chengzhan_server,236955043,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo,11,14,RectTransform,0/0/0,-96/-17,1/1/1,40.02/16.01,0.5/0.5,0.5/0.5,0/0.5,txt_chengzhan_name,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,'[s23]',16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi/text_guan_num,text_guan_num,239678769,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi,0,1,RectTransform,0/0/0,0.1/10,1/1/1,0/15,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,2,26,26,0,18,72,0,1,0,1,2268522548353052838,-4383744721098263825
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip/text (1),text (1),260292245,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip,4,5,RectTransform,0/0/0,0/-30,1.1/1/1,98.64/39.57,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,"""\uC2A4\uD0B5""",18,18,0,18,72,-10,1,0,1,-724809986894116682,3956069427523887780
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip/text,text,291558172,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip,1,5,RectTransform,0/0/0,0/3,1.1/1/1,98.64/39.57,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,'{0}',26,26,0,18,72,-10,1,0,1,-724809986894116682,3956069427523887780
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_wave,text_wave,362039216,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave,0,2,RectTransform,0/0/0,-8/0,1/1/1,50/50,0.5/0.5,0.5/0.5,1/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,WAVE,16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff/text,text,365141425,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,4,5,RectTransform,0/0/0,0/-30,1.1/1/1,98.64/39.57,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,"""\uC790\uB3D9""",18,18,0,18,72,0,1,0,1,-724809986894116682,3956069427523887780
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_FirstAttack,txt_chengzhan_FirstAttack,372994872,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo,9,14,RectTransform,0/0/0,-153/23,1/1/1,112.02/16.01,0.5/0.5,0.5/0.5,0/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,"""\uC120\uC81C \uAC12: 1233214""",16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/text_cizhui1,text_cizhui1,374545043,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group,2,5,RectTransform,0/0/0,-18.360203/92.4,1/1/1,201.5133/0,0/0,0/0,0.5/1,zhuangshi,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,"""\uB9C8\uD654\uB41C \uC18C\uB140\uC758 \uD2B9\uC131""",20,20,0,18,72,-10,1,0,1,2268522548353052838,-6541690290105773087
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/txtNickName,txtNickName,407980270,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p,1,3,RectTransform,0/0/0,-47.8/-7,1/1/1,72.01/23.5,0.5/0.5,0.5/0.5,1/0.5,txtLevel,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,active_self_but_inactive_parent | has_missing_script_component,"""\uC774\uB098\uC640 \uB098\uBBF8""",18,18,0,18,72,0,1,0,1,2268522548353052838,4174273018840097604
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server/txt_chengzhan_name,txt_chengzhan_name,464788638,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server,0,1,RectTransform,0/0/0,1/0,1/1/1,112.02/16.01,1/0.5,1/0.5,0/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,active_self_but_inactive_parent | has_missing_script_component,"""\uC804\uC7A5 \uAD6C\uC5ED\uC5D0\uC11C \uAD00\uC804\uD560 \uC218 \uC788\uC2B5\uB2C8\uB2E4""",16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtFirstAttack,txtFirstAttack,492256382,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo,6,14,RectTransform,0/0/0,-94/-37,1/1/1,200/50,0.5/0.5,0.5/0.5,0/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,"""\uC120\uC81C \uAC12: 1233214""",16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/team_desc_right,team_desc_right,539547745,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right,1,4,RectTransform,0/0/0,0/285,1/1/1,200/23.5,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,"""\uC6A9\uC774\uB2E4""",20,20,0,18,72,20,1,0,0,2268522548353052838,4174273018840097604
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/cizhui_group/text_cizhui4,text_cizhui4,584696792,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/cizhui_group,3,4,RectTransform,0/0/0,126.90138/-135.45,1/1/1,193.8028/32.01,0/1,0/1,0.5/1,zhuangshi,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,"""\uC624\uB298 \uB0A8\uC740 \uAD6C\uB9E4 \uD69F\uC218: \uC624\uB298 \uB0A8""",16,16,0,18,72,0,1,0,1,-724809986894116682,477919381716323141
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtFirstAttack,txtFirstAttack,589755684,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo,6,14,RectTransform,0/0/0,110/-37,1/1/1,200/50,0.5/0.5,0.5/0.5,1/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,"""\uC120\uC81C \uAC12: 10""",16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem/txtBeControl,txtBeControl,594706976,True,False,0,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem,2,6,RectTransform,0/0/0,0/-28,1/1/1,107.7/30,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,active_self_but_inactive_parent,"""\uAE30\uC808""",20,20,0,18,72,0,1,0,1,2268522548353052838,8649876188915954944
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_zhansha_num,txt_chengzhan_zhansha_num,690819856,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo,12,14,RectTransform,0/0/0,-113/-25,1/1/1,18.02/36.01,0.5/0.5,0.5/0.5,0/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,0,36,36,0,18,72,-5,1,0,1,-724809986894116682,3932716197974622303
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034/txtBeControl,txtBeControl,690835998,True,True,0,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034,2,6,RectTransform,0/0/0,0/-28,1/1/1,107.7/30,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,"""\uAE30\uC808""",20,20,0,18,72,0,1,0,1,2268522548353052838,8649876188915954944
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p/txtNickName,txtNickName,749421862,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p,2,4,RectTransform,0/0/0,-38/-38,1/1/1,100/23.5,0.5/0.5,0.5/0.5,1/0.5,txtLevel,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,active_self_but_inactive_parent,"""\uC774\uB098\uC640 \uB098\uBBF8""",18,18,0,18,72,0,1,0,1,2268522548353052838,4174273018840097604
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed/im_on/text_TwoSpeed_On,text_TwoSpeed_On,764825796,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed/im_on,0,1,RectTransform,0/0/0,1/-1,1/1/1,40.01/25,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,X2.0,20,20,0,18,72,0,1,0,1,2268522548353052838,6871398411308274113
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p/txtNickName,txtNickName,796689291,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p,2,4,RectTransform,0/0/0,-38/-38,1/1/1,100/23.5,0.5/0.5,0.5/0.5,1/0.5,txtLevel,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,active_self_but_inactive_parent,"""\uC774\uB098\uC640 \uB098\uBBF8""",18,18,0,18,72,0,1,0,1,2268522548353052838,4174273018840097604
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtLevel,txtLevel,798296965,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo,8,14,RectTransform,0/0/0,159/-40,1/1/1,87/17.9899,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,Lv.23,20,20,0,18,72,-5,1,0,1,2268522548353052838,4174273018840097604
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto/text,text,828064913,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto,4,5,RectTransform,0/0/0,0/-30,1.1/1/1,98.64/39.57,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,"""\uC790\uB3D9""",18,18,0,18,72,0,1,0,1,-724809986894116682,3956069427523887780
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed/text,text,845553284,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed,3,4,RectTransform,0/0/0,0/-30,1.1/1/1,98.64/39.57,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,"""2\uBC30\uC18D""",18,18,0,18,72,0,1,0,1,-724809986894116682,3956069427523887780
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p/txtNickName/txtLevel,txtLevel,912977477,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p/txtNickName,0,1,RectTransform,0/0/0,50/-19,1/1/1,84/16,0.5/0.5,0.5/0.5,1/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,active_self_but_inactive_parent,Lv.{0},18,18,0,18,72,-5,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill/text,text,1038926910,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnFastSkill,3,4,RectTransform,0/0/0,0/-30,1.1/1/1,98.64/39.57,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,"""\uC601\uC0C1 \uB044\uAE30""",18,18,0,18,72,-10,1,0,1,-724809986894116682,3956069427523887780
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_06_ui_normalbattle_pause/Center/BT_jixu/Text_jixu,Text_jixu,1068043941,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_06_ui_normalbattle_pause/Center/BT_jixu,0,1,RectTransform,0/0/0,0/22,1/1/1,0/0,0.5/0,0.5/0,0.5/1,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,active_self_but_inactive_parent | has_missing_script_component,"""\uACC4\uC18D""",20,20,0,18,72,0,1,0,1,2268522548353052838,4174273018840097604
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_name,txt_chengzhan_name,1084404017,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo,10,14,RectTransform,0/0/0,114/-17,1/1/1,112.01999/16.01,0.5/0.5,0.5/0.5,1/0.5,txt_chengzhan_server,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,"""\uC804\uC7A5 \uAD6C\uC5ED\uC5D0\uC11C \uAD00\uC804\uD560 \uC218 \uC788\uC2B5\uB2C8\uB2E4""",16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p/txtNickName/txtLevel,txtLevel,1181224173,True,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p/txtNickName,0,1,RectTransform,0/0/0,50/-19,1/1/1,84/16,0.5/0.5,0.5/0.5,1/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,active_self_but_inactive_parent,Lv.{0},18,18,0,18,72,-5,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/node_buff/ScrollViewBuff/Viewport/Content/buff_icon/text_round,text_round,1191988676,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/node_buff/ScrollViewBuff/Viewport/Content/buff_icon,2,3,RectTransform,0/0/0,9.6/4.7,1/1/1,20/8,0.5/0.5,0.5/0.5,1/0,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,3,14,14,0,18,72,10,1,0,1,454391846754054610,3398605064068647022
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2/txtFirstAttack,txtFirstAttack,1200779447,False,False,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/EnemyInfo2,6,7,RectTransform,0/0/0,101/-42.15,1/1/1,200/50,0.5/0.5,0.5/0.5,1/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI,,"""\uC120\uC81C \uAC12: 1233214""",16,16,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/Center/imgAutoTip/bg_tishi/txtAutoTip,txtAutoTip,1221735373,True,True,5,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/Center/imgAutoTip/bg_tishi,0,1,RectTransform,0/0/0,12/0,1/1/1,0/0,0.5/0.5,0.5/0.5,0.5/0.5,,RectTransform|CanvasRenderer|TMPro.TextMeshProUGUI|<missing>,has_missing_script_component,"""\uC790\uB3D9 \uC804\uD22C\uB97C \uC2DC\uC791\uD569\uB2C8\uB2E4""",24,24,0,18,72,0,1,0,1,-724809986894116682,8649783434632076371
