evidenceType,sourceFile,line,text,implication
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6766,BuildPatchMgr:PlayTimeLine(ModulesInit.BattleSkillEffectManager.CurrTimelineEffect),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6769,ModulesInit.ProcedureNormalBattle.CurrTimelineEffectAttackPointCount=ModulesInit.BattleSkillEffectManager.CurrTimelineEffect.AttackPointCount,Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,6771,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect.OnStopped=function(),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,150,self.hpHealthInTimeLine=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,151,self.hpHealthCrtInTimeLine=false,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,152,self.hpHealthForbidInTimeLine=false,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,153,self.hpHealthAbsorptInTimeLine=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,154,self.hpHealthThornInTimeLine=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,155,self.suckBloodInTimeLine=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,156,self.suckBloodCrtInTimeLine=false,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,161,self.willNotUsualStateInTimeLine=false,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,243,self.BeforeTimeLineWillBeHpHealth=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,244,self.BeforeTimeLineWillBeHpHealthCrt=false,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,245,self.BeforeTimeLineHurtBeforeHP=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,246,self.BeforeTimeLineHurtBeforeArmor=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,247,self.BeforeTimeLineWillHealthFuryValueWithSkipBattle=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,248,self.BeforeTimeLineNeedHurtValue=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,249,self.BeforeTimeLineNeedHurtArmorValue=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,250,self.BeforeTimeLineHurtBeforeSepsisHP=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,251,self.BeforeTimeLineHurtBeforeCurrMaxHP=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,252,self.BeforeTimeLineHurtBeforeCurrSepsisHp=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,253,self.BeforeTimeLineNeedChangeSepsisHP=0,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_damage_state,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,254,self.BeforeTimeLineWillThornHurtValueQueue=nil,"HeroCtrl/HeroBattleInfo hold timeline-only damage, fury, buff, and animation state."
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,1176,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect=e,Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,1177,BuildPatchMgr:PlayTimeLine(ModulesInit.BattleSkillEffectManager.CurrTimelineEffect),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,1182,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect.OnStopped=function(),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,1183,if(ModulesInit.BattleSkillEffectManager.CurrTimelineEffect~=nil)then,Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,1184,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect=nil,Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,2627,ModulesInit.ProcedureNormalBattle.isTimeLine=true,ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,2636,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect=t:GetComponent(typeof(CS.YouYou.TimelineEffect)),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,2637,if ModulesInit.BattleSkillEffectManager.CurrTimelineEffect==nil then,Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,2638,"GameInit.LogErrorAndUpdate(""battle NormalAttak CurrTimelineEffect == nil heroDid = ""..tostring(self.heroDid).."", skillPrefabId = ""..tostring(e))",Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,2640,BuildPatchMgr:PlayTimeLine(ModulesInit.BattleSkillEffectManager.CurrTimelineEffect),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,2645,ModulesInit.ProcedureNormalBattle.CurrTimelineEffectAttackPointCount=ModulesInit.BattleSkillEffectManager.CurrTimelineEffect.AttackPointCount,Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,2647,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect.OnStopped=function(),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,2657,ModulesInit.ProcedureNormalBattle.isTimeLine=false,ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,2658,ModulesInit.ProcedureNormalBattle.RestoreAllHeroAfterTimeLine(),ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,2695,ModulesInit.ProcedureNormalBattle.BackupAllHeroBeforeTimeLine(),ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3332,ModulesInit.ProcedureNormalBattle.isTimeLine=true,ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3342,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect=t:GetComponent(typeof(CS.YouYou.TimelineEffect)),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3343,if ModulesInit.BattleSkillEffectManager.CurrTimelineEffect==nil then,Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3344,"GameInit.LogErrorAndUpdate(""battle NormalAttak CurrTimelineEffect == nil heroDid = ""..tostring(self.heroDid).."", skillPrefabId = ""..tostring(e))",Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3346,BuildPatchMgr:PlayTimeLine(ModulesInit.BattleSkillEffectManager.CurrTimelineEffect),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3347,ModulesInit.ProcedureNormalBattle.CurrTimelineEffectAttackPointCount=ModulesInit.BattleSkillEffectManager.CurrTimelineEffect.AttackPointCount,Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3350,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect.OnStopped=function(),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3359,ModulesInit.ProcedureNormalBattle.isTimeLine=false,ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3360,ModulesInit.ProcedureNormalBattle.RestoreAllHeroAfterTimeLine(),ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3391,ModulesInit.ProcedureNormalBattle.BackupAllHeroBeforeTimeLine(),ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3737,ModulesInit.ProcedureNormalBattle.isTimeLine=true,ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3746,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect=e:GetComponent(typeof(CS.YouYou.TimelineEffect)),Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_timeline_effect_component,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3747,if ModulesInit.BattleSkillEffectManager.CurrTimelineEffect==nil then,Lua expects CS.YouYou.TimelineEffect on the instantiated skill prefab and stores it as CurrTimelineEffect.
lua_buildpatch_playtimeline,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3750,BuildPatchMgr:PlayTimeLine(ModulesInit.BattleSkillEffectManager.CurrTimelineEffect),"Original runtime starts timeline playback through BuildPatchMgr/TimelineEffect, not raw prefab activation."
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3756,ModulesInit.BattleSkillEffectManager.CurrTimelineEffect.OnStopped=function(),ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3766,ModulesInit.ProcedureNormalBattle.isTimeLine=false,ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3767,ModulesInit.ProcedureNormalBattle.RestoreAllHeroAfterTimeLine(),ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
lua_timeline_lifecycle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\-2133702496468653963_HeroCtrl_security_xor_raw.lua,3798,ModulesInit.ProcedureNormalBattle.BackupAllHeroBeforeTimeLine(),ProcedureNormalBattle toggles timeline battle state and restores actor state around playback.
il2cpp_timeline_effect_type,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\8097172070287755095_BattleSkillEffectManager_security_xor_raw.lua,2086,if e.CurrTimelineEffect and e.CurrTimelineEffect.CurrPlayableDirector then,Original IL2CPP contains YouYou.TimelineEffect and xLua wrapper methods.
il2cpp_timeline_effect_type,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\8097172070287755095_BattleSkillEffectManager_security_xor_raw.lua,2087,return e.CurrTimelineEffect.CurrPlayableDirector.time or 0,Original IL2CPP contains YouYou.TimelineEffect and xLua wrapper methods.
il2cpp_timeline_effect_type,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\8097172070287755095_BattleSkillEffectManager_security_xor_raw.lua,2092,if e.CurrTimelineEffect and e.CurrTimelineEffect.CurrPlayableDirector then,Original IL2CPP contains YouYou.TimelineEffect and xLua wrapper methods.
il2cpp_timeline_effect_type,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\8097172070287755095_BattleSkillEffectManager_security_xor_raw.lua,2093,return e.CurrTimelineEffect.CurrPlayableDirector.duration or 0,Original IL2CPP contains YouYou.TimelineEffect and xLua wrapper methods.
il2cpp_timeline_effect_type,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\8097172070287755095_BattleSkillEffectManager_security_xor_raw.lua,2098,if e.CurrTimelineEffect and e.CurrTimelineEffect.CurrPlayableDirector,Original IL2CPP contains YouYou.TimelineEffect and xLua wrapper methods.
il2cpp_timeline_effect_type,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\8097172070287755095_BattleSkillEffectManager_security_xor_raw.lua,2099,"and type(e.CurrTimelineEffect.CurrPlayableDirector.duration)==""number""",Original IL2CPP contains YouYou.TimelineEffect and xLua wrapper methods.
il2cpp_timeline_effect_type,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\8097172070287755095_BattleSkillEffectManager_security_xor_raw.lua,2100,"and type(e.CurrTimelineEffect.CurrPlayableDirector.time)==""number""then",Original IL2CPP contains YouYou.TimelineEffect and xLua wrapper methods.
il2cpp_timeline_effect_type,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battle\8097172070287755095_BattleSkillEffectManager_security_xor_raw.lua,2101,local e=e.CurrTimelineEffect.CurrPlayableDirector.duration-e.CurrTimelineEffect.CurrPlayableDirector.time,Original IL2CPP contains YouYou.TimelineEffect and xLua wrapper methods.
lua_buildpatch_playtimeline,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_battlepreview\4675926732120708722_BattlePreviewMgr_security_xor_raw.lua,276,"ModulesInit.ProcedureNormalBattle.PlayTimeLinenPreview(a,function()","Original runtime starts timeline playback through BuildPatchMgr/TimelineEffect, not raw prefab activation."
il2cpp_playable_director_binding,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,39842,|-Action<PlayableDirector>..ctor,PlayableDirector binding API and xLua wrappers exist in original runtime.
il2cpp_playable_director_binding,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,40218,|-Action<PlayableDirector>.Invoke,PlayableDirector binding API and xLua wrappers exist in original runtime.
il2cpp_playable_director_binding,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,234510,|-Component.GetComponent<PlayableDirector>,PlayableDirector binding API and xLua wrappers exist in original runtime.
il2cpp_playable_director_binding,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,234925,|-GameObject.GetComponent<PlayableDirector>,PlayableDirector binding API and xLua wrappers exist in original runtime.
il2cpp_playable_director_binding,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,260613,"public class PlayableDirector : Behaviour, IExposedPropertyTable // TypeDefIndex: 3740",PlayableDirector binding API and xLua wrappers exist in original runtime.
il2cpp_playable_director_binding,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,260618,private Action<PlayableDirector> played; // 0x18,PlayableDirector binding API and xLua wrappers exist in original runtime.
