blockerKind,item,status,localSubsetRelation,detail
skill,1034201,loadable_with_unresolved_common_resource_deps,payload_gap,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved"
skill,1034301,loadable_with_unresolved_common_resource_deps,payload_gap,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved"
skill,1034401,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1034402,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012201,loadable_with_unresolved_common_resource_deps,payload_gap,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved"
skill,1012301,loadable_with_unresolved_common_resource_deps,payload_gap,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved"
skill,1012301,loadable_with_unresolved_common_resource_deps,payload_gap,"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved"
skill,1012401,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012403,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012101,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012201,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012301,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012301,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012401,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012403,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012101,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012201,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012301,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012301,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012401,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012403,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012101,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012201,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012301,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012301,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012401,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012403,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012101,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012201,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012301,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012301,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012401,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012403,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012101,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012201,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012301,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012301,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1012401,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012403,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012101,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1001401,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1001403,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012101,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1001401,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1001403,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1012101,data_only_missing_actor,payload_gap,"timeline resolves, but owner actor is unresolved_enemy_payload_instance"
skill,1001401,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
skill,1001403,passive_no_timeline,payload_gap,passive-style skill row has no DTSkillAct prefab/timeline mapping
resource,download/roleprefabsandres/battleprefabandres/1036.assetbundle,not_fetchable_local,payload_gap,1036 actor bundle row is known from CDNVersionFile but exact local bundle and asset CDN rule are absent
resource,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,unresolved_missing_common_bundle,payload_gap,"common timeline dependency bundle, such as speedline, is referenced but absent locally"
resource,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,unresolved_missing_common_bundle,payload_gap,"common timeline dependency bundle, such as speedline, is referenced but absent locally"
resource,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,unresolved_missing_common_bundle,payload_gap,"common timeline dependency bundle, such as speedline, is referenced but absent locally"
actor,1036,not_fetchable_local,our,1036 actor bundle is present in CDNVersionFile but absent locally; CDN acquisition trace found no asset CDN build rule
actor,1100112,unresolved_enemy_payload_instance,enemy,payload enemy id has no authoritative DTMonster_* row or alias in local evidence
actor,1100113,unresolved_enemy_payload_instance,enemy,payload enemy id has no authoritative DTMonster_* row or alias in local evidence
actor,1100121,unresolved_enemy_payload_instance,enemy,payload enemy id has no authoritative DTMonster_* row or alias in local evidence
actor,1100122,unresolved_enemy_payload_instance,enemy,payload enemy id has no authoritative DTMonster_* row or alias in local evidence
actor,1100123,unresolved_enemy_payload_instance,enemy,payload enemy id has no authoritative DTMonster_* row or alias in local evidence
actor,1100131,unresolved_enemy_payload_instance,enemy,payload enemy id has no authoritative DTMonster_* row or alias in local evidence
actor,1100132,unresolved_enemy_payload_instance,enemy,payload enemy id has no authoritative DTMonster_* row or alias in local evidence
actor,1100133,unresolved_enemy_payload_instance,enemy,payload enemy id has no authoritative DTMonster_* row or alias in local evidence
actor_bundle,download/roleprefabsandres/battleprefabandres/1036.assetbundle,not_fetchable_local,,1036 actor bundle row is known from CDNVersionFile but exact local bundle and asset CDN rule are absent
timeline_prefab_dep,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,unresolved_missing_common_bundle,,"common timeline dependency bundle, such as speedline, is referenced but absent locally"
timeline_prefab_dep,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,unresolved_missing_common_bundle,,"common timeline dependency bundle, such as speedline, is referenced but absent locally"
timeline_prefab_dep,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,unresolved_missing_common_bundle,,"common timeline dependency bundle, such as speedline, is referenced but absent locally"
