sourceKind,sourcePath,sourceName,sourceActiveSelf,sourceActiveInHierarchy,sourceSiblingIndex,sourceAnchoredPosition,sourceLocalScale,sourceSizeDelta,sourceText,sourceFontSize,sourceFontSizeBase,sourceEnableAutoSizing,sourceFontSizeMin,sourceFontSizeMax,sourceCharacterSpacing,sourceCharacterHorizontalScale,sourceFontAssetRef,sourceSharedMaterialRef,matchKind,candidatePath,candidateActiveSelf,candidateActiveInHierarchy,candidateMissingScriptCount,candidateComponentTypes,candidateHasTmpText,candidateTmpText,candidateTmpFontSize,candidateTmpEnableAutoSizing,candidateTmpFontSizeMin,candidateTmpFontSizeMax,candidateTmpCharacterSpacing,candidateTmpFont,candidateTmpMaterial,candidateLoadedComponent,componentGap,routeKnownInB54OrB70,sourceOwner,sourceEvidence,ownershipRationale,primaryClassification,patchDecision
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server,txt_chengzhan_server,False,False,11,-96/-17,1/1/1,40.02/16.01,'[s23]',16,16,0,18,72,0,1,-724809986894116682,8649783434632076371,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server,False,False,2,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi/text_guan_num,text_guan_num,True,True,0,0.1/10,1/1/1,0/15,2,26,26,0,18,72,0,1,2268522548353052838,-4383744721098263825,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi/text_guan_num,True,True,2,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip/text (1),text (1),False,False,4,0/-30,1.1/1/1,98.64/39.57,"""\uC2A4\uD0B5""",18,18,0,18,72,-10,1,-724809986894116682,3956069427523887780,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip/text (1),False,False,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua,"lines 47-69, 81, 428-489, 522-525, 544, 838, 1246-1264, 1276",skip UI labels/icons are battle-type/runtime controlled,component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip/text,text,False,False,1,0/3,1.1/1/1,98.64/39.57,'{0}',26,26,0,18,72,-10,1,-724809986894116682,3956069427523887780,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip/text,False,False,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua,"lines 47-69, 81, 428-489, 522-525, 544, 838, 1246-1264, 1276",skip UI labels/icons are battle-type/runtime controlled,component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_wave,text_wave,True,True,0,-8/0,1/1/1,50/50,WAVE,16,16,0,18,72,0,1,-724809986894116682,8649783434632076371,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_wave,True,True,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff/text,text,False,False,4,0/-30,1.1/1/1,98.64/39.57,"""\uC790\uB3D9""",18,18,0,18,72,0,1,-724809986894116682,3956069427523887780,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff/text,False,False,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,original prefab + UI_NormalBattle.lua,BATTLE70 route HUD matrix; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,right rail active/state children require original runtime snapshot before patching,component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_FirstAttack,txt_chengzhan_FirstAttack,False,False,9,-153/23,1/1/1,112.02/16.01,"""\uC120\uC81C \uAC12: 1233214""",16,16,0,18,72,0,1,-724809986894116682,8649783434632076371,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_FirstAttack,False,False,2,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/text_cizhui1,text_cizhui1,True,True,2,-18.360203/92.4,1/1/1,201.5133/0,"""\uB9C8\uD654\uB41C \uC18C\uB140\uC758 \uD2B9\uC131""",20,20,0,18,72,-10,1,2268522548353052838,-6541690290105773087,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/1p/txtNickName,txtNickName,True,False,1,-47.8/-7,1/1/1,72.01/23.5,"""\uC774\uB098\uC640 \uB098\uBBF8""",18,18,0,18,72,0,1,2268522548353052838,4174273018840097604,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server/txt_chengzhan_name,txt_chengzhan_name,True,False,0,1/0,1/1/1,112.02/16.01,"""\uC804\uC7A5 \uAD6C\uC5ED\uC5D0\uC11C \uAD00\uC804\uD560 \uC218 \uC788\uC2B5\uB2C8\uB2E4""",16,16,0,18,72,0,1,-724809986894116682,8649783434632076371,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server/txt_chengzhan_name,True,False,2,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtFirstAttack,txtFirstAttack,True,True,6,-94/-37,1/1/1,200/50,"""\uC120\uC81C \uAC12: 1233214""",16,16,0,18,72,0,1,-724809986894116682,8649783434632076371,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txtFirstAttack,True,True,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/team_desc_right,team_desc_right,False,False,1,0/285,1/1/1,200/23.5,"""\uC6A9\uC774\uB2E4""",20,20,0,18,72,20,1,2268522548353052838,4174273018840097604,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/team_desc_right,False,False,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,original prefab + UI_NormalBattle.lua,BATTLE70 route HUD matrix; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,right rail active/state children require original runtime snapshot before patching,component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/cizhui_group/cizhui_group/text_cizhui4,text_cizhui4,False,False,3,126.90138/-135.45,1/1/1,193.8028/32.01,"""\uC624\uB298 \uB0A8\uC740 \uAD6C\uB9E4 \uD69F\uC218: \uC624\uB298 \uB0A8""",16,16,0,18,72,0,1,-724809986894116682,477919381716323141,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtFirstAttack,txtFirstAttack,True,True,6,110/-37,1/1/1,200/50,"""\uC120\uC81C \uAC12: 10""",16,16,0,18,72,0,1,-724809986894116682,8649783434632076371,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtFirstAttack,True,True,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_03_ui_normalbattle_heroitem/txtBeControl,txtBeControl,True,False,2,0/-28,1/1/1,107.7/30,"""\uAE30\uC808""",20,20,0,18,72,0,1,2268522548353052838,8649876188915954944,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,BATTLE54 serialized source row,BATTLE54 TMP/mask audit row,outside B73 focused HUD/right rail set or not enough owner evidence,component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_zhansha_num,txt_chengzhan_zhansha_num,False,False,12,-113/-25,1/1/1,18.02/36.01,0,36,36,0,18,72,-5,1,-724809986894116682,3932716197974622303,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_zhansha_num,False,False,2,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_3_1034/txtBeControl,txtBeControl,True,True,2,0/-28,1/1/1,107.7/30,"""\uAE30\uC808""",20,20,0,18,72,0,1,2268522548353052838,8649876188915954944,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/3p/txtNickName,txtNickName,True,False,2,-38/-38,1/1/1,100/23.5,"""\uC774\uB098\uC640 \uB098\uBBF8""",18,18,0,18,72,0,1,2268522548353052838,4174273018840097604,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed/im_on/text_TwoSpeed_On,text_TwoSpeed_On,False,False,0,1/-1,1/1/1,40.01/25,X2.0,20,20,0,18,72,0,1,2268522548353052838,6871398411308274113,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed/im_on/text_TwoSpeed_On,False,False,2,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua,"lines 111-131, 410-417, 528-530, 683-687, 1193, 1278",btnTwoSpeed labels/icons are speed state owned by ProcedureNormalBattle and Lua,component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/longzhan/PlayerInfo2/2p/txtNickName,txtNickName,True,False,2,-38/-38,1/1/1,100/23.5,"""\uC774\uB098\uC640 \uB098\uBBF8""",18,18,0,18,72,0,1,2268522548353052838,4174273018840097604,none,,,,,,,,,,,,,,,False,source_row_not_present_in_b73_candidate_focus_or_path_missing,True,original prefab + UI_NormalBattle.lua,BATTLE54 route/TMP/mask rows; BATTLE70 route HUD source-delta matrix,"battle HUD TMP/mask values may be static serialized source, but active chain and runtime values need snapshot",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtLevel,txtLevel,True,True,8,159/-40,1/1/1,87/17.9899,Lv.23,20,20,0,18,72,-5,1,2268522548353052838,4174273018840097604,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txtLevel,True,True,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua + ModulesInit.ProcedureNormalBattle,"lines 222, 467-489, 1194, 1218, 1224","TopCenter enemy/player name, wave, and head-mask state are populated by runtime battle data",component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto/text,text,False,False,4,0/-30,1.1/1/1,98.64/39.57,"""\uC790\uB3D9""",18,18,0,18,72,0,1,-724809986894116682,3956069427523887780,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto/text,False,False,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua,"lines 86-110, 404-407, 441-445, 518-520, 1494+",btnAuto TMP/mask state is downstream of original Lua button state and ModulesInit.ProcedureNormalBattle,component_rehydration_required,no_patch_in_battle74
tmp,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed/text,text,False,False,3,0/-30,1.1/1/1,98.64/39.57,"""2\uBC30\uC18D""",18,18,0,18,72,0,1,-724809986894116682,3956069427523887780,exact,BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnTwoSpeed/text,False,False,1,UnityEngine.RectTransform;UnityEngine.CanvasRenderer;<missing>,False,,,False,,,,,,False,tmp_component_absent_or_unresolved_missing_script_in_candidate,True,UI_NormalBattle.lua,"lines 111-131, 410-417, 528-530, 683-687, 1193, 1278",btnTwoSpeed labels/icons are speed state owned by ProcedureNormalBattle and Lua,component_rehydration_required,no_patch_in_battle74
