path,name,focusGroup,fieldName,observedValue,sourceOwner,sourceEvidence,classification,reason,patchDecision
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_2/UI_BattleHeroItem,UI_BattleHeroItem,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_2/ScrollViewGrid,ScrollViewGrid,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_3/UI_BattleHeroItem/starts/im_start7,im_start7,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_FirstAttack,txt_chengzhan_FirstAttack,top_hud,observedCandidateState,active=False,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_1/UI_BattleHeroItem/starts/im_start4,im_start4,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_mask/imgPlayerHeadIcon,imgPlayerHeadIcon,top_hud,observedCandidateState,active=True,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_1/ScrollViewGrid/Viewport/grid,grid,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_2/ScrollViewGrid/Viewport/grid,grid,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/UI_Global_HeadBarItem_BuffIcon/buff_bg,buff_bg,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_1/UI_BattleHeroItem/starts/im_start1,im_start1,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_2/ScrollViewGrid,ScrollViewGrid,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_waveNum,text_waveNum,top_hud,observedCandidateState,active=True,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/txt_chengzhan_server,txt_chengzhan_server,top_hud,observedCandidateState,active=False,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/bg_guanzhi/text_guan_num,text_guan_num,top_hud,observedCandidateState,active=True,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_4/UI_BattleHeroItem/starts/im_start6,im_start6,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnAuto/im_off,im_off,right_rail,observedCandidateState,active=True,UI_NormalBattle.lua,"lines 86-110, 404-407, 441-445, 518-520, 1494+",handler_or_xlua_required,btnAuto click/active/new/lock/on-off state is owned by ModulesInit.ProcedureNormalBattle and LuaUtils.SetChildActive,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_3/UI_BattleHeroItem/starts/im_start2,im_start2,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,CanvasLuaStateHUD_01_ui_normalbattle,canvas_root,activeSelf/activeInHierarchy,True/True,candidate scene/static prefab evidence,BATTLE72 candidate scene component export,already_matches_candidate_scene,field currently observed only in candidate scene; no source-backed delta proving a patch,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,CanvasLuaStateHUD_01_ui_normalbattle,canvas_root,siblingIndex/siblingCount,0/10,candidate scene/static prefab evidence,BATTLE72 candidate scene component export,already_matches_candidate_scene,sibling order is observable but should be frozen from runtime/source snapshot before patch,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,CanvasLuaStateHUD_01_ui_normalbattle,canvas_root,RectTransform,anchor=0/0-0/0; anchored=0/0; size=640/480; scale=0.020833/0.020833/0.020833,candidate scene/static prefab evidence,BATTLE72 candidate scene component export,already_matches_candidate_scene,coordinate-only route transform patch remains forbidden without runtime/source delta,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle,CanvasLuaStateHUD_01_ui_normalbattle,canvas_root,Canvas/CanvasScaler/CanvasGroup,canvas=ScreenSpaceCamera; scaler=; groupBlocks=True,candidate scene/static prefab evidence,BATTLE72 candidate scene component export,runtime_snapshot_required,canvas input/render plumbing is observable but needs runtime snapshot before changing HUD layout,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/btnhelp/im_lock_Auto,im_lock_Auto,button_or_state_child,observedCandidateState,active=False,candidate scene/static prefab evidence,BATTLE72 candidate scene component export,already_matches_candidate_scene,field currently observed only in candidate scene; no source-backed delta proving a patch,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip/text (1),text (1),right_rail,observedCandidateState,active=False,UI_NormalBattle.lua,"lines 47-69, 81, 428-489, 522-525, 544, 838, 1246-1264, 1276",handler_or_xlua_required,skip button visibility/icon/text/new/lock state is runtime battle-type and PhotoArtistMgr owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/BottomCenter/HeroListContainer/Battle29BoundHeroCard_1_1036/imgIconBG/tweener/UIEffect_AllSkillNew,UIEffect_AllSkillNew,button_or_state_child,observedCandidateState,active=False,candidate scene/static prefab evidence,BATTLE72 candidate scene component export,already_matches_candidate_scene,field currently observed only in candidate scene; no source-backed delta proving a patch,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/imgMask,imgMask,top_hud,observedCandidateState,active=False,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip/im_Skip_Auto,im_Skip_Auto,right_rail,observedCandidateState,active=True,UI_NormalBattle.lua,"lines 47-69, 81, 428-489, 522-525, 544, 838, 1246-1264, 1276",handler_or_xlua_required,skip button visibility/icon/text/new/lock state is runtime battle-type and PhotoArtistMgr owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_6/UI_BattleHeroItem/im_touxiang,im_touxiang,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnSkip/text,text,right_rail,observedCandidateState,active=False,UI_NormalBattle.lua,"lines 47-69, 81, 428-489, 522-525, 544, 838, 1246-1264, 1276",handler_or_xlua_required,skip button visibility/icon/text/new/lock state is runtime battle-type and PhotoArtistMgr owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,btnBuff,right_rail,Button/interactable/listeners,enabled=True; interactable=True; persistent=0; target=BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,handler_or_xlua_required,original onClick/listener binding is still blocked by xLua/GameEntry/ModulesInit runtime absence,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff,btnBuff,right_rail,Graphic/Image,enabled=True; raycast=True; sprite=; alpha=1; depth=-1,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"visible graphic fields may be static, but final right-rail/top-HUD state is runtime-owned or needs snapshot",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_1/UI_BattleHeroItem/im_occupation,im_occupation,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/btnRightClosebuff/boxcollider,boxcollider,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_5/ScrollViewGrid/Viewport/grid,grid,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_3/bg,bg,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/im_mask,im_mask,top_hud,observedCandidateState,active=True,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_3/UI_BattleHeroItem/starts,starts,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_2/ScrollViewGrid/Viewport,Viewport,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/PlayerInfo/imgPlayerHPBG/imgPlayerHP_Red,imgPlayerHP_Red,top_hud,observedCandidateState,active=True,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_3/UI_BattleHeroItem/starts,starts,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_5/UI_BattleHeroItem/im_quality,im_quality,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_1/UI_BattleHeroItem,UI_BattleHeroItem,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/bg_wave/text_wave,text_wave,top_hud,observedCandidateState,active=True,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/btnBuff/text,text,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_right/grid_all_buff_right/item_buff_right_3/UI_BattleHeroItem/im_frame,im_frame,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_opra/root_buff/root_buff_left/grid_all_buff_left/item_buff_left_3/UI_BattleHeroItem/im_bg,im_bg,right_rail,observedCandidateState,active=False,original prefab + UI_NormalBattle.lua,BATTLE54/BATTLE70 route rows; UI_NormalBattle ShowAllOperBtn/CheckPauseBtnState paths,runtime_snapshot_required,"right rail static RectTransform is visible in candidate scene, but active/state children are runtime owned",no_patch_in_battle73
BattleHudSpriteAtlasTextureRuntimeBindingClip05Root/CanvasLuaStateHUD_01_ui_normalbattle/root_battle/root_top/TopCenter/EnemyInfo/txt_chengzhan_FirstAttack,txt_chengzhan_FirstAttack,top_hud,observedCandidateState,active=False,UI_NormalBattle.lua,"lines 222, 467-489, 1194, 1218, 1224",handler_or_xlua_required,TopCenter and wave/round/top HUD visibility/text values are runtime battle-state owned,no_patch_in_battle73
