evidenceGroup,symbolOrArtifact,path,relativePath,line,snippet,classification,localStatus,editorExecutable,reason
restored_bridge_runtime_symbols,YouYou.GameEntry,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,533,"sb.AppendLine(""YouYou.GameEntry,"" + Bool(s.youyouGameEntryAvailable) + "",original dump exposes static GameEntry.Lua/UI/Procedure"");",not_verified_executable_runtime,generated_or_signature_only,False,"Symbol text appears in generated probe/source evidence, not as verified executable bootstrap runtime."
restored_bridge_runtime_symbols,YouYou.LuaManager,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,534,"sb.AppendLine(""YouYou.LuaManager,"" + Bool(s.youyouLuaManagerAvailable) + "",original dump exposes LuaManager.LoadUIScript/MyLoader/GetLuaBuff"");",not_verified_executable_runtime,generated_or_signature_only,False,"Symbol text appears in generated probe/source evidence, not as verified executable bootstrap runtime."
restored_bridge_runtime_symbols,XLua.LuaEnv,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,41,"summary.xluaRuntimeAvailable = Type.GetType(""XLua.LuaEnv, Assembly-CSharp"") != null || FindType(""XLua.LuaEnv"") != null;",not_verified_executable_runtime,generated_or_signature_only,False,"Symbol text appears in generated probe/source evidence, not as verified executable bootstrap runtime."
restored_bridge_runtime_symbols,XLua.LuaTable,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,42,"summary.xluaLuaTableAvailable = FindType(""XLua.LuaTable"") != null;",not_verified_executable_runtime,generated_or_signature_only,False,"Symbol text appears in generated probe/source evidence, not as verified executable bootstrap runtime."
restored_bridge_runtime_symbols,XLua.LuaFunction,C:\Users\godho\Downloads\girlswar\girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,girlswar_battle_unity\Assets\Editor\Battle52ConnectXluaRuntimeGameEntryModulesInitEditor.cs,43,"summary.xluaLuaFunctionAvailable = FindType(""XLua.LuaFunction"") != null;",not_verified_executable_runtime,generated_or_signature_only,False,"Symbol text appears in generated probe/source evidence, not as verified executable bootstrap runtime."
il2cpp_dump,XLua.LuaEnv,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,6129,|-Array.InternalEnumerator<LuaEnv.GCAction>..ctor,source_backed_type_signature_only_not_executable,signature_only,False,IL2CPP dump confirms original symbol/signature only; it is not a runnable Unity editor runtime.
il2cpp_dump,XLua.LuaTable,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,42201,"|-Action<LuaTable, Object, Object>.Invoke",source_backed_type_signature_only_not_executable,signature_only,False,IL2CPP dump confirms original symbol/signature only; it is not a runnable Unity editor runtime.
il2cpp_dump,XLua.LuaFunction,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,324078,|-Call.GetAsType<LuaFunction>,source_backed_type_signature_only_not_executable,signature_only,False,IL2CPP dump confirms original symbol/signature only; it is not a runnable Unity editor runtime.
il2cpp_dump,YouYou.GameEntry.Lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,471777,public class YouYouLuaManagerWrap // TypeDefIndex: 8894,source_backed_type_signature_only_not_executable,signature_only,False,IL2CPP dump confirms original symbol/signature only; it is not a runnable Unity editor runtime.
il2cpp_dump,YouYou.LuaManager.LoadUIScript,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,471794,private static int _m_LoadUIScript(IntPtr L) { },source_backed_type_signature_only_not_executable,signature_only,False,IL2CPP dump confirms original symbol/signature only; it is not a runnable Unity editor runtime.
il2cpp_dump,LuaManager.MyLoader/GetLuaBuff,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,502563,internal void <LoadLuaAssetBundle>b__1() { },source_backed_type_signature_only_not_executable,signature_only,False,IL2CPP dump confirms original symbol/signature only; it is not a runnable Unity editor runtime.
il2cpp_dump,LuaDLL/native bridge signatures,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,girlswar_merged_extracted\extracted\il2cpp_dump\dump.cs,362223,public static string LuaDll; // 0x8,source_backed_type_signature_only_not_executable,signature_only,False,IL2CPP dump confirms original symbol/signature only; it is not a runnable Unity editor runtime.
dummy_dll,Assembly-CSharp-firstpass.dll,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp-firstpass.dll,girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp-firstpass.dll,0,,source_backed_type_signature_only_not_executable,signature_only,False,DummyDll is decompiled/type-signature evidence from IL2CPP; not a source-backed executable editor runtime.
dummy_dll,Assembly-CSharp.dll,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,girlswar_merged_extracted\extracted\il2cpp_dump\DummyDll\Assembly-CSharp.dll,0,,source_backed_type_signature_only_not_executable,signature_only,False,DummyDll is decompiled/type-signature evidence from IL2CPP; not a source-backed executable editor runtime.
native_player_runtime,global-metadata.dat,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\restore_overlay\Android\data\com.girlwars.kr\files\il2cpp\Metadata\global-metadata.dat,girlswar_merged_extracted\restore_overlay\Android\data\com.girlwars.kr\files\il2cpp\Metadata\global-metadata.dat,0,,native_player_runtime_not_editor_importable,native_only,False,Player metadata/native binary is source-backed but not importable as Unity editor managed runtime.
decoded_lua_or_textasset,ModulesInit TextAsset index,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\indexes\unity_textassets.csv,girlswar_merged_extracted\indexes\unity_textassets.csv,19864,"download/xlualogic/modules/modulesinit.assetbundle,5889616802996467142,ModulesInit,27918,True,extracted/unity/bundles/b_f828b901683a3a8c/textassets/5889616802996467142_ModulesInit.txt",source_backed_lua_source_available_not_runtime,source_available_not_bootstrapped,False,"Decoded/source-backed Lua is required input, but it cannot execute without xLua/GameEntry/LuaManager bootstrap."
decoded_lua_or_textasset,ProcedureNormalBattle TextAsset index,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\indexes\unity_textassets.csv,girlswar_merged_extracted\indexes\unity_textassets.csv,19891,"download/xlualogic/modules/procedure.assetbundle,-3424355311143813575,ProcedureNormalBattle,209137,True,extracted/unity/bundles/b_65e50a35fd700710/textassets/-3424355311143813575_ProcedureNormalBattle.txt",source_backed_lua_source_available_not_runtime,source_available_not_bootstrapped,False,"Decoded/source-backed Lua is required input, but it cannot execute without xLua/GameEntry/LuaManager bootstrap."
decoded_lua_or_textasset,UI_NormalBattle decoded Lua,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua,reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\874003978109174219_UI_NormalBattle.lua,86,btnAuto.onClick:AddListener(,source_backed_lua_source_available_not_runtime,source_available_not_bootstrapped,False,"Decoded/source-backed Lua is required input, but it cannot execute without xLua/GameEntry/LuaManager bootstrap."
decoded_lua_or_textasset,UI_BattleBoxPage decoded Lua,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\8374052518232552317_UI_BattleBoxPage.lua,reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\8374052518232552317_UI_BattleBoxPage.lua,163,"local s=a[""btn_box""].transform:GetComponent(typeof(CS.YouYou.UIEventListener))",source_backed_lua_source_available_not_runtime,source_available_not_bootstrapped,False,"Decoded/source-backed Lua is required input, but it cannot execute without xLua/GameEntry/LuaManager bootstrap."
decoded_lua_or_textasset,UI_Battle3DUI decoded Lua,C:\Users\godho\Downloads\girlswar\reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\-712482409242173665_UI_Battle3DUI.lua,reports\battle\BATTLE_50_DECODED_MAINCITY_LUA\-712482409242173665_UI_Battle3DUI.lua,4,"LuaUtils.SetActive(UI_BattleBoxPage.transform,true)",source_backed_lua_source_available_not_runtime,source_available_not_bootstrapped,False,"Decoded/source-backed Lua is required input, but it cannot execute without xLua/GameEntry/LuaManager bootstrap."
decoded_lua_or_textasset,ProcedureNormalBattle decoded Lua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,girlswar_merged_extracted\decoded\xlua_battle\download_xlualogic_modules_procedure\-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,116,e.NextRoundChangeToManual=false,source_backed_lua_source_available_not_runtime,source_available_not_bootstrapped,False,"Decoded/source-backed Lua is required input, but it cannot execute without xLua/GameEntry/LuaManager bootstrap."
external_option,GitHub/upstream xLua package,EXTERNAL_XLUA_PACKAGE_OPTION,EXTERNAL_XLUA_PACKAGE_OPTION,0,,non_source_backed_external_package_option_requires_user_approval,not_downloaded_not_imported,False,External package import/download is forbidden in BATTLE59 and would require explicit user approval.
