targetId,waveNo,position,rowType,status,previousLocalStatus,source,table,rowId,line,offset,directMonsterTables,modelId,prefabId,bundle,bundleExists,skillImpact,value,note
1100112,,,direct_monster_actor_chain_absent,not_resolved_from_local_evidence,,"DTMonsterEntity, DTMonster_FEntity, DTMonster_GEntity, DTMonster_HEntity, DTMonster_KEntity, DTMonster_OEntity",,,,,,,,,,,,searched all decoded non-Attr DTMonster*Entity tables with modelID fields
1100113,,,direct_monster_actor_chain_absent,not_resolved_from_local_evidence,,"DTMonsterEntity, DTMonster_FEntity, DTMonster_GEntity, DTMonster_HEntity, DTMonster_KEntity, DTMonster_OEntity",,,,,,,,,,,,searched all decoded non-Attr DTMonster*Entity tables with modelID fields
1100121,,,direct_monster_actor_chain_absent,not_resolved_from_local_evidence,,"DTMonsterEntity, DTMonster_FEntity, DTMonster_GEntity, DTMonster_HEntity, DTMonster_KEntity, DTMonster_OEntity",,,,,,,,,,,,searched all decoded non-Attr DTMonster*Entity tables with modelID fields
1100122,,,direct_monster_actor_chain_absent,not_resolved_from_local_evidence,,"DTMonsterEntity, DTMonster_FEntity, DTMonster_GEntity, DTMonster_HEntity, DTMonster_KEntity, DTMonster_OEntity",,,,,,,,,,,,searched all decoded non-Attr DTMonster*Entity tables with modelID fields
1100123,,,direct_monster_actor_chain_absent,not_resolved_from_local_evidence,,"DTMonsterEntity, DTMonster_FEntity, DTMonster_GEntity, DTMonster_HEntity, DTMonster_KEntity, DTMonster_OEntity",,,,,,,,,,,,searched all decoded non-Attr DTMonster*Entity tables with modelID fields
1100131,,,direct_monster_actor_chain_absent,not_resolved_from_local_evidence,,"DTMonsterEntity, DTMonster_FEntity, DTMonster_GEntity, DTMonster_HEntity, DTMonster_KEntity, DTMonster_OEntity",,,,,,,,,,,,searched all decoded non-Attr DTMonster*Entity tables with modelID fields
1100132,,,direct_monster_actor_chain_absent,not_resolved_from_local_evidence,,"DTMonsterEntity, DTMonster_FEntity, DTMonster_GEntity, DTMonster_HEntity, DTMonster_KEntity, DTMonster_OEntity",,,,,,,,,,,,searched all decoded non-Attr DTMonster*Entity tables with modelID fields
1100133,,,direct_monster_actor_chain_absent,not_resolved_from_local_evidence,,"DTMonsterEntity, DTMonster_FEntity, DTMonster_GEntity, DTMonster_HEntity, DTMonster_KEntity, DTMonster_OEntity",,,,,,,,,,,,searched all decoded non-Attr DTMonster*Entity tables with modelID fields
,,,same_prefix_monster_row,context_only,,,DTMonsterEntity,1100110,,,,1003,,,,,,same 11001 prefix evidence only; not an alias candidate without code/table join
,,,same_prefix_monster_row,context_only,,,DTMonster_FEntity,1100110,,,,1003,,,,,,same 11001 prefix evidence only; not an alias candidate without code/table join
,,,same_prefix_monster_row,context_only,,,DTMonster_GEntity,1100110,,,,1003,,,,,,same 11001 prefix evidence only; not an alias candidate without code/table join
,,,same_prefix_monster_row,context_only,,,DTMonster_HEntity,1100110,,,,1003,,,,,,same 11001 prefix evidence only; not an alias candidate without code/table join
,,,same_prefix_monster_row,context_only,,,DTMonster_KEntity,1100110,,,,3006,,,,,,same 11001 prefix evidence only; not an alias candidate without code/table join
,,,same_prefix_monster_row,context_only,,,DTMonster_KEntity,1100111,,,,3001,,,,,,same 11001 prefix evidence only; not an alias candidate without code/table join
,,,same_prefix_monster_row,context_only,,,DTMonster_OEntity,1100110,,,,3006,,,,,,same 11001 prefix evidence only; not an alias candidate without code/table join
,,,same_prefix_monster_row,context_only,,,DTMonster_OEntity,1100111,,,,3001,,,,,,same 11001 prefix evidence only; not an alias candidate without code/table join
,,,map_wave_row_for_payload_map,context_only,,DTMapsWaveEntity,,1,,,,,,,,,"{""table"": ""DTMapsWaveEntity"", ""rowId"": 1, ""mapId"": 11001, ""wave"": 1, ""monsterLists"": [0, 1100110, 0, 0, 0, 0], ""newMonsterLists"": [0, 1100110, 0, 0, 0, 0], ""monsterEffect"": [0, 1, 0, 0, 0, 0], ""name"": ""heroname_1003""}",stage/wave source row; not an alias unless payload id appears or code maps to it
,,,map_wave_row_for_payload_map,context_only,,DTMapsWave_FEntity,,1,,,,,,,,,"{""table"": ""DTMapsWave_FEntity"", ""rowId"": 1, ""mapId"": 11001, ""wave"": 1, ""monsterLists"": [0, 1100110, 0, 0, 0, 0], ""newMonsterLists"": [0, 1100110, 0, 0, 0, 0], ""monsterEffect"": [0, 1, 0, 0, 0, 0], ""name"": ""heroname_1003""}",stage/wave source row; not an alias unless payload id appears or code maps to it
,,,map_wave_row_for_payload_map,context_only,,DTMapsWave_GEntity,,1,,,,,,,,,"{""table"": ""DTMapsWave_GEntity"", ""rowId"": 1, ""mapId"": 11001, ""wave"": 1, ""monsterLists"": [0, 1100110, 0, 0, 0, 0], ""newMonsterLists"": [0, 1100110, 0, 0, 0, 0], ""monsterEffect"": [0, 1, 0, 0, 0, 0], ""name"": ""heroname_1003""}",stage/wave source row; not an alias unless payload id appears or code maps to it
,,,map_wave_row_for_payload_map,context_only,,DTMapsWave_HEntity,,1,,,,,,,,,"{""table"": ""DTMapsWave_HEntity"", ""rowId"": 1, ""mapId"": 11001, ""wave"": 1, ""monsterLists"": [0, 1100110, 0, 0, 0, 0], ""newMonsterLists"": [0, 1100110, 0, 0, 0, 0], ""monsterEffect"": [0, 1, 0, 0, 0, 0], ""name"": ""heroname_1003""}",stage/wave source row; not an alias unless payload id appears or code maps to it
,,,map_wave_row_for_payload_map,context_only,,DTMapsWave_KEntity,,1,,,,,,,,,"{""table"": ""DTMapsWave_KEntity"", ""rowId"": 1, ""mapId"": 11001, ""wave"": 1, ""monsterLists"": [0, 1100510, 0, 1100512, 1100513, 1100511], ""newMonsterLists"": [0, 1100510, 0, 1100512, 1100513, 1100511], ""monsterEffect"": [0, 0, 0, 0, 0, 0], ""name"": ""heroname_1019""}",stage/wave source row; not an alias unless payload id appears or code maps to it
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,124,,,,,,,,self.DTMonsterRow=nil,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,613,,,,,,,,self.DTMonsterRow=t.GetEntity(self.heroDid),id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,614,,,,,,,,if(not self.DTMonsterRow and GameInit.DebugLog and not GameInit.IsBattlePlayVerify)then,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,617,,,,,,,,self.hideBar=self.DTMonsterRow.hideBar==1 and true or false,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,618,,,,,,,,self.hideShadow=self.DTMonsterRow.hideShadow==1 and true or false,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,619,,,,,,,,self.DTmodelRow=n.GetEntity(self.DTMonsterRow.modelID),id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,624,,,,,,,,"self.NickName=GameEntry.Localization:GetString(self.DTMonsterRow.monName,CS.YouYou.YouYouLanguageCategory.LangBattle)",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,626,,,,,,,,self.HeroBattleInfo:SetMonsterSkill(self.DTMonsterRow),id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,630,,,,,,,,self.profession=self.DTMonsterRow.profession,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,631,,,,,,,,self.HeroBattleInfo.Level=self.DTMonsterRow.monLevel or 1,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,647,,,,,,,,self.rankLevel=self.DTMonsterRow.rankLevel,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,648,,,,,,,,self.lockLevel=self.DTMonsterRow.lockLevel,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,649,,,,,,,,self.soulId=self.DTMonsterRow.soulId,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,660,,,,,,,,self.DTMonsterRow=t.GetEntity(self.heroDid),id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,661,,,,,,,,if(not self.DTMonsterRow and GameInit.DebugLog and not GameInit.IsBattlePlayVerify)then,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,664,,,,,,,,self.hideBar=self.DTMonsterRow.hideBar==1 and true or false,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,665,,,,,,,,self.hideShadow=self.DTMonsterRow.hideShadow==1 and true or false,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,666,,,,,,,,self.DTmodelRow=n.GetEntity(self.DTMonsterRow.modelID),id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,670,,,,,,,,self.soulId=self.DTMonsterRow.soulId,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/-2133702496468653963_HeroCtrl_security_xor_raw.lua,,,672,,,,,,,,self.HeroBattleInfo:SetMonsterSkill(self.DTMonsterRow),id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/191332877364712173_BattleUtil_security_xor_raw.lua,,,1900,,,,,,,,"LuaUtils.SetImageSprite(t[""im_quality""],string.format(""UICommonOther/%s"",CardQuailtyFont[e.DTMonsterRow.star]),true)",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/2075196316440867225_BattleBeforeDataUtil_security_xor_raw.lua,,,163,,,,,,,,"function e:GetFormationFromMonsterList(t,a,f,o)",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/2075196316440867225_BattleBeforeDataUtil_security_xor_raw.lua,,,180,,,,,,,,"heroDid=a,",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/2075196316440867225_BattleBeforeDataUtil_security_xor_raw.lua,,,230,,,,,,,,"heroDid=a,",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/7184371722040177329_CampainBBData_security_xor_raw.lua,,,39,,,,,,,,"local a=c.GetMapsWave(s,self.battleType)",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_battle/7184371722040177329_CampainBBData_security_xor_raw.lua,,,43,,,,,,,,"local r,s,o,i,n=t:GetFormationFromMonsterList(self.battleType,o,u,i)",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
"1100111,1100112,1100113,1100121,1100122,1100123,1100131,1100132,1100133",,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_procedure/-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,,,589,,,,,,,,"local t='{""battleInfo"":{""ourHeros"":[{""heroDid"":1036,""status"":2,""rankLevel"":3,""heroId"":51469,""skills"":[{""skillType"":1,""skillDid"":1036101},{""skillType"":1,""skillDid"":1036201},{""skillType"":1,""skillDid"":1036301},{""skillType"":2,""skillDid"":1036401},{""skillType"":2,""skillDid"":1036402},{""skillType"":2,""skillDid"":0}],""curMp"":1000,""soul"":{""soulType"":8,""soulLevel"":1,""soul",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_procedure/-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,,,590,,,,,,,,e.FightPlayData=JsonUtil.decode(t).battleInfo,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_procedure/-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,,,1476,,,,,,,,"e.CurrMapsWaves=s.GetMapsWave(e.MapId,ModulesInit.ProcedureNormalBattle.BattleType)",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_procedure/-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,,,1483,,,,,,,,"e.CurrMapsWaves=s.GetMapsWave(e.MapId,ModulesInit.ProcedureNormalBattle.BattleType)",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_battle/download_xlualogic_modules_procedure/-3424355311143813575_ProcedureNormalBattle_security_xor_raw.lua,,,1723,,,,,,,,"e.CurrMapsWaves=s.GetMapsWave(e.MapId,ModulesInit.ProcedureNormalBattle.BattleType)",id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,decoded_lua_string_or_flow,,,girlswar_merged_extracted/decoded/xlua_guildmain_runtime_trace/7394964758178317413_UI_GuildTerritory_TeamBattle_security_xor_raw.lua,,,634,,,,,,,,e.heroDid=a.heroDid,id hit is payload/string evidence only unless joined by DTMonster/DTmodel chain
,,,searched_index_no_id_hit,,,girlswar_merged_extracted/indexes/assetbundles.csv,,,,,,,,,,,,no unresolved/control id string hit
,,,searched_index_no_id_hit,,,girlswar_merged_extracted/indexes/merged_files.csv,,,,,,,,,,,,no unresolved/control id string hit
,,,searched_index_no_id_hit,,,girlswar_merged_extracted/indexes/conflicts.csv,,,,,,,,,,,,no unresolved/control id string hit
,,,searched_index_no_id_hit,,,girlswar_merged_extracted/indexes/versionfile_VersionFile_bytes.csv,,,,,,,,,,,,no unresolved/control id string hit
,,,searched_index_no_id_hit,,,girlswar_merged_extracted/indexes/versionfile_CDNVersionFile_bytes.csv,,,,,,,,,,,,no unresolved/control id string hit
,,,searched_index_no_id_hit,,,reports/battle/BATTLE_ASSETBUNDLE_CANDIDATES.csv,,,,,,,,,,,,no unresolved/control id string hit
,,,searched_index_no_id_hit,,,reports/battle/BATTLE_TEXTASSET_CANDIDATES.csv,,,,,,,,,,,,no unresolved/control id string hit
,,,searched_index_no_id_hit,,,reports/battle/BATTLE_IMAGE_CANDIDATES.csv,,,,,,,,,,,,no unresolved/control id string hit
,,,searched_index_no_id_hit,,,reports/battle/BATTLE_XLUA_DECODE_TARGETS.csv,,,,,,,,,,,,no unresolved/control id string hit
,,,searched_index_no_id_hit,,,reports/battle/battle_restore_index_summary.json,,,,,,,,,,,,no unresolved/control id string hit
1100122,,,binary_little_endian_int_hit,,,il2cpp_native/global-metadata.dat,,,,7354304,,,,,,,uint32_le:1100122,raw integer occurrence is weak evidence and not an actor mapping
,,,searched_binary_no_id_hit,,,il2cpp_native/libil2cpp.so,,,,,,,,,,,,no ascii or uint32_le target id hit
,,,searched_binary_no_id_hit,,,work/apk_probe/global-metadata.dat,,,,,,,,,,,,no ascii or uint32_le target id hit
,,,searched_binary_no_id_hit,,,work/apk_probe/libil2cpp.so,,,,,,,,,,,,no ascii or uint32_le target id hit
,,,searched_binary_no_id_hit,,,girlswar_merged_extracted/restore_overlay/Android/data/com.girlwars.kr/files/AssetInfo.bytes,,,,,,,,,,,,no ascii or uint32_le target id hit
,,,searched_binary_no_id_hit,,,girlswar_merged_extracted/restore_overlay/Android/data/com.girlwars.kr/files/AssetGuid.bytes,,,,,,,,,,,,no ascii or uint32_le target id hit
,,,searched_binary_no_id_hit,,,girlswar_merged_extracted/extracted/decoded_gzip_bytes/AssetInfo.bytes.gunzipped,,,,,,,,,,,,no ascii or uint32_le target id hit
,,,searched_binary_no_id_hit,,,girlswar_merged_extracted/extracted/decoded_gzip_bytes/AssetGuid.bytes.gunzipped,,,,,,,,,,,,no ascii or uint32_le target id hit
