rowCategory,ownerOrActorId,side,waveNo,slot,resourceId,resourceBundle,battleListCandidateStatus,localStatus,gapType,nextAction,sourceEvidence
skill,1100112,enemy,1,,1012351,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100112,enemy,1,,1012401,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100112,enemy,1,,1012403,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100113,enemy,1,,1012101,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100113,enemy,1,,1012201,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100113,enemy,1,,1012301,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100113,enemy,1,,1012351,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100113,enemy,1,,1012401,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100113,enemy,1,,1012403,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100121,enemy,2,,1012101,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100121,enemy,2,,1012201,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100121,enemy,2,,1012301,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100121,enemy,2,,1012351,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100121,enemy,2,,1012401,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100121,enemy,2,,1012403,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100122,enemy,2,,1012101,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100122,enemy,2,,1012201,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100122,enemy,2,,1012301,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100122,enemy,2,,1012351,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100122,enemy,2,,1012401,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100122,enemy,2,,1012403,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100123,enemy,2,,1012101,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100123,enemy,2,,1012201,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100123,enemy,2,,1012301,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100123,enemy,2,,1012351,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100123,enemy,2,,1012401,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100123,enemy,2,,1012403,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100131,enemy,3,,1012101,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100131,enemy,3,,1001401,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100131,enemy,3,,1001403,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100132,enemy,3,,1012101,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100132,enemy,3,,1001401,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100132,enemy,3,,1001403,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100133,enemy,3,,1012101,download/skillprefabsandres/1012.assetbundle,unresolved_source_chain,data_only_missing_actor,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100133,enemy,3,,1001401,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,1100133,enemy,3,,1001403,,unresolved_source_chain,passive_no_timeline,owner_actor_missing_or_unresolved,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
weak_match,1036,our,,1,1036.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\roleprefabsandres\rolebigsetpainting\1036.assetbundle,not_promotable_weak_match,weak_same_filename_different_category,same_filename_different_category,do not promote; exact battle actor bundle still required,CHARACTER64 wider local search
weak_match,1036,our,,1,1036.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\skillprefabsandres\1036.assetbundle,not_promotable_weak_match,weak_same_filename_different_category,same_filename_different_category,do not promote; exact battle actor bundle still required,CHARACTER64 wider local search
weak_match,1036,our,,1,1036.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\roleprefabsandres\rolebigsetpainting\1036.assetbundle,not_promotable_weak_match,weak_same_filename_different_category,same_filename_different_category,do not promote; exact battle actor bundle still required,CHARACTER64 wider local search
weak_match,1036,our,,1,1036.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1036.assetbundle,not_promotable_weak_match,weak_same_filename_different_category,same_filename_different_category,do not promote; exact battle actor bundle still required,CHARACTER64 wider local search
weak_match,1036,our,,1,1036.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\restore_overlay\Android\data\com.girlwars.kr\files\build\download\roleprefabsandres\rolebigsetpainting\1036.assetbundle,not_promotable_weak_match,weak_same_filename_different_category,same_filename_different_category,do not promote; exact battle actor bundle still required,CHARACTER64 wider local search
weak_match,1036,our,,1,1036.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\restore_overlay\Android\data\com.girlwars.kr\files\build\download\skillprefabsandres\1036.assetbundle,not_promotable_weak_match,weak_same_filename_different_category,same_filename_different_category,do not promote; exact battle actor bundle still required,CHARACTER64 wider local search
weak_match,1036,our,,1,1036.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\split_apks\abassets.apk!/assets/AssetBundles/download/roleprefabsandres/rolebigsetpainting/1036.assetbundle,not_promotable_weak_match,archive_entry_exact_or_close_match_not_imported,same_filename_different_category,do not promote; exact battle actor bundle still required,CHARACTER64 wider local search
weak_match,1036,our,,1,1036.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\split_apks\abassets.apk!/assets/AssetBundles/download/skillprefabsandres/1036.assetbundle,not_promotable_weak_match,archive_entry_exact_or_close_match_not_imported,same_filename_different_category,do not promote; exact battle actor bundle still required,CHARACTER64 wider local search
weak_match,1036,our,,1,1036.assetbundle,C:\Users\godho\Documents\Codex\2026-06-25\c-users-godho-downloads-girlswar\work\probe\abassets.apk!/assets/AssetBundles/download/roleprefabsandres/rolebigsetpainting/1036.assetbundle,not_promotable_weak_match,archive_entry_exact_or_close_match_not_imported,same_filename_different_category,do not promote; exact battle actor bundle still required,CHARACTER64 wider local search
weak_match,1036,our,,1,1036.assetbundle,C:\Users\godho\Documents\Codex\2026-06-25\c-users-godho-downloads-girlswar\work\probe\abassets.apk!/assets/AssetBundles/download/skillprefabsandres/1036.assetbundle,not_promotable_weak_match,archive_entry_exact_or_close_match_not_imported,same_filename_different_category,do not promote; exact battle actor bundle still required,CHARACTER64 wider local search
