rowCategory,battleListCandidateStatus,side,waveNo,ownerHeroDid,ownerHeroId,ownerActorCandidateStatus,skillDid,skillType,prefabField,prefabId,skillBundle,skillBundleExists,localStatus,missingDependencyBundles,resolvedParentBundles,resolvedExactDependencyBundles,reason,b60BundleLoadSuccess,b60AssetLoadSuccess,b60InstantiateSuccess,b60ResourceCompleteStrictBeforeSpeedline,timelineEffectRuntimeBlocker,sourceEvidence
skill,ready_local,our,,1034,50874,ready_local,1034101,1,prefabId,1034101,download/skillprefabsandres/1034.assetbundle,True,loadable,[],,,"owner actor, skill bundle, timeline, and known prefab dependency bundles exist locally",True,True,True,True,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,our,,1034,50874,ready_local,1034201,1,prefabId,1034201,download/skillprefabsandres/1034.assetbundle,True,loadable,[],,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle'],"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",True,True,True,False,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,our,,1034,50874,ready_local,1034301,1,prefabId,1034301,download/skillprefabsandres/1034.assetbundle,True,loadable,[],,,"owner actor, skill bundle, timeline, and known prefab dependency bundles exist locally",True,True,True,True,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,our,,1034,50874,ready_local,1034301,1,fastPrefabId,1034351,download/skillprefabsandres/1034.assetbundle,True,loadable,[],,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle'],"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",True,True,True,False,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,source_known_missing_bundle,our,,1034,50874,ready_local,1034401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,passive/no DTSkillAct timeline prefab row,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,source_known_missing_bundle,our,,1034,50874,ready_local,1034402,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,passive/no DTSkillAct timeline prefab row,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,enemy,1,1100111,-1,ready_local,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,loadable,[],,,"owner actor, skill bundle, timeline, and known prefab dependency bundles exist locally",True,True,True,True,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,enemy,1,1100111,-1,ready_local,1012201,1,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,True,loadable,[],,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",True,True,True,False,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,enemy,1,1100111,-1,ready_local,1012301,1,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,True,loadable,[],,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",True,True,True,False,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,ready_local,enemy,1,1100111,-1,ready_local,1012301,1,fastPrefabId,1012351,download/skillprefabsandres/1012.assetbundle,True,loadable,[],,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],"main skill timeline bundle exists, but known common dependency bundle(s) are unresolved",True,True,True,False,BATTLE64: TimelineAsset/PlayableAsset type/runtime binding blocker remains for visual activation,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,source_known_missing_bundle,enemy,1,1100111,-1,ready_local,1012401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,passive/no DTSkillAct timeline prefab row,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,source_known_missing_bundle,enemy,1,1100111,-1,ready_local,1012403,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,passive/no DTSkillAct timeline prefab row,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100112,-2,unresolved_source_chain,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,[],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100112,-2,unresolved_source_chain,1012201,1,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100112,-2,unresolved_source_chain,1012301,1,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100112,-2,unresolved_source_chain,1012301,1,fastPrefabId,1012351,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100112,-2,unresolved_source_chain,1012401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100112,-2,unresolved_source_chain,1012403,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100113,-3,unresolved_source_chain,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,[],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100113,-3,unresolved_source_chain,1012201,1,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100113,-3,unresolved_source_chain,1012301,1,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100113,-3,unresolved_source_chain,1012301,1,fastPrefabId,1012351,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100113,-3,unresolved_source_chain,1012401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,1,1100113,-3,unresolved_source_chain,1012403,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100121,-1,unresolved_source_chain,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,[],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100121,-1,unresolved_source_chain,1012201,1,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100121,-1,unresolved_source_chain,1012301,1,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100121,-1,unresolved_source_chain,1012301,1,fastPrefabId,1012351,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100121,-1,unresolved_source_chain,1012401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100121,-1,unresolved_source_chain,1012403,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100122,-2,unresolved_source_chain,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,[],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100122,-2,unresolved_source_chain,1012201,1,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100122,-2,unresolved_source_chain,1012301,1,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100122,-2,unresolved_source_chain,1012301,1,fastPrefabId,1012351,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100122,-2,unresolved_source_chain,1012401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100122,-2,unresolved_source_chain,1012403,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100123,-3,unresolved_source_chain,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,[],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100123,-3,unresolved_source_chain,1012201,1,prefabId,1012201,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100123,-3,unresolved_source_chain,1012301,1,prefabId,1012301,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100123,-3,unresolved_source_chain,1012301,1,fastPrefabId,1012351,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,['download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle'],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100123,-3,unresolved_source_chain,1012401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,2,1100123,-3,unresolved_source_chain,1012403,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,3,1100131,-1,unresolved_source_chain,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,[],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,3,1100131,-1,unresolved_source_chain,1001401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,3,1100131,-1,unresolved_source_chain,1001403,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,3,1100132,-2,unresolved_source_chain,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,[],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,3,1100132,-2,unresolved_source_chain,1001401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,3,1100132,-2,unresolved_source_chain,1001403,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,3,1100133,-3,unresolved_source_chain,1012101,1,prefabId,1012101,download/skillprefabsandres/1012.assetbundle,True,data_only_missing_actor,[],,,"timeline resolves, but owner actor is unresolved_enemy_payload_instance",,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,3,1100133,-3,unresolved_source_chain,1001401,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
skill,unresolved_source_chain,enemy,3,1100133,-3,unresolved_source_chain,1001403,2,,,,False,passive_no_timeline,[],,,passive-style skill row has no DTSkillAct prefab/timeline mapping,,,,,owner actor is not ready; skill stays data-only for full payload list,BATTLE_LOCAL_PLAYABLE_PAYLOAD_MANIFEST_SPEEDLINE_RESOLVED + BATTLE60/BATTLE64 where available
