topic,source,key,value,runtimeDecision,blocker,snippet
localization_static_mapping,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7e5552edea2c10f4\textassets\-2670652165716608051_DTLangCommon.txt,activityname_1006,보너스,available_for_selected_key_only,Active activity id/key still requires ActMgr runtime result.,"안에는 초원에서만 볼 수 있는 특별한 음식이 숨겨져 있습니다.', ['activityname_1006']='보너스', ['underward_color_name_4']='보라', ['equip.color.4']='보라', ['superoffbox"
localization_static_mapping,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7e5552edea2c10f4\textassets\-2670652165716608051_DTLangCommon.txt,activityname_1007,이벤트,available_for_selected_key_only,Active activity id/key still requires ActMgr runtime result.,"='이벤트', ['UI.Harem.Gift.02']='이벤트', ['activityname_1007']='이벤트', ['candyLandBP_1']='이벤트 {0}일차', ['aniversaryParkBP_1']='이벤트 {0}일차', ['s"
localization_static_mapping,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7e5552edea2c10f4\textassets\-2670652165716608051_DTLangCommon.txt,activityname_1008,응원,available_for_selected_key_only,Active activity id/key still requires ActMgr runtime result.,"['UI.guildBattle.layout.11']='응원', ['activityname_1008']='응원', ['marry_skill_11']='응원', ['marry_skill_15']='응원 Lv.1씩 증가할 때마다 공격력+5, 방어력"
localization_static_mapping,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7e5552edea2c10f4\textassets\-2670652165716608051_DTLangCommon.txt,activityname_4100,충전 보상,available_for_selected_key_only,Active activity id/key still requires ActMgr runtime result.,"목표를 달성하면 무료로 월간 패스를 1회 수령할 수 있습니다.', ['activityname_4100']='충전 보상', ['errCode500010']='충전 부족으로 수령 불가', ['errCode500015']='충전 부족으로 수령 불가',"
localization_static_mapping,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7e5552edea2c10f4\textassets\-2670652165716608051_DTLangCommon.txt,Funtionname_10025,임무,available_for_selected_key_only,Active activity id/key still requires ActMgr runtime result.,"'임무', ['UI.Homepage.Main.13']='임무', ['Funtionname_10025']='임무', ['jumpname_25']='임무', ['seasideBattleTips_3']='임무', ['activityname_194'"
localization_static_mapping,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7e5552edea2c10f4\textassets\-2670652165716608051_DTLangCommon.txt,Funtionname_10056,잡화점,available_for_selected_key_only,Active activity id/key still requires ActMgr runtime result.,"초를 뽑아보니 얽혀있는 뿌리 사이로 보물 상자 하나가 보였다.', ['Funtionname_10056']='잡화점', ['jumpname_23']='잡화점', ['PrivilegesDesc_20']='잡화점 상품 수', ['event_hs_ti"
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,riyu,riyu_baibian_0.2_0.2_1,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=74 objects=lab_renwu_text;lab_shangdian_text;officer_show_num;text_off;text_qianghua;text_resetAutoHelperPos;text_title;text_title1;txt_act_name;txt_face_name samples=동 맹;무 장;마을;이미지;모 험;동 맹;마 을;전속 비서 bundle=download/ui/uifont/japanese/font_material_riyu/riyu_baibian_0.2_0.2_1.assetbundle
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,EPM,EPM_bai_0.2_0.2,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=65 objects=test_name2;text_bhll_message;text_name;text_notice_desc;text_onlyUseAttTips;text_title;text_tmp_chengyuan;text_tmp_chengyuan_num;text_tmp_message;text_tmp_message (1);text_tmp_nandu;text_tmp_nandu_num;text_tmp_zudui;text_unLockTips;text_wanfaTips;text_youjian samples= d; dadfadsfadsf;용녀 토벌령 뜨겁게 진행 중!;7 ;<color=#599F50>누적 {0}시간</color> 방치 보상! 어서 수령하세요!;동맹원: ;천하 쟁패 열렬히 진행 중!;천하쟁패 진행 중 bundle=download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,riyu,riyu_shenzong_0.2_0.2,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=22 objects=text;text_beijing;text_big;text_fanhui;text_haoyou;text_haoyou (1);text_name;text_paihangbang;text_qianghua;text_queren;text_small;text_tujian;text_vip_num;text_wuyu;text_yincang;text_youjian samples=이름;친구;모험;모험;전체 화면;10;모험;도감 bundle=download/ui/uifont/japanese/font_material_riyu/riyu_shenzong_0.2_0.2.assetbundle
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,riyu,riyu_cheng_254_178_18,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=20 objects=text;text_1;text_2;text_3;text_4;text_5;text_6;text_baocun;text_qianghua;text_queding;text_queren samples= 설정;저장;확인;알림 설정;확인;계정 삭제;확인;확인 bundle=download/ui/uifont/japanese/font_material_riyu/riyu_cheng_254_178_18.assetbundle
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,riyu,riyu_lan_0.1_0.1,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=17 objects=test_name;text;text_fanhui;text_lan;text_on;text_shezhi samples=설정;성주 이미지;취소;취소;음악 설정;취소;취소;일반 설정 bundle=download/ui/uifont/japanese/font_material_riyu/riyu_lan_0.1_0.1.assetbundle
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,riyu,riyu_222_130_2_shenzong_touying,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=14 objects=text_on samples=모 험;출 정;대 정;무 장;창 고;동 맹;모 험;출 정 bundle=download/ui/uifont/japanese/font_material_riyu/riyu_222_130_2_shenzong_touying.assetbundle
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,EPM,EPM_shenzong_0.2_0.2,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=12 objects=text;text_wanfaTips;txt_face_time samples=총 6명의 소녀 무장을 배경으로 선택하실 수 있습니다.;000;000;10:10;000 bundle=download/ui/uifont/japanese/font_material_epm/epm_shenzong_0.2_0.2.assetbundle
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,EPM,EPM_hei_0.1_0.1,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=10 objects=text_actTime;text_attr;txt_act_leftTime samples=이름;10:10:10;10:10:10;10:10:10;10:10:10;10:10:10;10:10:10;10:10:10 bundle=download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,EPM,EPM_wuxiaoguo_dongtai,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=9 objects=text;text_off;text_on;text_recruit_notice_desc;txt_taskName samples=임무 관련 설명;더 많은 헤드셋을 획득하세요!;성주 이미지;임무 설명;123456789하하하하（ ）;무장 이미지;무장 이미지;임무 설명 bundle=download/ui/uifont/japanese/font_material_epm/epm_wuxiaoguo_dongtai.assetbundle
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,num,num_bai_0.2_0.2,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,"usage=6 objects=text_fight_num;text_num;txt_act_name samples=844,651,695;Lv.199 bundle=download/ui/uifont/japanese/font_material_num/num_bai_0.2_0.2.assetbundle"
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,riyu,riyu_wubain,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=5 objects=text;text_temporary_buff;txt_taskGreenNum;txt_taskRedNum samples=보너스 발동 중;푸쉬 알림;（ 999/999 ）;일반 설정;999/999 bundle=download/ui/uifont/japanese/font_material_riyu/riyu_wubain.assetbundle
tmp_font_material_binding,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\reports\maininterface_tmp_shared_materials.csv,riyu,riyu_zong_xi,static_prefab_material_available,Does not decide runtime activity visibility or label text without active act id.,usage=4 objects=text_big;text_small samples=주 이미지 ;배;경 선택;성 bundle=download/ui/uifont/japanese/font_material_riyu/riyu_zong_xi.assetbundle
