evidence_kind,source,line,target,form_id,module,raw_flags_3_5,path_or_symbol,snippet,interpretation,patch_decision
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975195,YouYouCanvasHelper.OnOpenHandler,,IL2CPP,,YouYouYouYouCanvasHelperWrap._m_OnOpenHandler,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouCanvasHelperWrap._m_OnOpenHandler()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975205,YouYouCanvasHelper.ResetRenderDepth,,IL2CPP,,YouYouYouYouCanvasHelperWrap._m_ResetRenderDepth,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouCanvasHelperWrap._m_ResetRenderDepth()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975210,YouYouCanvasHelper.SetDepth,,IL2CPP,,YouYouYouYouCanvasHelperWrap._m_SetDepth,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouCanvasHelperWrap._m_SetDepth()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975365,YouYouUIManager.CloseUIForm,,IL2CPP,,YouYouYouYouUIManagerWrap._m_CloseUIForm,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouUIManagerWrap._m_CloseUIForm()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975395,YouYouUIManager.FullFormCanvasScaler,,IL2CPP,,YouYouYouYouUIManagerWrap._m_FullFormCanvasScaler,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouUIManagerWrap._m_FullFormCanvasScaler()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975445,YouYouUIManager.GetUIGroup,,IL2CPP,,YouYouYouYouUIManagerWrap._m_GetUIGroup,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouUIManagerWrap._m_GetUIGroup()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975460,YouYouUIManager.HideUIForm,,IL2CPP,,YouYouYouYouUIManagerWrap._m_HideUIForm,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouUIManagerWrap._m_HideUIForm()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975495,YouYouUIManager.NormalFormCanvasScaler,,IL2CPP,,YouYouYouYouUIManagerWrap._m_NormalFormCanvasScaler,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouUIManagerWrap._m_NormalFormCanvasScaler()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975515,YouYouUIManager.OpenUIForm,,IL2CPP,,YouYouYouYouUIManagerWrap._m_OpenUIForm,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouUIManagerWrap._m_OpenUIForm()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
script_method,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\il2cpp_dump\script.json,975530,YouYouUIManager.ShowUIForm,,IL2CPP,,YouYouYouYouUIManagerWrap._m_ShowUIForm,"""Name"": ""Method$XLua.CSObjectWrap.YouYouYouYouUIManagerWrap._m_ShowUIForm()"",",native UI manager/canvas helper methods exist; UI136 direct GameObject copy does not execute these runtime paths,needs_runtime_ui_manager_probe
ui136_metric,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_136_TRACE_UIDOCK_OPEN_STACK_BOTTOM_NAV_CANDIDATE_NO_BACK_LAYER_PROMOTION_RESULT.json,,UI_Dock sibling candidate,,MainInterface,,reference_vs_ui128/ui136 bottom_nav,UI128 bottom_nav corr=0.395621; UI136 bottom_nav corr=0.120721,source-built sibling mount is empirically worse and must not be promoted,do_not_promote_ui136_uidock_sibling
