referenceElement,rootName,hierarchyPath,gameObjectName,gameObjectId,rectPathId,active,depth,anchoredPos,sizeDelta,localScale,spriteNames,texts,buttonHandlers,candidateReason
top_profile_level,UI_MainInterface_old,UI_MainInterface_old/left/bg_juese/bg_jingyan,bg_jingyan,-7923721367020523641,-8940325714194732415,True,3,"-297.20001220703125,2.4000000953674316","113.0,112.0","1.0,1.0,1.0",bg_zytx2,,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_4/txt_act_name,txt_act_name,2957941445581383747,-8918077397217582902,True,4,"0.0,-36.0","90.0,14.010000228881836","1.0,1.0,1.0",,옷장과의 약속,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/left/left_node_face_btn/btn_face_item_2/txt_act_name,txt_act_name,-3899332699982458604,-8889300492611825671,True,4,"0.0,-29.0","90.0,14.010000228881836","1.0,1.0,1.0",,옷장의 약속,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_5,btn_act_5,742600904907955444,-8868008597477657724,True,3,"-200.0,-90.0","100.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
left_story_task_banner,UI_MainInterface_old,UI_MainInterface_old/left/node_renwu/btn_renwu,btn_renwu,8999786670566616508,-8867955425087948189,True,3,"0.0,0.0","79.0,82.0","1.0,1.0,1.0",,,,strong_reference_layout_candidate_old_root_has_matching_stack
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/wanfaWorldNode/spine_xiaoren/Renderer8,Renderer8,-8721568383851562405,-8849834659715749143,False,5,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/wanfaWorldNode/spine_xiaoren/Renderer1,Renderer1,-254890090666293863,-8775254085364118339,False,5,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/jiarutishi5/text_tmp_message/text_tmp_message (1),text_tmp_message (1),5716084942009330476,-8760727324534218354,True,5,"0.0,0.0","157.60000610351562,68.4000015258789","1.0,1.0,1.0",,천하 쟁패 열렬히 진행 중!,,prefab_hierarchy_name_sprite_handler_candidate
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/jiarutishi2/im_tanhao,im_tanhao,884482830378482431,-8712596909716107357,True,4,"182.6999969482422,-170.6999969482422","41.0,51.0","1.0,1.0,1.0",BG_qipao_tanhao,,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/UI_Main_wanfa_item_4/un_MainInterface_fire/effect/1,1,527008037722122544,-8686389012148632798,True,6,"-1.2999999523162842,0.699999988079071","100.0,100.0","70.9729995727539,70.9729995727539,70.9729995727539",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_13/btn_act,btn_act,4214168229120477893,-8659454708591056193,True,4,"0.0,0.0","80.0,80.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/toogles/toggle1/toggle_node/btnToggle1/text_off,text_off,-8900963993445214466,-8644893969609994203,True,7,"0.0,-24.0","120.0,30.0","1.0,1.0,1.0",,무장 ,,prefab_hierarchy_name_sprite_handler_candidate
top_profile_level,UI_MainInterface,UI_MainInterface/left/bg_juese/bg_guanzhi,bg_guanzhi,6092355302883134904,-8534250633972333745,True,3,"-114.89999389648438,41.5","160.0,117.0","0.6000000238418579,0.6000000238418579,1.0",guanzhi_maozi1,,,prefab_hierarchy_name_sprite_handler_candidate
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/jiarutishi5/text_tmp_message2/bg_ditu,bg_ditu,8646929919529201857,-8482203760845978104,True,5,"9.0,-50.70000076293945","196.0,96.0","1.0,1.0,1.0",BG_qipao,,,prefab_hierarchy_name_sprite_handler_candidate
left_story_task_banner,UI_MainInterface_old,UI_MainInterface_old/left/huodong3/Viewport/Content/btn_huodong3/bg_time/text_num,text_num,7407220585355954507,-8449929650395926112,True,7,"44.0,0.0","100.0,20.0","1.0,1.0,1.0",,2021.6.1-7.1,,strong_reference_layout_candidate_old_root_has_matching_stack
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_7/im_qipao1,im_qipao1,1854628150928533801,-8379458155913049180,True,4,"26.0,27.299999237060547","27.0,27.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/toogles/toggle7/toggle_node/im_summonpet_red_point/text_num,text_num,-642145601148978621,-8373996998636275807,False,7,"0.0,0.0","40.0,30.0","1.0,1.0,1.0",,6,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/UI_Main_wanfa_item_4/im_new/NewShow,NewShow,7420603015939627332,-8367600637078486383,True,5,"0.0,0.0","100.0,100.0","0.699999988079071,0.699999988079071,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
left_story_task_banner,UI_MainInterface,UI_MainInterface/left/leftbannerNode/showBannerDescNode/node_actbanner/ScrollViewActBanner/Viewport/Content/tab_item,tab_item,-5440318494520671684,-8344584597931514309,True,8,"0.0,0.0","920.0,180.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/wanfaWorldNode/fanhui_guide_shou/spine_xiaoshou/Renderer22,Renderer22,5843132516140373671,-8342162436761471668,False,6,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_9/im_qipao1,im_qipao1,8628535461175128814,-8335111215806171655,True,4,"26.0,27.299999237060547","27.0,27.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/UI_Main_wanfa_item_2/Entry,Entry,1903940297774760768,-8318423108051799291,True,4,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_16/im_qipao1/RedDot/SkeletonGraphic (hongdian01),SkeletonGraphic (hongdian01),-3408843347372057718,-8277019685984779094,False,6,"0.0,0.0","33.0,32.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_chat_and_social_stack,UI_MainInterface,UI_MainInterface/left/liaotian/Viewport/Content/cat/text_youjian/bg_name/text_name,text_name,-4697279176345789174,-8262096575031980095,True,8,"0.0,0.0","36.0,40.0","1.0,1.0,1.0",,시스템 ,,prefab_hierarchy_name_sprite_handler_candidate
left_story_task_banner,UI_MainInterface_old,UI_MainInterface_old/left/node_wuyu,node_wuyu,-284385408134023052,-8260675311023278518,True,2,"87.0,25.0","0.0,0.0","0.8199999928474426,0.8199999928474426,0.8199999928474426",,,,strong_reference_layout_candidate_old_root_has_matching_stack
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/UI_Main_wanfa_item_2/im_new,im_new,943195869279906529,-8246999005634469339,False,4,"56.70000076293945,45.29999923706055","27.0,27.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_6/im_qipao1,im_qipao1,-1012564963046068900,-8231863444120917264,True,4,"26.0,27.299999237060547","27.0,27.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/jiarutishi5/text_tmp_message/bg_ditu,bg_ditu,9124860673088982672,-8204547948481928496,True,5,"9.0,-50.70000076293945","196.0,96.0","1.0,1.0,1.0",BG_qipao,,,prefab_hierarchy_name_sprite_handler_candidate
right_chat_and_social_stack,UI_MainInterface_old,UI_MainInterface_old/right/btn_haoyou/text_haoyou,text_haoyou,-4700950276111012610,-8197084747081254407,True,3,"0.0,-25.579992294311523","110.0,20.0","0.75,0.75,0.75",,친구,,strong_reference_layout_candidate_old_root_has_matching_stack
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/left/left_node_face_btn/btn_face_item_4/txt_act_name,txt_act_name,-2419639228354464084,-8191190479474794544,True,4,"0.0,-29.0","90.0,14.010000228881836","1.0,1.0,1.0",,옷장의 약속,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/right/node_act_btn/btn_act_7/root_red_fix,root_red_fix,6491305483595389626,-8188086455615052899,True,4,"26.0,26.0","100.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_17/btn_act,btn_act,-6637363545916555898,-8175135543210688649,True,4,"0.0,0.0","80.0,80.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/toogles/toggle4/toggle_node/text_wanfaTips,text_wanfaTips,-2568686707463358350,-8115060381664646458,False,6,"0.0,20.0","100.0,50.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/wanfaWorldNode/fanhui_guide_shou/spine_xiaoshou/Renderer17,Renderer17,2819929386589215941,-8107010267508926429,False,6,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/right/node_act_btn/btn_act_4/spine_root,spine_root,5759844097521174153,-8059161993249325122,True,4,"0.0,2.0","100.0,100.0","1.0,1.0,0.699999988079071",,,,prefab_hierarchy_name_sprite_handler_candidate
left_story_task_banner,UI_MainInterface,UI_MainInterface/left/leftbannerNode/huodong3/Viewport/Content/btn_huodong3/im_banner,im_banner,-4077285588342087548,-8044344938310380391,True,7,"0.0,0.0","232.0,104.0","1.0,1.0,1.0",activitybanner_5,,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/wanfaWorldNode/fanhui_guide_shou/spine_xiaoshou/Renderer20,Renderer20,-1216848932547399852,-8041054903911149008,False,6,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
left_story_task_banner,UI_MainInterface,UI_MainInterface/left/leftbannerNode/showBannerDescNode/img_actBannerJiantouXia,img_actBannerJiantouXia,-6207132123824506369,-8038617706385057442,True,4,"889.0,-272.0","52.0,46.0","1.0,1.0,1.0",zhuye_hdjh_jiantou1,,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_9/btn_act,btn_act,1763924124192330798,-8019710724805095615,True,4,"0.0,0.0","80.0,80.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
top_currency,UI_MainInterface_old,UI_MainInterface_old/right/UI_currency/im_zuanshi,im_zuanshi,-5978730824618350312,-8017823881762908979,True,3,"-69.0,1.0","100.0,100.0","0.5,0.5,0.2800000011920929",itemicon_1001,,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/UI_Main_wanfa_item_4/wanfaBgImg,wanfaBgImg,5125774641126061909,-7952813358366190174,True,4,"0.0,0.0","144.0,144.0","1.0,1.0,1.0",zhuye_maoxian,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_14,btn_act_14,6534697241162808126,-7919623630181505348,True,3,"-700.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/wanfaWorldNode/fanhui_guide_shou/spine_xiaoshou/Renderer21,Renderer21,-9126697396157239765,-7916095054534201538,False,6,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/right/node_act_btn/btn_act_7/im_qipao1,im_qipao1,4303342509215363069,-7901539741509589006,True,4,"26.0,27.299999237060547","27.0,27.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_11/im_qipao1/text_num,text_num,-1964875015966748620,-7860808050149727780,False,5,"0.0,0.0","40.0,30.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
top_profile_level,UI_MainInterface_old,UI_MainInterface_old/right/liaotian/p_chat_private/head_yuan150,head_yuan150,-5240485287156791724,-7848748669470143469,True,4,"-68.0,28.0","0.0,0.0","0.3499999940395355,0.3499999940395355,0.3499999940395355",,,,prefab_hierarchy_name_sprite_handler_candidate
right_chat_and_social_stack,UI_MainInterface_old,UI_MainInterface_old/right/liaotian/p_chat_private/head_yuan150,head_yuan150,-5240485287156791724,-7848748669470143469,True,4,"-68.0,28.0","0.0,0.0","0.3499999940395355,0.3499999940395355,0.3499999940395355",,,,strong_reference_layout_candidate_old_root_has_matching_stack
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/toogles/toggle5/toggle_node/sp_guild,sp_guild,-1053327155889307911,-7790852293832054063,True,6,"-4.0,18.0","96.37162780761719,88.69273376464844","0.75,0.75,0.75",,,,prefab_hierarchy_name_sprite_handler_candidate
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/toogles/toggle3/toggle_node,toggle_node,3074880293564400112,-7748643058723455256,True,5,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/right/node_act_btn/node_renwu/btn_renwu_2/bg_ditu2/btn_lingqu,btn_lingqu,4501504638227576761,-7724840300703644562,True,6,"106.5,-3.0","329.20001220703125,37.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
left_story_task_banner,UI_MainInterface,UI_MainInterface/right/node_act_btn/node_renwu/btn_renwu_2/bg_ditu2/btn_lingqu,btn_lingqu,4501504638227576761,-7724840300703644562,True,6,"106.5,-3.0","329.20001220703125,37.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
hero_background,UI_MainInterface,UI_MainInterface/UI_bg,UI_bg,-1457103517121630268,-7723620072473078182,True,1,"0.0,0.0","1680.0,720.0","1.0,1.0,1.0",noalphabg_BG_changjing_2,,,prefab_hierarchy_name_sprite_handler_candidate
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/toogles/toggle7/toggle_node/btnToggle7,btnToggle7,-221070569679405601,-7696161517847213932,True,6,"0.0,1.0","100.0,98.0","1.0,1.0,1.0",,,UI_MainPage.onBtnSummonPet:200,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/wanfaWorldNode/fanhui_guide_shou/spine_xiaoshou/Renderer5,Renderer5,-3066653459348871043,-7613846482436477831,False,6,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/right/node_act_btn/btn_act_8/root_red_fix,root_red_fix,8598429828941188870,-7610132468000309360,True,4,"26.0,26.0","100.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_chat_and_social_stack,UI_MainInterface_old,UI_MainInterface_old/right/btn_haoyou/im_qipao1/text_num,text_num,-8734565794043040060,-7586573657277336126,False,4,"0.0,0.0","40.0,30.0","1.0,1.0,1.0",,6,,strong_reference_layout_candidate_old_root_has_matching_stack
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/left/left_node_face_btn/btn_face_item_5/txt_act_name,txt_act_name,-8785160916621469625,-7578766176345202857,True,4,"0.0,-29.0","90.0,14.010000228881836","1.0,1.0,1.0",,옷장의 약속,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/UI_Main_wanfa_item_2/im_new/NewShow,NewShow,7926942513241491546,-7577660241658184140,True,5,"0.0,0.0","100.0,100.0","0.699999988079071,0.699999988079071,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
right_chat_and_social_stack,UI_MainInterface,UI_MainInterface/left/liaotian/Viewport/Content/heroEvent/text_youjian,text_youjian,-7349131133143407055,-7575576641053429063,True,6,"0.0,0.0","0.0,0.0","1.0,1.0,1.0",,      d,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_10/root_red_fix/root_red_special,root_red_special,3328211207801641959,-7567368956474043406,True,5,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_4/im_qipao1/RedDot/SkeletonGraphic (hongdian01),SkeletonGraphic (hongdian01),-8246085590579977714,-7540992024390494615,False,6,"0.0,0.0","33.0,32.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
left_story_task_banner,UI_MainInterface_old,UI_MainInterface_old/left/node_wuyu/btn_wuyu,btn_wuyu,-5647506342881885069,-7504787285556248522,True,3,"0.0,0.0","79.0,82.0","1.0,1.0,1.0",,,,strong_reference_layout_candidate_old_root_has_matching_stack
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/right/node_act_btn/btn_shangdian/text_wanfaTips,text_wanfaTips,-6583767661166205574,-7392353942166903559,False,4,"0.0,0.0","100.0,50.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_chat_and_social_stack,UI_MainInterface,UI_MainInterface/right/node_act_btn/btn_shangdian/text_wanfaTips,text_wanfaTips,-6583767661166205574,-7392353942166903559,False,4,"0.0,0.0","100.0,50.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
route_world_cluster,UI_MainInterface,UI_MainInterface/right/node_middle/wanfaWorldNode/spine_xiaoren/Renderer9,Renderer9,8731475094121409847,-7371968678179065855,False,5,"0.0,0.0","100.0,100.0","1.0,1.0,1.0",,,,mismatch_cluster_visible_in_current_capture_but_absent_from_reference
hide_show_mask,UI_MainInterface_old,UI_MainInterface_old/mask,mask,2793042923037538181,-7340509778730852615,True,1,"0.0,0.0","0.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_3/im_qipao1/RedDot,RedDot,8890109802227735955,-7290524249685182716,True,5,"0.0,0.0","27.0,27.0","0.800000011920929,0.800000011920929,1.0",T_hongdian_1,,,prefab_hierarchy_name_sprite_handler_candidate
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/toogles/toggle3/toggle_node/im_red,im_red,5291676649343869015,-7282965124216930086,False,6,"30.0,40.0","27.0,27.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_chat_and_social_stack,UI_MainInterface,UI_MainInterface/left/liaotian/Viewport/Content/superFish/text_youjian,text_youjian,4512528125967927824,-7276994393870130207,True,6,"0.0,0.0","330.0,0.0","1.0,1.0,1.0",,      dadfadsfadsf,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface,UI_MainInterface/right/node_act_btn/node_renwu/im_bg/btn_renwu/im_red/RedDot,RedDot,2944957954646576173,-7266428350396464527,True,7,"0.0,0.0","27.0,27.0","0.800000011920929,0.800000011920929,1.0",T_hongdian_1,,,prefab_hierarchy_name_sprite_handler_candidate
left_story_task_banner,UI_MainInterface,UI_MainInterface/right/node_act_btn/node_renwu/im_bg/btn_renwu/im_red/RedDot,RedDot,2944957954646576173,-7266428350396464527,True,7,"0.0,0.0","27.0,27.0","0.800000011920929,0.800000011920929,1.0",T_hongdian_1,,,prefab_hierarchy_name_sprite_handler_candidate
bottom_menu_buttons,UI_MainInterface,UI_MainInterface/right/node_bottom/toogles/toggle3/toggle_node/btnToggle3/text_off,text_off,-4617369723046342989,-7196299360274307351,True,7,"0.0,-24.0","70.0,30.0","1.0,1.0,1.0",,수호  ,,prefab_hierarchy_name_sprite_handler_candidate
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_7/root_red_fix,root_red_fix,370008249961303798,-7187848450329672532,True,4,"26.0,26.0","100.0,100.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
left_story_task_banner,UI_MainInterface_old,UI_MainInterface_old/left/node_tujian/btn_tujian,btn_tujian,1630750051465371763,-7176579048736111160,True,3,"0.0,0.0","79.0,82.0","1.0,1.0,1.0",,,,strong_reference_layout_candidate_old_root_has_matching_stack
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_14/im_qipao1/text_num,text_num,-3438036084930915038,-7176358315036662958,False,5,"0.0,0.0","40.0,30.0","1.0,1.0,1.0",,,,prefab_hierarchy_name_sprite_handler_candidate
right_chat_and_social_stack,UI_MainInterface,UI_MainInterface/left/liaotian/Viewport/Content/dog/text_youjian/UIDynamicEmoj,UIDynamicEmoj,-7902322778672115907,-7161821403531233314,True,7,"5.0,0.0","45.0,45.0","1.0,1.0,1.0",DOGemoji_01_001,,,prefab_hierarchy_name_sprite_handler_candidate
left_story_task_banner,UI_MainInterface,UI_MainInterface/left/leftbannerNode/huodong3/img_actBanner_nun_bg,img_actBanner_nun_bg,1812843400327435642,-7150359190714981616,True,4,"114.9000015258789,50.79999923706055","44.0,44.0","1.0,1.0,1.0",zhuye_dian,,,prefab_hierarchy_name_sprite_handler_candidate
left_story_task_banner,UI_MainInterface_old,UI_MainInterface_old/left/node_tujian/sp_newTujisn,sp_newTujisn,1739872103753597303,-7113487410179482399,False,3,"36.0,32.0","100.0,100.0","1.0,1.0,1.0",,,,strong_reference_layout_candidate_old_root_has_matching_stack
right_activity_icon_stack,UI_MainInterface_old,UI_MainInterface_old/right/node_act_btn/btn_act_6/spine_root,spine_root,8922615903841952142,-7062493486831953652,True,4,"0.0,0.0","100.0,100.0","0.8999999761581421,0.8999999761581421,0.699999988079071",,,,prefab_hierarchy_name_sprite_handler_candidate
