evidence_kind,source,path_id,asset_name,raw_size,decoded_size,xor_key_offset,xor_key_hex,printable_ratio_first4096,status,snippet,line,symbol
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"LuaUtils.SetLocalPos(t,0,0,0)",2472,rootZeroLocalPos
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"local a=t:Find(""Painting_""..e.id)",2472,targetChild
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,local t=e[i][1],2472,paramScale
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,local s=e[i][2],2472,paramX
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,local n=e[i][3],2472,paramY
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,if e[i][4]then,2472,flipXFlag
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"LuaUtils.SetLocalPos(a,s,n,0)",2472,applyLocalPos
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"LuaUtils.SetLocalScale(a,t*o,t,t)",2472,applyLocalScale
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"LuaUtils.SetLocalPos(a,0,0,0)",2472,fallbackLocalPos
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"LuaUtils.SetLocalScale(a,1,1,1)",2472,fallbackLocalScale
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"i:PlayAnimation(0,e,false,t)",2472,mainSkeletonAnimation
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,UIUtil.ResetUISpineBaseData(a),2472,resetBaseData
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"t:Find(""Painting_""..e.id..""_back"")",2472,backLayer
homepara_semantics,C:\Users\godho\Downloads\girlswar\reports\maininterface\MAININTERFACE_134_UIUtil_security_xor_raw.lua,,,,,,,,found,"t:Find(""Painting_""..e.id..""_front"")",2472,frontLayer
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,,,,,,,,found,"L1541:startTime() | L1542:else | L1543:UIUtil.GetPlayerBigSpineAll( | L1544:i, | L1545:UI_heroSpine,",1543,UI_MainPage.GetPlayerBigSpineAll
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,,,,,,,,found,"L1544:i, | L1545:UI_heroSpine, | L1546:""homePara"", | L1547:function(e,t) | L1548:a=e",1546,UI_MainPage.homeParaArg
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,,,,,,,,found,"L1557:) | L1558:LuaUtils.SetActive(UI_touchSpine.transform,true) | L1559:local e=UIUtil.GetPaintingBg(i) | L1560:GameTools:LoadSpriteWithFullPath(UI_bg,e,true) | L1561:end",1559,UI_MainPage.GetPaintingBg
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,,,,,,,,found,"L1517:end | L1518:) | L1519:LuaUtils.SetActive(UI_touchSpine.transform,true) | L1520:elseif e.isMarry then | L1521:F=true",1519,UI_MainPage.UI_touchSpine
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,,,,,,,,found,"L1556:end | L1557:) | L1558:LuaUtils.SetActive(UI_touchSpine.transform,true) | L1559:local e=UIUtil.GetPaintingBg(i) | L1560:GameTools:LoadSpriteWithFullPath(UI_bg,e,true)",1558,UI_MainPage.UI_touchSpine
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,,,,,,,,found,L109:local t=UI_touchSpine:GetComponent(typeof(CS.YouYou.UIDragEvent)) | L110:t.onClick=onBtnSpine | L111:ee=UI_heroSpine.transform.position | L112:InitActBtn() | L113:InitFaceActBtn(),111,UI_MainPage.heroSpinePositionSaved
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\4894329040263920622_UI_RoleLordShow_security_xor_raw.lua,,,,,,,,found,"L39:[1]={t}, | L40:},function() | L41:UIUtil.GetPlayerBigSpineAll(t,trans_spine,""teamPara"",function(t,e) | L42:a=t | L43:o=e",41,UI_RoleLordShow.teamParaCallsite
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,,,,,,,,found,L359:local o=a.id | L360:local o=UIUtil.GetHeroModelCfgData(o) | L361:local s=o.id,360,UI_BgSet.GetHeroModelCfgData
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,,,,,,,,found,"L363:if a.bgSetType==t.EBgSetType.UnderWear then | L364:local e=UIUtil.GetBigPaintingPath(s,o.homepageUWPainting) | L365:i:LoadSpriteWithFullPath(e)",364,UI_BgSet.GetBigPaintingPath
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,,,,,,,,found,"L366:elseif a.bgSetType==t.EBgSetType.Battle then | L367:local e=UIUtil.GetBigPaintingPath(s,o.bigPainting) | L368:i:LoadSpriteWithFullPath(e)",367,UI_BgSet.GetBigPaintingPath
lua_callsite,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-1733260267463332757_UI_BgSet_security_xor_raw.lua,,,,,,,,found,"L375:elseif a.bgSetType==t.EBgSetType.LordProfile then | L376:local e=UIUtil.GetBigPaintingPath(s,o.bigPainting) | L377:i:LoadSpriteWithFullPath(e)",376,UI_BgSet.GetBigPaintingPath
