bundle,component_path_id,game_object_id,game_object_name,script_id,sprite_ref,material_ref,raycast_target,maskable,image_type,preserve_aspect,fill_method,fill_amount,color_r,color_g,color_b,color_a
download/ui/uiprefabandres/maininterface.assetbundle,-8074340171250832233,2938063278071817179,UI_currency,-7030229213176759517,1:-4050184130424741625,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8060873386693758341,-5236341101107464188,btn_show,-7030229213176759517,1:6617065208850742552,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8053989290021997888,8748269355908913574,btn_queren,-7030229213176759517,8:8764589017035742242,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8049103614986755740,4557105329027977150,Image (1),-7030229213176759517,1:-4547582389765908213,0,0,1,0,0,4,1.0,1.0,1.0,1.0,0.8235294222831726
download/ui/uiprefabandres/maininterface.assetbundle,-8028628235639088470,-7465022017609625308,bg,-7030229213176759517,3:6773407288378370059,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-8019024899735738623,-7131763233150856530,Background,-7030229213176759517,3:-7186694216102560811,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7983653322663080592,2562605267866309684,Checkmark,-7030229213176759517,1:-4466887312369507679,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7950791664996287379,5681593685591775709,mask_notice,-7030229213176759517,-2320101112833093935,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7900627896441584743,-7920317590879115453,Viewport,-7030229213176759517,-2320101112833093935,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7874161847342173779,1816688082510750442,im_start3,-7030229213176759517,1:-3991815054087902777,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7872221258318862427,8599082713812629729,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7870406640315514268,-1989194518598755751,wanfaBtn,-7030229213176759517,1:6617065208850742552,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7849893003438781143,353001438332471237,im_bg,-7030229213176759517,1:3767306702705834126,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7790969016718721188,2016059738610618665,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7756462537133849916,8628535461175128814,im_qipao1,-7030229213176759517,0,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7755257556723208824,6830554979058694942,btn_jiantou2,-7030229213176759517,1:504898600118097118,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7731619996194780457,6224117519690253990,UI_currency,-7030229213176759517,1:-4050184130424741625,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7731417907058043123,-902219009874704804,bg_ditu,-7030229213176759517,3:-3583236969578776251,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7726848240847586022,-7868247270333712019,bg_set2,-7030229213176759517,1:8289117381427851916,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7709902385084140374,-8093636450706155272,im_xuanzhong,-7030229213176759517,3:8420292165073772045,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7699648611142581671,3292560496314170189,im_onHeroProfile,-7030229213176759517,8:1220931250350903373,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7685068270831037112,-7598825571058636272,faceGiftNode,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,0.0
download/ui/uiprefabandres/maininterface.assetbundle,-7681901441832629110,214187188597110554,im_fengxian,-7030229213176759517,1:-388399315194175388,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7650099617195294088,-6831137208692783504,im_tanhao,-7030229213176759517,3:-694878043922505322,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7632944713536848402,-5777616770958632067,im_bg,-7030229213176759517,1:-1182126779076344239,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7609202918048562517,8650715825606800410,im_bg,-7030229213176759517,1:-1182126779076344239,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7608631850361394443,3451608315544434598,im_bg,-7030229213176759517,1:-1182126779076344239,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7594515695340310143,7908661950609271441,btn_chusuo,-7030229213176759517,8:-2610301910275436882,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7582224644290285272,557248178706601804,im_qipao1,-7030229213176759517,1:7394082491903213668,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7579222912140176993,519920202374526251,pop_Content,-7030229213176759517,34:2224739345743275005,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7574083578964006812,6273347671488124076,im_xuanzhong,-7030229213176759517,1:-3341524470259435328,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7560129963118895273,5199865166439831707,im_qipao1,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7552049331340954255,-37479288019629450,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7530439950976772023,-8311138471917487641,im_temporary_buff_bg,1242602534869556086,3:4964805841541795809,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7514850909372685741,71988792892000955,im_fengxian1,-7030229213176759517,1:-388399315194175388,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7493923009960958750,-4757450347725387559,im_qipao1,-7030229213176759517,0,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7485340563409918370,-6875947227756187595,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7473943977317973072,-7083640468283216656,im_qipao1,-7030229213176759517,0,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7467582426722062223,-7455261743790140902,im_fengexian3,-7030229213176759517,1:-2700720894813267555,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7464156570589305479,5291676649343869015,im_red,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7451474113452242497,-312107174295067971,but_mask,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,0.0
download/ui/uiprefabandres/maininterface.assetbundle,-7426169320014065953,3509760361996219097,btn_delete,-7030229213176759517,8:3133559700552656058,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7425603289227810122,3351897326000898387,im_new,-7030229213176759517,0,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7413609668623630757,4586569825642390549,bg_kaiguan,-7030229213176759517,8:430237908708297658,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7410326225245232006,6348112431082562437,UI_currency,-7030229213176759517,1:-4050184130424741625,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7372449267812283067,2751286248185685223,im_jiantou,-7030229213176759517,1:-3479245848778662506,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7362944804527167565,4825297722806209904,bg_message,-7030229213176759517,1:-3679289699125192069,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7357842288461794923,-2835316424224485436,Scroll View,-7030229213176759517,-6932470282978226757,0,1,1,1,0,4,1.0,1.0,1.0,1.0,0.0
download/ui/uiprefabandres/maininterface.assetbundle,-7347763849092282137,-3582835971142626713,bg_ditu2,-7030229213176759517,34:-386543847492548881,0,0,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7336287307285637663,2781232178199404220,im_dot2,-7030229213176759517,1:-2271749065223651739,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7307945504227600631,8825053266965539331,btn_head,1242602534869556086,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7226086934451941603,487935544142905915,im_lover,1242602534869556086,36:-6076515594254935550,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7203150818662845966,-8352484023329776567,imlordCitybg,-7030229213176759517,3:5531784928514332579,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7202353816940873885,-6355766731417820973,UIDynamicEmoj,1242602534869556086,37:9207536870799425191,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7171738926076157433,5145480166872974353,btn_beijing,-7030229213176759517,3:-1005703355257696722,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7152778008308996810,2183609097357589804,btn_head,1242602534869556086,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7145164880768808447,-5918333036208193044,im_round,-7030229213176759517,1:-6190256265202697880,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7139680431387884974,-7090287740707874419,im_qipaofast,-7030229213176759517,3:912107808622036093,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7120917856893029410,182598476754514018,Image,-7030229213176759517,3:-1399333794148815677,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7112829152303616825,2886982629833949813,bg_ditu1,-7030229213176759517,34:-386543847492548881,0,1,1,1,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7063282148387712973,1970481817832065466,im_dot2,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7053905658253068347,6514670721795447346,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7051666562274681566,-3471903878518700572,im_dot,-7030229213176759517,1:-2271749065223651739,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-7047762510004683518,-8375462091806675529,btn_watch,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,0.0
download/ui/uiprefabandres/maininterface.assetbundle,-7006357119417636848,3681775474499021215,btn_shangdian,-7030229213176759517,3:-4765590071629895202,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6996801323493213600,7022738334244158207,btn_act,-7030229213176759517,38861690050489314,0,1,1,1,0,4,1.0,1.0,1.0,1.0,0.0
download/ui/uiprefabandres/maininterface.assetbundle,-6989888510399071459,7452087551646855858,im_redpoint_name,-7030229213176759517,0,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6976219666925194699,-7957668276069517461,btn_fanhui,-7030229213176759517,8:1154577011564608905,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6971344852386082674,-8185461939907555040,im_redpoint_name,-7030229213176759517,0,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6944121459384388659,-9179906652597624840,im_redpoint_line,-7030229213176759517,0,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6909905210152197779,-7086276461570848083,bg_mohuzhezhao,-7030229213176759517,0,0,0,1,0,0,4,1.0,0.0,0.0,0.0,0.47058823704719543
download/ui/uiprefabandres/maininterface.assetbundle,-6876647444654576290,3633639815285788726,mask_recruit_notice,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6843432433740918161,-4952159590947071865,btn_baocun,-7030229213176759517,8:8764589017035742242,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6835829295644126222,-5954866572110600496,im_city_qipaoup2,-7030229213176759517,3:8230669418663780938,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6823783116757574630,-8501376378821000551,shangdian_Btn,-7030229213176759517,1:6617065208850742552,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6816257279529771413,5303623524909153823,im_bg,-7030229213176759517,1:-1182126779076344239,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6784196829616500838,1437234691971142958,im_fight_red,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6778904248715123419,-6878778615376053674,bg_dibu,-7030229213176759517,0,0,0,1,0,0,4,1.0,0.0,0.0,0.0,0.47843137383461
download/ui/uiprefabandres/maininterface.assetbundle,-6773393558911284277,3853309437814867862,btn_google,-7030229213176759517,40:-8033902832580969613,0,1,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6756223837567446444,2247224239628523787,UI_heroSpine,-7030229213176759517,0,0,1,1,0,0,4,1.0,1.0,1.0,1.0,0.0
download/ui/uiprefabandres/maininterface.assetbundle,-6754143840720508379,5069573219433004833,RedDot,-7030229213176759517,1:523894093744659759,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
download/ui/uiprefabandres/maininterface.assetbundle,-6675257727875584224,-1554677917597964598,im_kai,-7030229213176759517,8:8567226860985364068,0,0,1,0,0,4,1.0,1.0,1.0,1.0,1.0
