local e=
{
ByIdx={
{10601001,1002,"哇！是大海呀——~","わあ！海だ～～～～！","","와! 바다당~","わあ！海だ～～～～！",0,0,"","","","","","","","","",""},
{10601026,999,"喂！不要一脸认真的接话呀，这，这只是开玩笑的吧，是吧！","おい！まじめな顔で話を続けるなよ。その、冗談じゃろう、だよな！","喂！不要一脸认真的接话呀，这，这只是开玩笑的吧，是吧！","흐에?! 그렇게 진지한 얼굴로 말하다니... \r\n노, 농담으로 말한 건데?!","おい！まじめな顔で話を続けるなよ。その、冗談じゃろう、だよな！",0,0,"","","","","","","","","",""},
{10601027,1060,"哈哈，许久不见小天照，忍不住想逗逗你呢~","ははは、久しぶりにアマテラスちゃんを見て、思わずからかいたくなったのだ。","哈哈，许久不见小天照，忍不住想逗逗你呢~","후훗~ 귀여운 아마테라스님을 오랫만에 만나서 그런가.\r\n장난 한 번 치고 싶었어~","ははは、久しぶりにアマテラスちゃんを見て、思わずからかいたくなったのだ。",0,0,"","","","","","","","","",""},
{10601028,999,"都说“小”字是多余的啦！所以，你们两个到底是怎么走到一起的？","「ちゃん」を付けるなよ！で、おまえたちはなぜ一緒におるのじゃ？","都说“小”字是多余的啦！所以，你们两个到底是怎么走到一起的？","끄응... 여전히 날 어린애 취급하는 거야?! \r\n근데 둘이 정말 왜 같이 있는 거야?","「ちゃん」を付けるなよ！で、おまえたちはなぜ一緒におるのじゃ？",0,0,"","","","","","","","","",""},
{10601029,1060,"咳哼~这可就说来话长啦，话说半个月前的一个雨夜，我正在床上假寐，脑中忽来灵感……","ゴホン…話せば長くなる。半月前の雨の日の夜、ベッドで仮眠をしていたところ、急に頭にあることが浮かび……","咳哼~这可就说来话长啦，话说半个月前的一个雨夜，我正在床上假寐，脑中忽来灵感……","으흠~ 말하면 이야기가 길어지는데. \r\n사실 보름 전 비오는... 외로운 밤에. 갑자기...","ゴホン…話せば長くなる。半月前の雨の日の夜、ベッドで仮眠をしていたところ、急に頭にあることが浮かび……",0,0,"","","","","","","","","",""},
{10601030,999,"你还是长话短说吧！","短くまとめてくれ！","你还是长话短说吧！","중요한 것만 말해주지 않을래?!","短くまとめてくれ！",0,0,"","","","","","","","","",""},
{10601031,1060,"唉，真是个急性子呀你。简而言之，某天我心血来潮，想到雨后的山上去感受自然。","ああ、本当にせっかちだな。簡単に言うと、ある日、わしは急に雨上がりの山に行って自然を感じたいと思ったのだ。","唉，真是个急性子呀你。简而言之，某天我心血来潮，想到雨后的山上去感受自然。","급하기도 하셔라~ \r\n그냥 산에 올라가서 자연을 느끼고 싶다는 생각이 들었다구.","ああ、本当にせっかちだな。簡単に言うと、ある日、わしは急に雨上がりの山に行って自然を感じたいと思ったのだ。",0,0,"","","","","","","","","",""},
{10601032,999,"你这当领导的，可真是够闲呢……","暇そうなリーダーじゃな……","你这当领导的，可真是够闲呢……","너... 생각보다 한가하구나?","暇そうなリーダーじゃな……",0,0,"","","","","","","","","",""},
{10601033,1060,"作为一个诗人，感受自然之美不是很正常么？","詩人として、自然の美しさを感じるのは普通のことだろう？","作为一个诗人，感受自然之美不是很正常么？","시인으로서 자연의 아름다움을 느끼는 건 당연하지.","詩人として、自然の美しさを感じるのは普通のことだろう？",0,0,"","","","","","","","","",""},
{10601034,999,"然后呢？我刚才听你说关羽救了你，这又是怎么回事呀？","それで？さっき、お前は関羽に救われたと言ったな。それはどういうことじゃ？","然后呢？我刚才听你说关羽救了你，这又是怎么回事呀？","그래서... 관우랑은 어떻게 만나게 된 건데?","それで？さっき、お前は関羽に救われたと言ったな。それはどういうことじゃ？",0,0,"","","","","","","","","",""},
{10601035,1060,"唉，也是我倒霉。我光想着摘些雨后的山珍尝尝鲜，却不想误采了毒蘑菇。","ああ、本当に不運だった。雨上がりの珍味を食べてみようとしたのだが、誤って毒キノコを取ってしまったのだ。","唉，也是我倒霉。我光想着摘些雨后的山珍尝尝鲜，却不想误采了毒蘑菇。","휴우... 정말 재수가 없었어.\r\n과인이 비온 뒤 산의 보물이라고 불리는 버섯을 찾아다녔는데.\r\n그만 독버섯을 잘못 따서 먹어버렸지 뭐야...","ああ、本当に不運だった。雨上がりの珍味を食べてみようとしたのだが、誤って毒キノコを取ってしまったのだ。",0,0,"","","","","","","","","",""},
{10601036,1060,"熬了一锅蘑菇汤分与部下享用，结果全拉肚子了……","キノコのスープを作って部下と食べたところ、みんな下痢になってしまい……","熬了一锅蘑菇汤分与部下享用，结果全拉肚子了……","부하들 영양 보충도 할 겸 버섯탕을 끓일려고 했는데...\r\n먹고 배탈이 났어.","キノコのスープを作って部下と食べたところ、みんな下痢になってしまい……",0,0,"","","","","","","","","",""},
{10601037,999,"噗——","ぷっ！","噗——","풋-","ぷっ！",0,0,"","","","","","","","","",""},
{10601038,1060,"喂，你刚才笑了吧！","おい、今笑っただろう！","喂，你刚才笑了吧！","뭐야?! 방금 비웃은 거야?!","おい、今笑っただろう！",0,0,"","","","","","","","","",""},
{10601039,999,"没，没有，我只是忽然想起好笑的事情~","いやいや、面白いことをふっと思い出しただけじゃよ～。","没，没有，我只是忽然想起好笑的事情~","아, 아니... 그냥 갑자기 웃긴 일이 생각나서!","いやいや、面白いことをふっと思い出しただけじゃよ～。",0,0,"","","","","","","","","",""},
{10601040,1060,"哼！想笑就笑吧！反正这种倒霉的事我也习惯了……究竟是哪个混蛋说可以靠蘑菇颜色的鲜艳程度分辨毒性的！","ふん！勝手にしろ！どうせこんな不運には慣れるておるし。……キノコの色の鮮やかさで毒を見分けられると言ったのはいったいどこのどいつだ！","哼！想笑就笑吧！反正这种倒霉的事我也习惯了……究竟是哪个混蛋说可以靠蘑菇颜色的鲜艳程度分辨毒性的！","칫! 마음대로 웃어~! 과인이 재수가 없는 건... 이젠 익숙하니깐.\r\n도대체 어떤 놈이 버섯 색깔로 독성을 구별할 수 있다고 했는지!","ふん！勝手にしろ！どうせこんな不運には慣れるておるし。……キノコの色の鮮やかさで毒を見分けられると言ったのはいったいどこのどいつだ！",0,0,"","","","","","","","","",""},
{10601041,1060,"回去后我专门询问了医生才知道，即使是一些颜色朴素的蘑菇也是会有毒的！","帰ってから専門医に聞いてみたが、地味なキノコでも毒があることがわかったのだ！","回去后我专门询问了医生才知道，即使是一些颜色朴素的蘑菇也是会有毒的！","돌아가서 심마니들한테 물어봤는데.\r\n일반 버섯에도 독이 있다는 사실을 알게 됐어.","帰ってから専門医に聞いてみたが、地味なキノコでも毒があることがわかったのだ！",0,0,"","","","","","","","","",""},
{10601042,1060,"那些打着“生活小常识”吸引眼球的家伙，都该被拉去砍头！","「生活の豆知識」を掲げて注目を集めようとするやつは、首をはねるべきだ！","那些打着“生活小常识”吸引眼球的家伙，都该被拉去砍头！","휴... 그런 말도 안 되는 지식을 소문내고 다니는 놈들 모두... \r\n목을 베어 버려야 해!","「生活の豆知識」を掲げて注目を集めようとするやつは、首をはねるべきだ！",0,0,"","","","","","","","","",""},
{10601043,999,"冷静，冷静。所以你们都中毒啦？","落ち着いて、落ち着いて。で、お前たちは全員中毒になったのか？","冷静，冷静。所以你们都中毒啦？","진정! 진정~! 그래서 다들 배탈 났다는 거야?","落ち着いて、落ち着いて。で、お前たちは全員中毒になったのか？",0,0,"","","","","","","","","",""},
{10601044,1060,"哦，我没中毒。","いや、わしはなっておらん。","哦，我没中毒。","음, 나만 빼고...","いや、わしはなっておらん。",0,0,"","","","","","","","","",""},
{10601045,999,"……欸？你为什么没有中毒，难道……是小说里常有的毒免体质？","……え？なぜだ？まさか……物語によくいる、毒に免疫がある体質なのか？","……欸？你为什么没有中毒，难道……是小说里常有的毒免体质？","... 에? 왜??? 설마... 독에 면역 체질 뭐 그런 건가?","……え？なぜだ？まさか……物語によくいる、毒に免疫がある体質なのか？",0,0,"","","","","","","","","",""},
{10601046,1060,"那些可是山上采的蘑菇耶，谁知道有没有毒啊，我当然不会先吃的啦~","山で採れたキノコだぞ、毒があるかどうか誰も知らないのに、わしが先に食べることはもちろんない。","那些可是山上采的蘑菇耶，谁知道有没有毒啊，我当然不会先吃的啦~","으음... 사실 과인이 가져오긴 했지만. \r\n과인이 생각해도 버섯에 독이 있는지 없는지 자신이 없어서. 안 먹었지!","山で採れたキノコだぞ、毒があるかどうか誰も知らないのに、わしが先に食べることはもちろんない。",0,0,"","","","","","","","","",""},
{10601047,999,"咳——！！！你，你你。","ゴホッゴホン！！！お、お前…。","咳——！！！你，你你。","...?! 와... 너... 너... 양아치구나?!","ゴホッゴホン！！！お、お前…。",0,0,"","","","","","","","","",""},
{10601048,1060,"停，我知道你想夸我谨慎，但是先别急。正所谓屋漏偏逢连夜雨，就在那时，一伙藏在山中的贼匪忽然出现了。","ああ、わしの慎重さに褒めたいのは分かるが待ってくれ、まだ話が終わっていない。まさに悪い時には悪いことが重なるのだ。その時、山の中に隠れていた盗賊が突然現れた。","停，我知道你想夸我谨慎，但是先别急。正所谓屋漏偏逢连夜雨，就在那时，一伙藏在山中的贼匪忽然出现了。","아무튼~ 버섯을 찾고 있는 도중에 산적들이랑 마주쳤지 뭐야.","ああ、わしの慎重さに褒めたいのは分かるが待ってくれ、まだ話が終わっていない。まさに悪い時には悪いことが重なるのだ。その時、山の中に隠れていた盗賊が突然現れた。",0,0,"","","","","","","","","",""},
{10601049,1060,"数年前一伙贼匪穷凶极恶，为祸乡里，被我率军剿灭，却不想漏了些小鱼小虾藏于荒山之中。","数年前、わしの率いる軍が極悪非道の盗賊たちを討ち滅ぼさしたのだが、逃した雑魚どもが山に隠れていたのだ。","数年前一伙贼匪穷凶极恶，为祸乡里，被我率军剿灭，却不想漏了些小鱼小虾藏于荒山之中。","과인이 소탕한 산적들이었는데. \r\n산속에서 숨어살면서 날 노렸던 거지.","数年前、わしの率いる軍が極悪非道の盗賊たちを討ち滅ぼさしたのだが、逃した雑魚どもが山に隠れていたのだ。",0,0,"","","","","","","","","",""},
{10601050,1060,"那伙人显然认出了我，哼！我曹某虽不善武艺，也不是委曲求全之人。","あの連中は明らかにわしを知っていた。ふん！わしは武術が得意ではないが、慈悲を乞うような人間でもない。","那伙人显然认出了我，哼！我曹某虽不善武艺，也不是委曲求全之人。","쳇... 아무튼 혼자서 상대하긴 좀 힘들다 생각했어.\r\n하지만 그렇다고 목숨을 구걸할 과인이 아니지.","あの連中は明らかにわしを知っていた。ふん！わしは武術が得意ではないが、慈悲を乞うような人間でもない。",0,0,"","","","","","","","","",""},
{10601051,1060,"可正当我抱着必死之决心，欲同那伙贼匪同归于尽时，关羽小姐如神人天降，救我于水火之中。","賊たちと共に死ぬことを覚悟したとき、関羽さんはまるで天から降りてきた神のように、わしを救い出してくれたのだ。","可正当我抱着必死之决心，欲同那伙贼匪同归于尽时，关羽小姐如神人天降，救我于水火之中。","죽을 각오로 산적떼와 싸우고 있을 때! \r\n관우가 보고 과인을 구해주러 온 거야!","賊たちと共に死ぬことを覚悟したとき、関羽さんはまるで天から降りてきた神のように、わしを救い出してくれたのだ。",0,0,"","","","","","","","","",""},
{10601052,1060,"当时我就知道，那一定是命运的安排！","その時わしは知ったのだ、きっとこれは運命だと！","当时我就知道，那一定是命运的安排！","그리고... 운명이라고 느꼈지...!","その時わしは知ったのだ、きっとこれは運命だと！",0,0,"","","","","","","","","",""},
{10601053,1054,"咳，我那时和大姐三妹走散了，又碰巧遇见山贼行凶。结果就这样阴差阳错救下了曹操……","ああ、その時吾は姉と三妹とはぐれて、偶然山賊たちに出会ったのです。結局間違って曹操を救ってしまって……","咳，我那时和大姐三妹走散了，又碰巧遇见山贼行凶。结果就这样阴差阳错救下了曹操……","아... 다행히 이곳을 지나가다 보게 되서 조조님을 구했어요.","ああ、その時吾は姉と三妹とはぐれて、偶然山賊たちに出会ったのです。結局間違って曹操を救ってしまって……",0,0,"","","","","","","","","",""},
{10601054,999,"你现在，肯定很后悔吧？","関羽は、後悔しているんじゃろう？","你现在，肯定很后悔吧？","근데 너... 많이 후회하고 있는 표정이다?","関羽は、後悔しているんじゃろう？",0,0,"","","","","","","","","",""},
{10601055,1054,"……除暴安良本就是习武之人的天职，即使对方是曹操，我也不能放任山贼逞凶！","……暴虐な者を排除し、民を守るのは武士の務めです。たとえ相手が曹操であっても、山賊の凶行を放置することはできません！","……除暴安良本就是习武之人的天职，即使对方是曹操，我也不能放任山贼逞凶！","... 그럴리가요. 위험에 처한 사람을 구하는 건 당연한 거예요. 그게 누가 되었든.","……暴虐な者を排除し、民を守るのは武士の務めです。たとえ相手が曹操であっても、山賊の凶行を放置することはできません！",0,0,"","","","","","","","","",""},
{10601056,1060,"哈哈，不愧是关羽小姐，果然义薄云天呀！","ははは、さすが関羽さんだ。正義の心を持っている！","哈哈，不愧是关羽小姐，果然义薄云天呀！","하하, 역시 관우 님... 의리녀!","ははは、さすが関羽さんだ。正義の心を持っている！",0,0,"","","","","","","","","",""},
{10601057,1054,"……啧。","……チッ。","……啧。","... 헛...","……チッ。",0,0,"","","","","","","","","",""},
{10601058,999,"我听到了哦，你刚刚很小声地咂嘴了吧！果然，你肯定后悔了！","聞こえたぞ、今小さく舌打ちしただろう。やっぱり、後悔しておるのう！","我听到了哦，你刚刚很小声地咂嘴了吧！果然，你肯定后悔了！","나 방금 들었어! 방금 한숨 쉰 거 맞지?!","聞こえたぞ、今小さく舌打ちしただろう。やっぱり、後悔しておるのう！",0,0,"","","","","","","","","",""},
{10601059,1054,"咳！天照小姐一定是听错了，关某既然救下曹操大人，就不会懊恼为什么没晚点出现，好让某人被狠揍一顿，然后痛哭流涕什么的……","こほん！アマテラスさんの聞き間違いですよ。吾が曹操様を救ったのですから、なぜ遅れて行かなかったのかとか、誰かさんをひどく殴って泣かせるとか……","咳！天照小姐一定是听错了，关某既然救下曹操大人，就不会懊恼为什么没晚点出现，好让某人被狠揍一顿，然后痛哭流涕什么的……","아, 아니에요~! 자, 잘못 들으셨어요!","こほん！アマテラスさんの聞き間違いですよ。吾が曹操様を救ったのですから、なぜ遅れて行かなかったのかとか、誰かさんをひどく殴って泣かせるとか……",0,0,"","","","","","","","","",""},
{10601060,1054,"这种阴暗的想法从没有过，毕竟关某可是读《春秋》的呢！","そのような暗い考えは一度も浮かびませんでした、何しろ吾は『春秋』を読んでいるのですから！","这种阴暗的想法从没有过，毕竟关某可是读《春秋》的呢！","왜냐하면 이 관우는 《춘추》라는 책을 읽고 깨달았기 때문이에요!","そのような暗い考えは一度も浮かびませんでした、何しろ吾は『春秋』を読んでいるのですから！",0,0,"","","","","","","","","",""},
{10601061,999,"我懂我懂，毕竟曹操就是很欠揍呀。","わかる、わかるぞ。曹操を殴りたい気持ち。","我懂我懂，毕竟曹操就是很欠揍呀。","... 그래그래... 아무튼 맨날 날 놀리는 조조는 정신을 차려야할 텐데...","わかる、わかるぞ。曹操を殴りたい気持ち。",0,0,"","","","","","","","","",""},
{10601062,1060,"这话我可不爱听，我曹某行事向来光明磊落，文采更是斐然，哪里欠揍了呀！","んん？わしはいつも堂々としておるし、文才もあるのに、わしの何が悪いんだ？","这话我可不爱听，我曹某行事向来光明磊落，文采更是斐然，哪里欠揍了呀！","듣기 좀 거북해. \r\n과인이 왜 정신을 차려야 한다는 거지?!","んん？わしはいつも堂々としておるし、文才もあるのに、わしの何が悪いんだ？",0,0,"","","","","","","","","",""},
{10601063,1060,"倒不如说，我这么优秀的人却总是很倒霉，这才很过分吧！","むしろ、わしのような善良で優秀な人間がいつも不運に見舞われることこそ、とんでもないことだ！","倒不如说，我这么优秀的人却总是很倒霉，这才很过分吧！","과인은 훌륭한 만큼 재수도 없다구...!","むしろ、わしのような善良で優秀な人間がいつも不運に見舞われることこそ、とんでもないことだ！",0,0,"","","","","","","","","",""},
{10601064,999,"啊对对对。","はいはい。","啊对对对。","그래그래... 네 말이 맞아.","はいはい。",0,0,"","","","","","","","","",""},
{10601065,1060,"总之，为了报答关羽小姐的救命之恩，于是我便盛情邀请她到这里来玩耍，然后遇上了你们。","とにかく、関羽さんへ恩返しをするために、わしは親切心で彼女を誘い、ここに遊びに来たのだ。そしてあなたたちに出会った。","总之，为了报答关羽小姐的救命之恩，于是我便盛情邀请她到这里来玩耍，然后遇上了你们。","아무튼 관우 님께서 과인의 목숨을 구해줬으니. \r\n은혜를 갚기 위해 이곳에 초대한 거야. 그리고 너희들과 만났고.","とにかく、関羽さんへ恩返しをするために、わしは親切心で彼女を誘い、ここに遊びに来たのだ。そしてあなたたちに出会った。",0,0,"","","","","","","","","",""},
{10601066,1054,"嗯，至少一百个持刀护卫的盛情邀请呢。","ええまあ、少なくとも100人の護衛が付いている親切な招待でしたね。","嗯，至少一百个持刀护卫的盛情邀请呢。","맞아요. 저희 쪽 병사들을 초대한 인원이 적어도 100명이 넘어요.","ええまあ、少なくとも100人の護衛が付いている親切な招待でしたね。",0,0,"","","","","","","","","",""},
{10601067,1060,"这样才显得隆重嘛~","この方が派手でいいじゃないか～。","这样才显得隆重嘛~","그래야 관우 님께 보답할 수 있으니깐~","この方が派手でいいじゃないか～。",0,0,"","","","","","","","","",""},
{10601068,999,"（啊这，总感觉卷入麻烦的事情里了呀……）","（あれあれ、なんだか面倒なことに巻き込まれているような……）","（啊这，总感觉卷入麻烦的事情里了呀……）","(아, 이거, 왠지 귀찮은 일에 말려든 느낌이 드는데...）","（あれあれ、なんだか面倒なことに巻き込まれているような……）",0,0,"","","","","","","","","",""},
{10601069,0,"天照和{PlayerName}对视一眼，同时在心中嘀咕。","アマテラスは{PlayerName}と目を合わせながら、心の中でつぶやいた。","天照和{PlayerName}对视一眼，同时在心中嘀咕。","아마테라스와 {PlayerName}님은 눈이 마주쳤고 눈빛으로 말했다.","アマテラスは{PlayerName}と目を合わせながら、心の中でつぶやいた。",0,0,"","","","","","","","","",""},
{10602001,0,"没一会儿茶茶几人回来了，趁着关羽注意力被转移的机会，曹操向{PlayerName}打了个眼色。","しばらくして茶々たちが戻ってきて、関羽の注意がそれた隙に曹操は{PlayerName}に目配せをした。","","잠시 후, 차차와 일행들이 돌아왔고 관우가 잠시 한눈 판 사이에 조조는 {PlayerName}님에게 눈치를 줬다.","しばらくして茶々たちが戻ってきて、関羽の注意がそれた隙に曹操は{PlayerName}に目配せをした。",0,0,"","","","","","","","","",""},
{10602002,1060,"嘿，跟我过来（小声）","おい、ついてこい（小声）","","성주, 따라와.(소근소근)","おい、ついてこい（小声）",0,0,"","","","","","","","","",""},
{10602003,0,"海边","海辺","","바닷가ㅡ","海辺",0,0,"","","","","","","","","",""},
{10602004,999,"你鬼鬼祟祟干什么呢？","なんじゃ、こそこそと何をしておるのじゃ？","","거기 둘이 뭘 속닥 속닥 거리고 있어?","なんじゃ、こそこそと何をしておるのじゃ？",0,0,"","","","","","","","","",""},
{10602005,1060,"什么鬼鬼祟祟，我只是有件事想和你们商量一下。","何がこそこそだ。ちょっと相談したいことがあるだけだ。","","그, 그냥 과인이 상의하고 싶은 게 있을 뿐이야.","何がこそこそだ。ちょっと相談したいことがあるだけだ。",31060211,31060212,"看你样子就知道很麻烦呢……","","","음, 귀찮은 일은 딱 질색인데.","どう見ても面倒そうなことだな…","很忙！告辞！","","","난 좀 바빠서! 가볼게!","很忙！告辞！"},
{10602006,1060,"欸，我还什么都没说呢！","おい、まだ何も言ってないぞ！","","에...? 과인은 아직 아무 말도 안 했는 걸?!","おい、まだ何も言ってないぞ！",0,0,"","","","","","","","","",""},
{10602007,1060,"其实也不是什么麻烦事啦，就是想让你们给我打个辅助。","面倒なことではないんだ。ちょっと手伝ってほしいだけで。","","그냥 아주, 간단한 일을 좀 도와달라는 거야...","面倒なことではないんだ。ちょっと手伝ってほしいだけで。",0,0,"","","","","","","","","",""},
