time,motion_all,motion_top,motion_center,motion_bottom_hud,motion_right_rail,bright_ratio,dark_ratio
17.2,0.350617,0.350982,0.310899,0.417098,0.40325,0.010593,0.089779
17.71,0.006298,0.005,0.006168,0.008304,0.004134,0.010975,0.089295
18.21,0.010369,0.003078,0.004695,0.030227,0.00267,0.012435,0.082385
18.72,0.042802,0.004852,0.061404,0.062863,2e-06,0.019345,0.078144
19.23,0.007459,0.001317,0.012664,0.004851,1e-06,0.019829,0.078153
19.73,0.004583,0.001684,0.008507,0.000876,4e-06,0.019392,0.07793
20.24,0.048353,0.004893,0.083995,0.033604,3.4e-05,0.018099,0.080906
20.74,0.015729,0.003816,0.018664,0.026276,0.001631,0.019857,0.078823
21.25,0.289265,0.327909,0.353554,0.140558,0.235331,0.000791,0.49349
21.75,0.001613,9e-06,0.00333,7e-05,1.8e-05,0.000791,0.493545
22.26,0.013988,0.008029,0.026182,9.8e-05,2.6e-05,0.001125,0.489927
22.77,0.007247,0.019323,0.007894,6.3e-05,5.6e-05,0.001349,0.488077
23.27,0.004467,0.013187,0.004285,0.000143,0.000197,0.001116,0.489342
23.78,0.286426,0.321517,0.359992,0.117828,0.236921,0.020303,0.079818
24.28,0.006694,0.016024,0.004875,0.005571,0.001312,0.020564,0.079362
24.79,0.012902,0.005148,0.003141,0.042461,0.002286,0.02234,0.07407
25.3,0.180785,0.005758,0.254508,0.261355,0.029515,0.201535,0.000167
25.8,0.137964,0.175537,0.149219,0.12706,0.055342,0.072573,0.000818
26.31,0.107491,0.090594,0.12508,0.110965,0.056105,0.314025,0.000112
26.81,0.179868,0.218391,0.203736,0.167844,0.049558,0.014295,0.00027
27.32,0.133096,0.054734,0.116625,0.267442,0.071368,0.016815,0.090606
27.83,0.012523,0.004885,0.018488,0.011624,0.001572,0.018536,0.088086
28.33,0.291364,0.314749,0.365759,0.133897,0.235333,0.001376,0.469764
28.84,0.00322,0.005341,0.004387,0.000565,0.000388,0.001376,0.472387
29.34,0.289884,0.320894,0.365234,0.124884,0.235948,0.018341,0.090318
29.85,0.012356,0.008109,0.019776,0.005988,0.0,0.01861,0.090318
30.36,0.017792,0.005805,0.02928,0.011378,4e-06,0.018973,0.087342
30.86,0.080169,0.011124,0.145336,0.041324,0.001848,0.020545,0.087333
31.37,0.014715,0.00878,0.018252,0.016557,0.003915,0.021047,0.082747
31.87,0.121718,0.007807,0.129833,0.258825,0.029385,0.012295,5.6e-05
32.38,0.002138,0.002424,0.002401,0.002378,0.00062,0.01237,0.000102
32.89,0.003041,0.00513,0.002965,0.002986,0.000858,0.012537,0.000112
33.39,0.001857,0.006462,0.001462,0.0,2.4e-05,0.012537,4.7e-05
33.9,0.516635,0.53213,0.446785,0.599446,0.648254,0.981929,2.8e-05
34.4,0.0129,0.010787,0.018975,0.009021,0.005093,0.835333,8.4e-05
34.91,0.039428,0.012057,0.063201,0.032406,0.000148,0.768769,0.000316
35.41,0.062044,0.0279,0.089755,0.064903,0.00075,0.708147,0.000419
35.92,0.04779,0.049723,0.058122,0.049183,0.005942,0.67114,0.000316
36.43,0.034931,0.033401,0.03726,0.047989,0.006506,0.678925,0.0004
36.93,0.03896,0.050032,0.04764,0.029722,0.003189,0.623921,0.000381
37.44,0.318253,0.240705,0.338528,0.291158,0.391112,0.018592,0.000326
37.94,0.066817,0.059734,0.084907,0.058621,0.041741,0.01795,0.000251
38.45,0.069765,0.051027,0.062329,0.11884,0.047365,0.016946,0.000512
38.96,0.547586,0.624255,0.516394,0.545288,0.577728,0.0,0.973317
39.46,0.000918,0.002681,0.000912,1.8e-05,0.0,0.0,0.973354
39.97,0.533371,0.424034,0.711719,0.373936,0.375076,0.077976,0.001572
40.47,0.025178,0.009662,0.046159,0.004517,0.001832,0.077427,0.001907
40.98,0.008072,0.005567,0.014207,0.000139,0.001658,0.084989,0.001469
41.49,0.00773,0.004276,0.013584,6.7e-05,0.003013,0.077316,0.00186
41.99,0.010476,0.006794,0.006712,0.022692,0.0062,0.078181,0.001879
42.5,0.263087,0.247996,0.254316,0.243776,0.308925,0.009505,0.000344
43.0,0.11133,0.057607,0.139462,0.088481,0.106357,0.030934,0.000567
43.51,0.171668,0.109827,0.193101,0.148278,0.182886,0.001311,0.000372
44.02,0.2757,0.17404,0.324032,0.223687,0.274372,0.019801,0.000195
44.52,0.025476,0.012573,0.030458,0.023387,0.027586,0.010556,0.000326
45.03,0.178845,0.105901,0.21055,0.151753,0.174688,0.02181,0.000632
45.53,0.108468,0.067979,0.119852,0.101275,0.11276,0.006473,0.000465
46.04,0.018649,0.00212,0.016161,0.041469,0.008181,0.009319,0.000446
46.55,0.015662,0.003678,0.01569,0.028315,0.008111,0.007878,0.000474
47.05,0.02093,0.005798,0.020214,0.037492,0.013568,0.006427,0.000595
47.56,0.015144,0.003424,0.018293,0.020064,0.009753,0.011151,0.000502
48.06,0.014691,0.014815,0.019984,0.006808,0.008008,0.009561,0.000363
48.57,0.279538,0.176836,0.324874,0.233009,0.284739,0.01236,0.000233
49.07,0.06292,0.057732,0.071376,0.043877,0.089625,0.009338,0.000363
49.58,0.128812,0.220806,0.061811,0.204202,0.156719,0.001339,1.9e-05
50.09,0.265803,0.349191,0.243377,0.270323,0.256716,0.266509,0.0
50.59,0.457498,0.39326,0.537045,0.377378,0.323329,0.002688,0.00519
51.1,0.036273,0.030686,0.04876,0.019874,0.040562,0.015737,0.004092
51.6,0.061536,0.040224,0.084032,0.041931,0.054266,0.036514,0.002837
52.11,0.05654,0.030432,0.081842,0.038236,0.034793,0.051414,0.003265
52.62,0.024968,0.017,0.035749,0.016108,0.016908,0.061784,0.003283
53.12,0.045784,0.067035,0.046891,0.042193,0.017476,0.045024,0.007729
53.63,0.051493,0.016605,0.088644,0.009641,0.036201,0.047052,0.008101
54.13,0.027012,0.015008,0.043417,0.007472,0.015874,0.039053,0.009719
54.64,0.060202,0.015916,0.094747,0.036125,0.031388,0.049256,0.008259
55.15,0.022988,0.014439,0.030714,0.020847,0.012334,0.044178,0.008408
55.65,0.022125,0.01395,0.031327,0.013589,0.021363,0.043536,0.008268
56.16,0.025385,0.019192,0.034507,0.011386,0.032954,0.039946,0.008408
56.66,0.351587,0.356822,0.317951,0.373769,0.483728,0.038783,0.169903
57.17,0.078528,0.050557,0.098292,0.080102,0.048616,0.037109,0.184077
57.68,0.105496,0.0448,0.167106,0.060299,0.046491,0.002651,0.242876
58.18,0.274727,0.310003,0.231818,0.284053,0.411631,0.004278,0.011514
58.69,0.01642,0.00702,0.027017,0.006147,0.018524,0.00386,0.011812
59.19,0.187229,0.253525,0.160052,0.185637,0.20003,0.004622,0.024135
59.7,0.188935,0.169647,0.159111,0.26086,0.236851,0.001125,0.201339
60.21,0.065721,0.040941,0.094553,0.048957,0.026613,0.001218,0.176404
60.71,0.102477,0.076605,0.116267,0.113471,0.089351,0.001032,0.099833
61.22,0.215763,0.258728,0.194773,0.186448,0.292196,0.001879,0.012891
61.72,0.018637,0.009334,0.028112,0.008045,0.023687,0.003423,0.012184
62.23,0.056831,0.040937,0.076946,0.03373,0.061619,0.02407,0.008705
62.73,0.404711,0.439509,0.36081,0.432056,0.552105,0.004911,0.800493
63.24,0.073155,0.046407,0.080148,0.096347,0.035968,0.004288,0.514342
63.75,0.057851,0.047145,0.045393,0.114226,0.027499,0.001116,0.570973
64.25,0.124238,0.056325,0.15062,0.132332,0.059995,0.023475,0.473949
64.76,0.12343,0.077261,0.126178,0.138492,0.093585,0.001023,0.556938
65.26,0.046582,0.06057,0.023986,0.075732,0.064584,0.001051,0.592978
65.77,0.331883,0.386418,0.262612,0.387278,0.484196,0.002269,0.015885
66.28,0.21599,0.271009,0.189006,0.204568,0.272132,0.001004,0.12487
66.78,0.092463,0.090273,0.094691,0.103754,0.092568,0.004102,0.158231
67.29,0.116015,0.062185,0.146345,0.102885,0.115646,0.001544,0.189174
67.79,0.046294,0.01595,0.073201,0.029537,0.01864,0.001004,0.16502
68.3,0.254596,0.323552,0.213066,0.249219,0.376043,0.009142,0.011319
68.81,0.018144,0.007944,0.025037,0.01641,0.023232,0.004241,0.011449
69.31,0.052947,0.039095,0.072261,0.031705,0.053286,0.023242,0.008538
69.82,0.0515,0.024781,0.068754,0.046425,0.041458,0.038616,0.007887
70.32,0.038098,0.017539,0.056791,0.025234,0.025152,0.041862,0.007701
70.83,0.026928,0.010093,0.04007,0.021645,0.012678,0.04614,0.007506
71.34,0.017513,0.011579,0.024186,0.013748,0.01039,0.046828,0.007552
71.84,0.021722,0.021387,0.027966,0.013764,0.018086,0.048447,0.007524
72.35,0.372079,0.363921,0.377386,0.345818,0.451892,0.002427,0.204846
72.85,0.034768,0.014811,0.039709,0.053826,0.009372,0.001469,0.237863
73.36,0.030806,0.011108,0.047775,0.02591,0.007095,0.001944,0.216955
73.87,0.249489,0.283028,0.217281,0.244731,0.356062,0.002818,0.012314
74.37,0.020996,0.013712,0.028965,0.01267,0.020873,0.004204,0.012202
74.88,0.298154,0.305082,0.283558,0.282671,0.407408,0.03139,0.190179
75.38,0.100425,0.04649,0.151573,0.075381,0.035516,0.002641,0.220052
75.89,0.043107,0.018552,0.068495,0.031628,0.005633,0.002576,0.218564
76.39,0.262163,0.281344,0.217806,0.28576,0.399549,0.001209,0.011533
76.9,0.138576,0.165666,0.141939,0.124131,0.129942,0.00293,0.0125
77.41,0.034627,0.024919,0.048367,0.018471,0.039712,0.015179,0.010017
77.91,0.052456,0.0323,0.072887,0.032591,0.053402,0.032906,0.008612
78.42,0.294456,0.370498,0.273792,0.258202,0.375854,0.001051,0.163346
78.92,0.15587,0.063686,0.238163,0.089162,0.110294,0.037026,0.12301
79.43,0.100454,0.029133,0.182166,0.031967,0.023013,0.001293,0.184422
79.94,0.072284,0.034054,0.08761,0.082071,0.055952,0.001097,0.097024
80.44,0.224725,0.31281,0.188766,0.191091,0.34253,0.003032,0.011961
80.95,0.017486,0.010067,0.026401,0.006975,0.024512,0.005618,0.011886
81.45,0.054962,0.041624,0.074143,0.033521,0.054226,0.024265,0.008575
81.96,0.052935,0.030619,0.069282,0.04773,0.039975,0.038411,0.007989
82.47,0.036982,0.016003,0.05584,0.024484,0.023379,0.041155,0.007729
82.97,0.025309,0.009825,0.033831,0.026826,0.015366,0.045917,0.007645
83.48,0.021502,0.012585,0.025373,0.023527,0.01566,0.048893,0.007803
83.98,0.018456,0.006542,0.02461,0.019677,0.014124,0.045805,0.007989
84.49,0.407852,0.442574,0.36084,0.426921,0.556361,0.052632,0.311328
85.0,0.2259,0.102933,0.17642,0.483707,0.268958,0.083194,0.356129
85.5,0.147272,0.060463,0.184763,0.177952,0.142224,0.026553,0.353683
86.01,0.278597,0.192587,0.251965,0.351214,0.398375,0.118685,4.7e-05
86.51,0.324614,0.160238,0.336843,0.421303,0.314209,0.123214,9e-06
87.02,0.21559,0.197469,0.233273,0.231749,0.163853,0.055906,4.7e-05
87.53,0.152465,0.160968,0.152105,0.17719,0.145744,0.078664,9.3e-05
88.03,0.243801,0.184408,0.247353,0.274794,0.205389,0.033092,0.000121
88.54,0.148959,0.174094,0.148511,0.166264,0.105166,0.069485,6.5e-05
89.04,0.116232,0.095182,0.115456,0.173596,0.053482,0.006994,3.7e-05
89.55,0.402317,0.39599,0.410356,0.483075,0.213497,0.000344,0.8367
90.05,0.874806,0.812098,0.890658,0.893493,0.855485,0.741629,8.4e-05
90.56,0.280394,0.148412,0.261239,0.363979,0.384594,0.361096,6.5e-05
91.07,0.385771,0.334791,0.396845,0.359874,0.437177,0.266639,4.7e-05
91.57,0.504668,0.742281,0.453682,0.311692,0.837013,0.000251,0.967355
92.08,0.003421,0.004362,0.00551,1e-06,3.6e-05,0.000251,0.971959
92.58,0.123354,0.151388,0.097444,0.15922,0.137409,0.001535,0.364193
93.09,0.318221,0.325334,0.2875,0.35747,0.413268,0.011282,0.011514
93.6,0.058235,0.03615,0.08048,0.035438,0.064533,0.027288,0.008975
94.1,0.384211,0.407815,0.454159,0.255777,0.265622,0.419968,0.002595
94.61,0.077138,0.046548,0.100696,0.06033,0.069364,0.508361,0.0
95.11,0.062052,0.031551,0.091754,0.037216,0.040474,0.378953,0.00252
95.62,0.00751,0.002917,0.013239,0.003626,0.0014,0.378413,0.002827
96.13,0.18759,0.235062,0.190369,0.179013,0.135527,0.125353,4.7e-05
96.63,0.130727,0.163042,0.167842,0.071724,0.010039,0.098326,0.000223
97.14,0.313066,0.324833,0.335164,0.269917,0.245943,0.015206,0.011551
97.64,0.304603,0.295965,0.299108,0.344224,0.249723,0.027911,0.033194
98.15,0.015534,0.008926,0.024035,0.008119,0.004393,0.029548,0.033677
98.66,0.019478,0.010104,0.03404,0.005311,0.001575,0.029827,0.03351
99.16,0.135181,0.153424,0.172956,0.052077,0.109168,0.002474,0.068341
99.67,0.244657,0.337487,0.268726,0.116752,0.243357,0.002483,0.301265
100.17,0.008997,0.012183,0.012986,0.001804,0.001774,0.002511,0.306994
100.68,0.349568,0.497058,0.383924,0.1531,0.354796,0.027465,0.050009
101.19,0.045366,0.008989,0.077895,0.02864,0.000662,0.027837,0.034235
101.69,0.026502,0.007509,0.044653,0.02359,0.000922,0.020061,0.034617
102.2,0.00746,0.00255,0.009729,0.009716,0.000144,0.020629,0.034328
102.7,0.163664,0.013886,0.195001,0.288266,0.067083,0.035789,9e-06
103.21,0.001155,0.003796,0.000998,0.0,0.0,0.035789,3.7e-05
103.71,0.000474,0.001146,0.000563,0.0,0.0,0.035798,2.8e-05
104.22,0.006378,0.014132,0.00565,0.003327,0.003982,0.036077,9.3e-05
104.73,0.619731,0.636391,0.712086,0.469391,0.50736,0.0,0.982115
105.23,0.530518,0.423493,0.703935,0.379343,0.370246,0.080366,0.002669
105.74,0.002402,0.004363,0.002578,0.000731,0.001428,0.079976,0.002576
106.24,0.022641,0.007863,0.036885,0.013509,0.002337,0.089183,0.002204
106.75,0.010111,0.005077,0.014924,0.007992,0.001051,0.078469,0.002604
107.26,0.139295,0.097172,0.196529,0.09447,0.079835,0.032031,0.002251
107.76,0.147078,0.115502,0.192652,0.11584,0.09569,0.006055,0.000753
108.27,0.289306,0.157917,0.301002,0.286919,0.351547,0.009784,0.000233
108.77,0.046018,0.024603,0.06004,0.035919,0.040465,0.003246,0.000251
109.28,0.244878,0.147582,0.281018,0.20908,0.263492,0.002753,0.000484
109.79,0.019107,0.00509,0.020932,0.032699,0.008752,0.005831,0.000456
110.29,0.022449,0.00469,0.026148,0.038119,0.009844,0.011663,0.000484
110.8,0.022852,0.011865,0.026962,0.033747,0.004887,0.011412,0.000493
111.3,0.272266,0.172516,0.314466,0.222759,0.287627,0.015327,0.000288
111.81,0.376058,0.543747,0.2962,0.455308,0.365488,0.239081,1.9e-05
112.32,0.452205,0.466252,0.470209,0.344792,0.479644,0.001572,0.005636
112.82,0.025138,0.02428,0.03098,0.018763,0.012983,0.008789,0.006157
113.33,0.064338,0.050594,0.070019,0.055409,0.055909,0.031445,0.00319
113.83,0.040413,0.028468,0.038675,0.044491,0.050432,0.040244,0.002641
114.34,0.039951,0.017767,0.055744,0.023051,0.039368,0.04893,0.00412
114.85,0.021097,0.014133,0.027545,0.017375,0.013834,0.050372,0.004976
115.35,0.043414,0.06287,0.044465,0.042631,0.009595,0.043266,0.011272
115.86,0.105305,0.108735,0.145105,0.048208,0.030132,0.081045,0.00585
116.36,0.06954,0.014037,0.118451,0.017174,0.041197,0.032552,0.012435
116.87,0.419975,0.395663,0.381428,0.504334,0.474965,0.000818,0.606231
117.37,0.079222,0.076755,0.104063,0.068863,0.034501,0.000856,0.576646
117.88,0.098473,0.068923,0.150724,0.05301,0.032134,0.015067,0.73923
118.39,0.363646,0.325904,0.364828,0.43551,0.359955,0.002158,0.011421
118.89,0.2122,0.188507,0.222353,0.24333,0.208891,0.001414,0.088969
119.4,0.097596,0.084701,0.115214,0.083998,0.082767,0.001116,0.120359
119.9,0.135057,0.066811,0.206435,0.081251,0.059871,0.039342,0.061523
120.41,0.211569,0.184265,0.232041,0.22678,0.170751,0.0016,0.016425
120.92,0.157673,0.16299,0.170016,0.152902,0.133655,0.003506,0.013384
121.42,0.231688,0.220863,0.241621,0.254497,0.241433,0.001749,0.112565
121.93,0.076622,0.042455,0.10577,0.049149,0.066099,0.010733,0.090272
122.43,0.189178,0.1683,0.182301,0.237813,0.162337,0.002167,0.01942
122.94,0.181952,0.180589,0.198383,0.174902,0.152972,0.006817,0.012974
123.45,0.230649,0.223794,0.241185,0.25018,0.237165,0.002288,0.106036
123.95,0.084658,0.040162,0.120546,0.066397,0.043744,0.019141,0.084821
124.46,0.167325,0.130968,0.172234,0.192398,0.142373,0.002214,0.024684
124.96,0.187852,0.185061,0.203223,0.183821,0.169769,0.009914,0.013979
125.47,0.03176,0.017329,0.040112,0.028115,0.0181,0.007245,0.012007
125.98,0.04609,0.033184,0.05141,0.035068,0.044727,0.024098,0.010259
126.48,0.035772,0.02232,0.036003,0.036705,0.044912,0.03365,0.009747
126.99,0.048447,0.069528,0.030358,0.069893,0.041165,0.04215,0.004632
127.49,0.018318,0.009004,0.026003,0.012544,0.011467,0.043155,0.004557
128.0,0.02048,0.006255,0.029934,0.018497,0.007955,0.042001,0.004846
128.51,0.028714,0.009479,0.042367,0.026967,0.009084,0.041304,0.005171
129.01,0.029238,0.005248,0.048871,0.019243,0.00803,0.053078,0.005552
129.52,0.022188,0.005432,0.034909,0.01716,0.007444,0.053339,0.005729
130.02,0.02454,0.007863,0.040211,0.014528,0.007529,0.041267,0.00585
130.53,0.049914,0.064418,0.04713,0.063266,0.012678,0.044894,0.010844
131.03,0.237712,0.213445,0.223763,0.288273,0.254001,0.00279,0.004632
131.54,0.046215,0.044183,0.043512,0.060849,0.034584,0.003227,0.0012
132.05,0.021192,0.022171,0.021308,0.027018,0.005639,0.001302,0.000512
132.55,0.204704,0.207666,0.17291,0.259756,0.237723,0.000539,0.629064
133.06,0.36276,0.381288,0.413274,0.363486,0.196288,0.118731,0.072433
133.56,0.383016,0.41032,0.32467,0.370584,0.571625,0.102753,3.7e-05
134.07,0.124785,0.062491,0.123154,0.183193,0.147445,0.082915,2.8e-05
134.58,0.118705,0.099937,0.11122,0.181259,0.065126,0.071866,4.7e-05
135.08,0.119548,0.073967,0.127714,0.161285,0.076394,0.077799,4.7e-05
135.59,0.200125,0.182822,0.178324,0.231355,0.261576,0.970173,3.7e-05
136.09,0.211914,0.203062,0.208397,0.219961,0.219298,0.00825,5.6e-05
136.6,0.133588,0.148984,0.142422,0.088051,0.134899,0.011356,6.5e-05
137.11,0.129877,0.136785,0.140418,0.100304,0.120399,0.010612,2.8e-05
137.61,0.05999,0.06013,0.071748,0.045949,0.038257,0.025781,0.004753
138.12,0.044121,0.027283,0.04734,0.045112,0.045303,0.035398,0.004474
138.62,0.049534,0.019802,0.070243,0.032612,0.041954,0.047638,0.004353
139.13,0.022181,0.007867,0.031806,0.021057,0.010369,0.046382,0.004353
139.64,0.024256,0.008627,0.032745,0.028072,0.008398,0.054483,0.004678
140.14,0.040868,0.00321,0.06603,0.036732,0.00653,0.052297,0.004771
140.65,0.026637,0.011697,0.033936,0.031843,0.013443,0.044503,0.005032
141.15,0.296719,0.255652,0.309295,0.320847,0.283603,0.127669,0.042039
141.66,0.009852,0.006937,0.009131,0.016936,0.007025,0.131324,0.041797
142.17,0.010573,0.006474,0.007312,0.023367,0.008726,0.128292,0.041155
142.67,0.296893,0.269355,0.306233,0.324264,0.272885,0.04162,0.011551
143.18,0.047365,0.091372,0.035725,0.055818,0.00701,0.036068,0.010863
143.68,0.031303,0.014336,0.042804,0.02988,0.00664,0.027827,0.011486
144.19,0.397042,0.376681,0.381728,0.440709,0.437895,0.057152,0.307757
144.69,0.179824,0.115538,0.156291,0.300097,0.2425,0.055199,0.408594
145.2,0.101491,0.067272,0.116374,0.133609,0.064683,0.019541,0.353776
145.71,0.257315,0.174242,0.231152,0.334469,0.363326,0.080711,0.00013
146.21,0.362939,0.493957,0.315627,0.358406,0.29245,0.099005,0.000102
146.72,0.258873,0.287391,0.24327,0.245742,0.356915,0.055608,0.000102
147.22,0.163221,0.189887,0.172103,0.178349,0.102454,0.258473,7.4e-05
147.73,0.291554,0.448577,0.184977,0.260875,0.655945,0.290058,9e-06
148.24,0.378761,0.396531,0.38008,0.284519,0.574224,0.06941,3.7e-05
148.74,0.187955,0.28155,0.211552,0.139109,0.051758,0.097201,3.7e-05
149.25,0.307102,0.204774,0.360027,0.355568,0.112913,0.020201,0.200288
149.75,0.682114,0.787285,0.666977,0.63765,0.602205,0.95173,5.6e-05
150.26,0.357503,0.268611,0.338293,0.374198,0.550714,0.285844,6.5e-05
150.77,0.370601,0.285003,0.359669,0.43995,0.519142,0.271159,6.5e-05
151.27,0.490589,0.828875,0.405946,0.26609,0.87426,0.000809,0.96982
151.78,0.005662,0.002303,0.008829,0.005475,1.8e-05,0.000446,0.958436
152.28,0.143488,0.15428,0.126128,0.2001,0.109246,0.001683,0.291983
152.79,0.281168,0.237075,0.299074,0.316663,0.26524,0.009431,0.01476
153.3,0.056565,0.037684,0.069388,0.039998,0.046542,0.025409,0.011626
153.8,0.043465,0.027756,0.048611,0.037504,0.045209,0.035277,0.010733
154.31,0.031308,0.017718,0.035745,0.028162,0.039782,0.039779,0.010631
154.81,0.028363,0.01351,0.037204,0.025112,0.02178,0.043899,0.010482
155.32,0.02267,0.00652,0.036413,0.015957,0.006941,0.043183,0.010547
155.83,0.24321,0.236399,0.242377,0.241648,0.281301,0.003376,0.026795
156.33,0.166814,0.158412,0.190274,0.15029,0.107483,0.003088,0.11143
156.84,0.173573,0.072842,0.26218,0.125202,0.076462,0.06622,0.040895
157.34,0.16455,0.072028,0.245579,0.120262,0.076609,0.003999,0.109412
157.85,0.054836,0.004132,0.088905,0.050531,0.003935,0.002502,0.123093
158.36,0.035748,0.006762,0.05468,0.038946,0.002995,0.002855,0.117839
158.86,0.035401,0.00492,0.057738,0.032346,0.004076,0.00465,0.116834
159.37,0.033746,0.007822,0.051967,0.034355,0.004517,0.004027,0.117104
159.87,0.20342,0.193736,0.243622,0.16412,0.170524,0.002837,0.027269
160.38,0.055647,0.046884,0.064079,0.056989,0.044272,0.005134,0.015439
160.88,0.030988,0.020611,0.041914,0.020588,0.015514,0.010156,0.013616
161.39,0.054325,0.040461,0.06426,0.03816,0.048779,0.025781,0.010928
161.9,0.311872,0.283239,0.354579,0.267632,0.32234,0.033529,0.164872
162.4,0.119995,0.059501,0.167883,0.103831,0.027262,0.005571,0.193815
162.91,0.079791,0.039812,0.112504,0.070402,0.019362,0.007589,0.183491
163.41,0.259001,0.258038,0.276728,0.262131,0.227649,0.008343,0.010779
163.92,0.164042,0.183891,0.175657,0.164349,0.092493,0.008045,0.012993
164.43,0.037261,0.025895,0.050113,0.022155,0.023408,0.009645,0.011849
164.93,0.27388,0.251477,0.302128,0.274619,0.27316,0.001423,0.1734
165.44,0.056591,0.037751,0.066621,0.067477,0.026875,0.001637,0.279492
165.94,0.043983,0.022263,0.067165,0.031039,0.012576,0.001656,0.266881
166.45,0.207032,0.169576,0.201381,0.272643,0.150539,0.001739,0.034496
166.96,0.19891,0.228725,0.208335,0.171332,0.158638,0.001925,0.015392
167.46,0.028758,0.017795,0.03974,0.017749,0.016314,0.00744,0.013616
167.97,0.050053,0.036104,0.059173,0.035316,0.045884,0.022796,0.011477
168.47,0.393408,0.361614,0.395947,0.435813,0.394477,0.00186,0.718406
168.98,0.067539,0.044906,0.093159,0.055953,0.056118,0.002427,0.603172
169.49,0.076977,0.053613,0.107249,0.065702,0.06201,0.00997,0.563718
169.99,0.075499,0.047988,0.112771,0.058425,0.041785,0.003181,0.599209
170.5,0.338551,0.320319,0.338416,0.391867,0.338691,0.004613,0.015113
171.0,0.220496,0.208258,0.243393,0.226315,0.20873,0.001544,0.099321
171.51,0.081584,0.056538,0.106633,0.068198,0.056637,0.001776,0.117857
172.02,0.105749,0.071218,0.116055,0.127501,0.07473,0.00253,0.051804
172.52,0.192365,0.195661,0.213219,0.180177,0.174531,0.002781,0.014769
173.03,0.181702,0.174032,0.194279,0.189955,0.189871,0.001432,0.046401
173.53,0.124221,0.111635,0.14671,0.105094,0.106825,0.00173,0.116685
174.04,0.04774,0.02333,0.074457,0.029123,0.01592,0.002874,0.114425
174.54,0.225377,0.228717,0.240515,0.23054,0.227355,0.002446,0.014528
175.05,0.013737,0.003162,0.02154,0.013442,0.001732,0.002706,0.014816
175.56,0.041554,0.0295,0.048865,0.029144,0.038205,0.014053,0.012342
176.06,0.04751,0.02957,0.04563,0.057147,0.04421,0.028897,0.011142
176.57,0.03424,0.01749,0.039807,0.031268,0.041466,0.034217,0.010826
177.07,0.032264,0.020178,0.037198,0.028786,0.038271,0.040662,0.010612
177.58,0.021072,0.005389,0.029119,0.024024,0.008099,0.041453,0.010872
178.09,0.0178,0.002654,0.024192,0.022463,0.007017,0.042169,0.010975
178.59,0.018881,0.006785,0.02654,0.018891,0.00775,0.041546,0.011347
