local e=
{
ByIdx={
{0,"操作成功","ZERO"},
{100071,"装备已被穿戴","EQUIP_ALREADY_DRESS"},
{100072,"装备位已被穿戴","EQUIP_POS_ALREADY_DRESS"},
{100073,"装备职业不符合","EQUIP_DRESS_LIMIT_PROF"},
{100074,"装备需要的英雄不匹配","EQUIP_HERO_NOT_MATCH"},
{100075,"专武不能卸下","EQUIP_WEAPON_NOT_UNDRESS"},
{100076,"专武不能升星","EQUIP_WEAPON_CAN_NOT_UP"},
{100077,"专武星数已满级","EQUIP_WEAPON_STAR_FULL"},
{100078,"宝石位置已开孔","EQUIP_POS_ALREADY_PUNCHED"},
{100079,"专武星数不足","EQUIP_WEAPON_STAR_NOT_ENOUGH"},
{100560,"等级限制","GUILD_CREATE_LEVEL_LIMIT"},
{100561,"已经有公会","GUILD_CREATE_ALREADY_IN"},
{100562,"名称非法","GUILD_CREATE_NAME_ILLEGAL"},
{100563,"名称已存在","GUILD_CREATE_NAME_EXIST"},
{100564,"没有公会","GUILD_NO_GUILD"},
{100565,"没有权限设置工会申请限制","GUILD_APPLY_SET_REFUSE"},
{100566,"已经加入公会，不能再次申请","GUILD_APPLY_ALREADY_IN_GUILD"},
{100567,"目标公会不存在，不能申请","GUILD_APPLY_NOT_EXIST"},
{100568,"目标公会已经满员，不能申请","GUILD_APPLY_MEMBER_MAX"},
{100569,"已经申请过此公，不能申请会","GUILD_APPLY_ALREADY_APPLY"},
{100570,"被拒绝CD时间内，不能申请","GUILD_APPLY_REFUSE_CD"},
{100571,"退出公会重新加入的CD内，不能申请","GUILD_REAPPLY_QUIT_CD"},
{100572,"退出公会CD内，不能申请","GUILD_APPLY_QUIT_CD"},
{100573,"战斗力不足，不能申请","GUILD_APPLY_FIGHT_LIMIT"},
{100574,"权限不足，不能进行操作","GUILD_POSITION_FAILED"},
{100575,"玩家申请状态不是等待审核","GUILD_APPROVE_STATE_ERR"},
{100576,"玩家已存在公会，","GUILD_APPROVE_TARGET_IN_GUILD"},
{100577,"不是普通成员，不能任命为副会长","GUILD_MANAGE_VICE_DESIGN_NOT_NOR"},
{100578,"不是副会长，不能解除权限","GUILD_MANAGE_VICE_REMOVE_NOT_VICE"},
{100579,"会长不能退出公会","GUILD_MANAGE_QUIT_LEADER"},
{100580,"不是会长，不能设置公告","GUILD_NOTICE_NOT_LEADER"},
{100581,"公会邮件中包含屏蔽字","GUILD_MAIL_MASK_WORD"},
{100582,"公会礼物不能领取","GUILD_GIFT_CANT_AWARD"},
{100583,"公会宝箱不能领取","GUILD_TREASURE_CANT_AWARD"},
{100584,"副会长个数限制","GUILD_LEADER_DEPUTY_LIMIT"},
{100585,"公会邮件CD","GUILD_MAIL_CD"},
{100586,"公会退出次数限制","GUILD_QUIT_COUNT_LIMIT"},
{100587,"公会踢出次数限制","GUILD_KICK_COUNT_LIMIT"}
},
Len=96
}
return e 
