local e=
{
ByIdx={
{10,{{99645,1},{20002,20}}},
{20,{{99645,2},{20003,10}}},
{30,{{99645,3},{20082,10}}},
{40,{{99645,4},{20083,5}}},
{50,{{99645,5},{20048,1},{20321,5},{20004,10}}},
{430,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{440,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{450,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{460,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{470,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{480,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{490,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{500,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{510,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{520,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{530,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{540,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{550,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{560,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{570,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{580,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{590,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{600,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{610,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{620,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{630,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{640,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{650,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{660,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{670,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{680,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{690,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{700,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{710,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{720,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{730,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{740,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{750,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{760,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{770,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{780,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{790,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{800,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{810,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{820,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{830,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{840,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{850,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{860,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{870,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{880,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{890,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{900,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{910,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{920,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{930,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{940,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{950,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{960,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{970,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{980,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{990,{{99645,10},{20048,2},{20321,10},{20004,25}}},
{1000,{{99645,10},{20048,2},{20321,10},{20004,25}}}
},
Len=100
}
return e 
