local e=
{
ByIdx={
{5107,17,18,5,1,1,1,5,60,7},
{5108,18,19,5,1,1,1,5,60,8},
{5109,19,20,5,1,1,1,5,60,9},
{5110,20,0,5,1,1,1,5,60,10},
{5201,5,6,5,2,25,28,5,50,1},
{5202,6,7,5,2,25,28,5,50,2},
{5203,7,8,5,2,25,28,5,50,3},
{5204,8,25,5,2,25,28,5,50,4},
{5205,25,26,5,2,25,28,5,50,5},
{5206,26,27,5,2,25,28,5,50,6},
{5207,27,28,5,2,25,28,5,50,7},
{5208,28,0,5,2,25,28,5,50,8},
{5301,9,10,5,3,30,30,5,40,1},
{5302,10,11,5,3,30,30,5,40,2},
{5303,11,35,5,3,30,30,5,40,3},
{5304,35,36,5,3,30,30,5,40,4},
{5305,36,37,5,3,30,30,5,40,5},
{5306,37,0,5,3,30,30,5,40,6},
{5401,12,13,5,4,35,35,5,30,1},
{5402,13,14,5,4,35,35,5,30,2},
{5403,14,45,5,4,35,35,5,30,3},
{5404,45,0,5,4,35,35,5,30,4},
{6101,1,2,6,1,1,1,5,60,1},
{6102,2,3,6,1,1,1,5,60,2},
{6103,3,4,6,1,1,1,5,60,3},
{6104,4,15,6,1,1,1,5,60,4},
{6105,15,16,6,1,1,1,5,60,5},
{6106,16,17,6,1,1,1,5,60,6},
{6107,17,18,6,1,1,1,5,60,7},
{6108,18,19,6,1,1,1,5,60,8},
{6109,19,20,6,1,1,1,5,60,9},
{6110,20,21,6,1,1,1,5,60,10},
{6111,21,22,6,1,1,1,5,60,11},
{6112,22,0,6,1,1,1,5,60,12},
{6201,5,6,6,2,25,28,5,50,1},
{6202,6,7,6,2,25,28,5,50,2},
{6203,7,8,6,2,25,28,5,50,3},
{6204,8,25,6,2,25,28,5,50,4},
{6205,25,26,6,2,25,28,5,50,5},
{6206,26,27,6,2,25,28,5,50,6},
{6207,27,28,6,2,25,28,5,50,7},
{6208,28,29,6,2,25,28,5,50,8},
{6209,29,30,6,2,25,28,5,50,9},
{6210,30,0,6,2,25,28,5,50,10},
{6301,9,10,6,3,30,30,5,40,1},
{6302,10,11,6,3,30,30,5,40,2},
{6303,11,35,6,3,30,30,5,40,3},
{6304,35,36,6,3,30,30,5,40,4},
{6305,36,37,6,3,30,30,5,40,5},
{6306,37,38,6,3,30,30,5,40,6},
{6307,38,39,6,3,30,30,5,40,7},
{6308,39,0,6,3,30,30,5,40,8},
{6401,12,13,6,4,35,35,5,30,1},
{6402,13,14,6,4,35,35,5,30,2},
{6403,14,45,6,4,35,35,5,30,3},
{6404,45,46,6,4,35,35,5,30,4},
{6405,46,47,6,4,35,35,5,30,5},
{6406,47,0,6,4,35,35,5,30,6},
{7101,1,2,7,1,1,1,5,60,1},
{7102,2,3,7,1,1,1,5,60,2},
{7103,3,4,7,1,1,1,5,60,3},
{7104,4,15,7,1,1,1,5,60,4},
{7105,15,16,7,1,1,1,5,60,5},
{7106,16,17,7,1,1,1,5,60,6},
{7107,17,18,7,1,1,1,5,60,7},
{7108,18,19,7,1,1,1,5,60,8},
{7109,19,20,7,1,1,1,5,60,9},
{7110,20,21,7,1,1,1,5,60,10},
{7111,21,22,7,1,1,1,5,60,11},
{7112,22,23,7,1,1,1,5,60,12},
{7113,23,24,7,1,1,1,5,60,13},
{7114,24,0,7,1,1,1,5,60,14},
{7201,5,6,7,2,25,28,5,50,1},
{7202,6,7,7,2,25,28,5,50,2},
{7203,7,8,7,2,25,28,5,50,3},
{7204,8,25,7,2,25,28,5,50,4},
{7205,25,26,7,2,25,28,5,50,5},
{7206,26,27,7,2,25,28,5,50,6},
{7207,27,28,7,2,25,28,5,50,7},
{7208,28,29,7,2,25,28,5,50,8},
{7209,29,30,7,2,25,28,5,50,9},
{7210,30,31,7,2,25,28,5,50,10},
{7211,31,32,7,2,25,28,5,50,11},
{7212,32,0,7,2,25,28,5,50,12},
{7301,9,10,7,3,30,30,5,40,1},
{7302,10,11,7,3,30,30,5,40,2},
{7303,11,35,7,3,30,30,5,40,3},
{7304,35,36,7,3,30,30,5,40,4},
{7305,36,37,7,3,30,30,5,40,5},
{7306,37,38,7,3,30,30,5,40,6},
{7307,38,39,7,3,30,30,5,40,7},
{7308,39,40,7,3,30,30,5,40,8},
{7309,40,41,7,3,30,30,5,40,9},
{7310,41,0,7,3,30,30,5,40,10},
{7401,12,13,7,4,35,35,5,30,1},
{7402,13,14,7,4,35,35,5,30,2},
{7403,14,45,7,4,35,35,5,30,3},
{7404,45,46,7,4,35,35,5,30,4},
{7405,46,47,7,4,35,35,5,30,5},
{7406,47,48,7,4,35,35,5,30,6},
{7407,48,49,7,4,35,35,5,30,7},
{7408,49,0,7,4,35,35,5,30,8}
},
Len=150
}
return e 
